spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
0,0,0,0,0,0,0,0,0,0,226.763,0,27.771,0,electric_kettle,sess_1775549552348__start_01,1775549569749,2633023,0,0,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
38.737408,10.405236,-4.411028,-47.985519,6.647821,0.155121,109.3592,17.201241,0.671516,2.763351,226.763,5.480394,27.771,0,electric_kettle,sess_1775549552348__start_01,1775549569766,2633179,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
34.237953,6.907272,-9.914192,-50.596653,0.499681,0.278386,1.135,16.572739,0.660612,0.805079,226.763,5.833367,27.771,0,electric_kettle,sess_1775549552348__start_01,1775549569833,2633274,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
35.976418,10.590364,-5.527999,-62.265171,1.614651,0.046395,1.3631,16.48863,0.735902,0.057186,226.763,5.80668,27.771,0,electric_kettle,sess_1775549552348__start_01,1775549569941,2633367,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
31.16296,9.096653,-6.86909,-64.520813,3.969569,0.031425,0.7374,15.120932,1.050545,0.175034,226.763,5.887989,27.771,0,electric_kettle,sess_1775549552348__start_01,1775549570022,2633466,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
31.715754,12.996086,-4.11939,-66.014397,0.002204,0.04817,0.3067,17.44964,0.270337,0.011851,226.707,5.844549,27.762,0,electric_kettle,sess_1775549552348__start_01,1775549570293,2633669,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
29.981167,12.043485,-5.160024,-65.168518,0.00228,0.070233,0.79,14.568026,0.449602,0.412226,226.707,5.651807,27.762,0,electric_kettle,sess_1775549552348__start_01,1775549570296,2633763,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
30.694393,11.548805,-4.297753,-61.339638,12.101945,0.047137,0.8072,15.267118,0.953698,0.30323,226.707,5.788911,27.762,0,electric_kettle,sess_1775549552348__start_01,1775549570419,2633855,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
33.421944,12.648443,-3.194095,-63.945557,1.385312,0.031829,0.5881,15.376667,0.864325,0.045023,226.707,5.809762,27.762,0,electric_kettle,sess_1775549552348__start_01,1775549570514,2633954,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
31.550943,9.508955,-9.972095,-64.966667,0.180645,0.091347,1.3178,16.493122,0.445252,0.146259,226.734,5.660731,27.765,0,electric_kettle,sess_1775549552348__start_01,1775549570805,2634249,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
32.612415,4.356358,-15.756813,-60.42942,0.134581,0.000837,0.883,15.155361,0.547997,0.047197,226.734,5.639357,27.765,0,electric_kettle,sess_1775549552348__start_01,1775549570916,2634343,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
33.027271,8.06349,-8.032947,-62.181427,9.726979,0.013564,0.7687,14.067427,0.946251,0.013333,226.734,5.633342,27.765,0,electric_kettle,sess_1775549552348__start_01,1775549570998,2634441,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
33.136223,12.549267,-3.941075,-57.596848,3.012305,0.095978,0.9061,15.462242,0.594035,0.217867,226.734,5.763909,27.803,0,electric_kettle,sess_1775549552348__start_01,1775549571304,2634739,0,1,1,0,0,32768,0,4,resistive,electric_kettle,2,start,,0
