spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
37.818634,10.822015,-5.315973,-44.208534,15.37268,0.296794,8.5099,15.242445,1.99376,0.181657,225.085,5.588808,27.593,0,electric_kettle,sess_1775549807051__steady_02,1775549834670,41222,1,1,1,0,9,32768,0,4,resistive,electric_kettle,3,steady,,0
34.747002,12.072662,-3.888094,-63.330734,2.690745,0.417927,2.8415,15.038065,0.611419,0.244447,225.085,5.698101,27.593,0,electric_kettle,sess_1775549807051__steady_02,1775549834697,41319,1,1,1,0,10,32768,0,4,resistive,electric_kettle,3,steady,,0
34.367161,10.348671,-5.530341,-63.692226,1.274669,0.051174,0.9931,15.249972,0.69399,0.274679,224.969,5.823313,27.593,0,electric_kettle,sess_1775549807051__steady_02,1775549834781,41416,1,1,1,0,16,32768,0,4,resistive,electric_kettle,3,steady,,0
31.534349,10.547884,-5.497148,-50.493256,9.013921,0.304141,2.2286,15.827005,2.106115,0.41268,224.969,5.673687,27.598,0,electric_kettle,sess_1775549807051__steady_02,1775549835225,41803,1,1,1,0,18,32768,0,4,resistive,electric_kettle,3,steady,,0
36.006268,5.825361,-11.439662,-50.190392,1.097269,0.415709,0,16.783649,0.45173,0.209401,224.538,5.578641,27.598,0,electric_kettle,sess_1775549807051__steady_02,1775549835256,41904,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
30.831179,13.052366,-3.969895,-66.091179,0.001584,0.03936,0.6886,15.121758,0.27812,0.094724,224.538,5.855905,27.603,0,electric_kettle,sess_1775549807051__steady_02,1775549835550,42192,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
34.111485,11.669259,-4.496221,-62.269218,1.368205,0.055763,0.7433,16.148842,0.885614,0.195315,224.538,5.764405,27.603,0,electric_kettle,sess_1775549807051__steady_02,1775549835658,42285,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
31.783834,12.171898,-3.863221,-63.014027,2.127689,0.046489,0.9342,16.143391,0.515459,0.068251,224.185,5.732931,27.603,0,electric_kettle,sess_1775549807051__steady_02,1775549835767,42385,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
29.827198,12.1282,-4.275492,-50.675755,4.984209,0.014538,2.8439,18,0.532251,0.098438,224.185,5.764486,27.61,0,electric_kettle,sess_1775549807051__steady_02,1775549836084,42675,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
28.542873,8.35788,-8.754446,-56.108433,7.535413,1.137413,2.5447,15.870918,0.818941,0.436421,224.185,5.563226,27.61,0,electric_kettle,sess_1775549807051__steady_02,1775549836137,42769,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
33.860176,7.871239,-7.99313,-63.678497,3.135524,0.043035,0.4123,15.992596,0.588043,0.443774,224.185,5.760732,27.61,0,electric_kettle,sess_1775549807051__steady_02,1775549836246,42864,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
31.456228,4.525718,-11.678277,-62.524704,1.84711,0.081226,0.6355,15.974968,0.810274,0.026183,223.917,5.748665,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549836510,42963,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
30.538937,11.598217,-5.105858,-55.448906,1.186735,0.071293,8.4893,15.602451,0.488987,0.162316,223.917,5.725735,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549836537,43159,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
34.258591,3.967848,-16.08943,-61.981312,2.264811,0.127921,0.7775,15.651686,0.936395,0.084629,223.917,5.68697,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549836618,43254,0,1,1,0,18,32768,0,4,resistive,electric_kettle,3,steady,,0
30.584913,7.039989,-9.169673,-63.553284,2.743358,0.034434,0.6491,15.039608,0.708482,0.212278,223.917,5.590393,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549836727,43352,1,1,1,0,9,32768,0,4,resistive,electric_kettle,3,steady,,0
32.610291,5.657094,-10.361372,-60.424271,10.065411,0.061535,0.6199,15.956913,0.940388,0.092311,223.924,5.631677,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549836812,43452,1,1,1,0,14,32768,0,4,resistive,electric_kettle,3,steady,,0
35.197876,9.5195,-6.739018,-47.354668,0.943671,0.050848,4.6783,16.575195,0.478296,0.432676,223.924,5.816593,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549837060,43651,1,1,1,0,17,32768,0,4,resistive,electric_kettle,3,steady,,0
28.446871,11.46652,-5.274136,-44.051857,11.253447,0.005344,3.0784,15.82429,1.186161,0.208082,223.924,5.91342,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549837113,43746,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
32.739437,12.587786,-3.562506,-62.140587,1.049123,0.020253,1.1096,15.809868,0.569847,0.31605,223.924,5.763905,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549837221,43841,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
31.790548,12.114629,-3.706346,-61.415592,3.122952,0.035289,1.5277,15.357867,0.805967,0.198809,223.924,5.855578,27.612,0,electric_kettle,sess_1775549807051__steady_02,1775549837302,43939,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
31.68631,11.402815,-5.612628,-52.424934,1.546831,0.040567,1.2744,16.099445,0.790861,0.116212,224.013,5.929503,27.616,0,electric_kettle,sess_1775549807051__steady_02,1775549837559,44138,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
29.229141,12.409098,-4.080876,-47.091427,11.917607,0.100685,4.4777,16.184385,1.136478,0.264324,224.013,5.804118,27.616,0,electric_kettle,sess_1775549807051__steady_02,1775549837612,44231,1,1,1,0,20,32768,0,4,resistive,electric_kettle,3,steady,,0
