spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
31.246891,4.192435,-12.447391,-61.46225,1.032436,0.046517,0.2185,16.708591,0.823648,0.06135,221.717,5.637754,27.812,0,electric_kettle,sess_1775552035961__arc_01,1775552052538,254592,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
36.240665,11.98256,-4.052683,-45.554546,3.635063,0.03066,2.8707,15.053529,0.686835,0.021342,221.717,5.699759,27.812,0,electric_kettle,sess_1775552035961__arc_01,1775552052565,254788,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
31.531534,4.535183,-14.583725,-56.548267,2.717751,0.015222,0.8809,15.350388,0.584514,0.05714,221.717,5.725814,27.812,0,electric_kettle,sess_1775552035961__arc_01,1775552052618,254883,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
32.866119,10.036634,-6.002579,-61.783134,0.362463,0.03517,3.0244,15.810354,0.5353,0.070907,221.717,5.758295,27.812,0,electric_kettle,sess_1775552035961__arc_01,1775552052726,254977,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
30.954849,3.897305,-15.839531,-64.951477,1.28341,0.008129,0.4842,16.315983,0.60902,0.189007,221.968,5.671226,27.812,0,electric_kettle,sess_1775552035961__arc_01,1775552052797,255075,0,1,1,0,18,32768,0,4,resistive,electric_kettle,8,arc,,0
34.075516,11.474414,-8.930314,-53.420868,3.569843,0.016574,1.565,16.042965,0.841421,0.249291,221.968,5.908597,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053067,255276,1,1,1,0,13,32768,0,4,resistive,electric_kettle,8,arc,,0
30.836946,12.907252,-4.123137,-54.671967,2.324363,0.020032,1.318,15.974351,0.592634,0.323541,221.968,5.755663,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053120,255370,1,1,1,0,16,32768,0,4,resistive,electric_kettle,8,arc,,0
33.865204,12.631468,-3.278589,-64.033577,2.451914,0.052363,2.1152,15.137165,0.767064,0.029104,221.968,5.742262,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053202,255462,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
32.127739,12.26639,-3.476663,-60.045273,9.35531,0.084263,1.4696,15.341839,0.507662,0.06677,222.382,5.772935,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053297,255561,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
32.049286,11.584821,-4.878797,-48.611183,1.386158,0.051991,4.0058,15.998935,0.16857,0.064445,222.382,5.798487,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053633,255852,1,1,1,0,20,32768,0,4,resistive,electric_kettle,8,arc,,0
26.407614,3.205848,-15.002347,-53.549881,1.38781,0.086922,2.283,16.400087,0.451349,0.401969,222.382,5.612021,27.814,0,electric_kettle,sess_1775552035961__arc_01,1775552053686,255948,0,1,1,0,18,32768,0,4,resistive,electric_kettle,8,arc,,0
33.43185,4.958428,-13.95418,-56.703053,9.530377,0.05929,0.8883,16.270859,0.962572,0.076341,222.382,5.646296,27.814,1,electric_kettle,sess_1775552035961__arc_01,1775552053795,256041,1,1,1,0,9,32768,0,4,resistive,electric_kettle,8,arc,,0
33.43185,4.958428,-13.95418,-56.703053,9.530377,0.05929,0.8883,16.270859,0.962572,0.076341,222.851,0,27.808,0,electric_kettle,sess_1775552035961__arc_01,1775552054064,256367,0,1,1,0,12,32768,0,4,resistive,electric_kettle,8,arc,,0
