spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
36.656525,5.791728,-9.090136,-52.228771,4.015853,0.482991,19.3588,16.990749,1.127236,0.261743,227.402,4.285107,27.47,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551405933,362304,1,1,1,0,6,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.328861,8.536055,-6.903715,-46.807446,0.57634,0.385952,3.7827,16.052534,0.806734,0.821175,227.402,4.435899,27.47,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551405960,362498,1,1,1,0,7,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.34499,9.268097,-6.046201,-53.348534,9.768808,0.838211,1.6966,17.73897,1.310358,0.146421,227.402,4.383938,27.47,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406028,362591,1,1,1,0,11,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.862179,4.864856,-18.551018,-53.425842,1.54816,0.853529,7.8497,17.472075,1.278286,0.383811,227.025,4.249329,27.47,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406126,362688,0,1,1,0,14,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.708004,4.610797,-10.817671,-52.852749,3.295426,0.65207,4.6461,16.683599,1.226183,0.081556,227.025,4.221604,27.47,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406234,362789,1,1,1,0,5,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.007011,12.787592,-2.721264,-49.569733,1.028089,1.362392,1.4623,15.687868,0.632774,0.308153,227.025,4.243645,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406473,362985,1,1,1,0,7,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.905872,6.888495,-8.847111,-48.286705,5.110913,0.769111,56.2377,15.426151,0.586041,0.09139,227.025,4.274672,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406526,363079,1,1,1,0,10,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.281715,4.309968,-11.553776,-54.226517,3.440494,0.631116,16.658,18,1.008811,0.000198,226.74,4.274739,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406611,363172,1,1,1,0,16,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.054863,4.578317,-10.433407,-52.246319,6.945516,1.448362,14.9404,17.600958,1.114356,0.302221,226.74,4.171386,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406705,363271,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
39.450069,4.821829,-15.538,-52.453133,2.505584,0.216353,50.9059,17.481802,0.586931,0.032882,226.74,4.177096,27.468,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551406958,363471,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.594288,8.514635,-6.839146,-46.829498,5.785197,0.940598,2.5964,16.153284,1.636339,0.984303,226.74,4.50602,27.468,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407011,363564,1,1,1,0,15,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.980621,9.812729,-5.122391,-53.29393,5.383404,0.536841,54.3096,17.342976,0.687399,0.086323,226.744,4.474902,27.468,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407093,363657,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.411766,10.569934,-4.262501,-51.573685,6.404476,0.60236,64.1987,17.122295,0.790652,0.056984,226.744,4.454502,27.468,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407190,363757,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.37318,5.213791,-9.998354,-53.863205,6.909352,0.588046,66.0414,17.407812,0.849614,0.325789,226.744,4.338403,27.467,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407472,363856,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
31.716187,13.07336,-2.390645,-46.567291,4.1322,0.753869,83.707,16.44491,0.602212,0.421043,226.744,4.278429,27.467,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407499,364050,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.054253,4.849075,-11.455214,-53.076881,1.09248,0.725057,15.5215,17.456692,1.404591,0.044287,226.744,4.26327,27.467,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407580,364146,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.054253,4.849075,-11.455214,-53.076881,1.09248,0.725057,15.5215,17.456692,1.404591,0.044287,226.923,0,27.467,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407665,364245,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.054253,4.849075,-11.455214,-53.076881,1.09248,0.725057,15.5215,17.456692,1.404591,0.044287,226.923,0,27.467,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551407719,364313,0,1,1,0,12,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.054253,4.849075,-11.455214,-53.076881,1.09248,0.725057,15.5215,17.456692,1.404591,0.044287,226.923,3.436592,27.472,1,vacuum_cleaner,sess_1775551397495__arc_01,1775551407974,364382,0,1,1,0,4,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.251972,9.873732,-9.357645,-52.954445,4.422987,0.192177,4.3818,17.167614,1.028844,0.31467,226.923,5.064474,27.472,1,vacuum_cleaner,sess_1775551397495__arc_01,1775551408001,364547,0,1,1,0,2,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.676552,11.789689,-3.565506,-53.775215,2.142592,0.457608,62.6346,17.711473,1.128655,0.584078,226.923,4.82783,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408082,364641,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.476177,8.25965,-6.938706,-52.412151,14.312283,1.343832,4.8897,16.871977,1.215557,0.465494,226.653,4.648043,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408179,364742,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.355461,4.782285,-14.3471,-53.864002,11.124536,0.841439,16.3113,17.735292,1.214451,0.574909,226.653,4.434267,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408275,364843,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.319538,8.132372,-8.918427,-48.599503,1.248287,3.914715,79.7595,16.696634,0.522182,0.917836,226.653,4.142042,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408513,365042,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.58987,5.209672,-10.449396,-48.599632,12.089543,0.09335,8.0469,16.417423,0.941738,1.205556,226.653,4.541521,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408567,365135,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.240772,9.362787,-5.617394,-39.716698,2.824423,0.166507,0,16.801947,0.555166,0.188697,226.144,4.472963,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408676,365230,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.897583,4.59659,-19.386265,-53.051304,3.418332,0.963661,23.7855,17.718452,1.14734,0.316674,226.144,4.359645,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551408758,365328,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.990379,8.957787,-6.435481,-47.454929,4.840332,0.037727,23.7647,16.363674,0.939477,0.694314,226.144,4.458539,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409004,365527,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.318913,5.767567,-14.802176,-48.659824,6.040654,1.281668,13.5226,15.56828,1.251263,0.180928,226.144,4.523073,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409058,365620,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.392551,13.113077,-1.461254,-53.201542,2.815322,0.630603,86.8148,17.409597,0.644208,0.283174,226.144,4.420607,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409166,365714,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.498829,11.687422,-2.924552,-53.130363,1.733807,0.468377,60.7882,17.755476,0.727307,0.293652,226.152,4.524457,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409250,365813,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.881077,13.478299,-1.947065,-54.038475,0.050696,0.409551,0.8975,18,0.307916,0.270969,226.152,4.315761,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409508,366014,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.776821,8.176546,-7.928434,-50.644165,12.449629,2.872074,38.6106,17.514252,0.843405,0.711233,226.152,4.070199,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409534,366107,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.374622,4.694298,-16.633284,-51.363564,6.860877,1.213167,14.6294,17.251579,1.191558,0.362298,226.152,4.18817,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409643,366200,1,1,1,0,3,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.697102,4.781935,-18.898613,-51.528015,23.28582,1.097198,14.5229,17.254827,1.234116,0.098573,226.084,4.221197,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551409742,366300,1,1,1,0,9,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
40.093441,4.196272,-12.174204,-49.856144,0.132819,0.226576,42.1861,15.886353,0.111414,0.190809,226.084,4.261876,27.48,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410008,366501,1,1,1,0,14,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.257755,4.696545,-11.129847,-54.387657,0.075382,1.179646,3.5397,17.982397,0.441228,0.305922,226.084,4.36618,27.48,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410022,366594,1,1,1,0,15,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.37756,12.036395,-2.534173,-52.882671,1.177941,0.154544,50.1354,16.131426,0.895742,0.3639,226.084,4.493289,27.48,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410117,366687,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.57629,4.648198,-15.473104,-52.021465,2.974125,0.720837,87.8586,17.337292,0.996792,0.440952,226.2,4.334782,27.48,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410215,366785,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.918056,13.537743,-1.531072,-53.948807,0.076831,0.725734,8.966,17.934223,0.383008,0.218515,226.2,4.370844,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410508,367079,1,1,1,0,7,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.568878,4.911099,-11.318047,-49.439068,2.028506,0.795211,23.3187,16.189577,1.138543,0.29102,226.2,4.269084,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410616,367173,1,1,1,0,13,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.24472,4.674483,-10.692827,-50.85928,4.383556,0.939861,8.9474,17.082279,1.092998,0.180787,226.291,4.20734,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410725,367273,1,1,1,0,19,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.690109,8.700543,-6.036012,-51.560482,3.802966,1.169605,38.9613,16.75028,1.12414,0.009045,226.291,4.210385,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551410808,367372,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.330856,8.824226,-6.886649,-42.895248,38.486897,0.983765,30.6099,16.518461,1.292501,0.337293,226.364,4.207525,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551411763,368147,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.755157,8.046167,-8.447441,-47.828789,11.829154,0.608862,3.571,17.191864,1.183547,0.378932,226.364,4.48869,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551411960,368532,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.393608,7.832735,-7.503058,-51.405457,5.218539,0.193774,7.9253,17.113945,1.062959,0.44543,226.364,4.328738,27.476,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551412055,368625,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.711033,12.122455,-2.877526,-48.57481,41.279484,1.035446,1.573,16.225405,1.663592,0.071965,226.462,4.412447,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551412480,369017,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.129051,11.493888,-3.718328,-45.287506,2.775071,0.041557,91.9189,17.111582,0.774229,0.476617,226.462,4.244203,27.481,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551412563,369111,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.585079,11.905293,-3.958694,-50.930996,0.426912,0.510109,0.5872,16.702394,0.559653,0.084746,226.462,4.434415,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551412972,369317,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.700859,4.303022,-13.033371,-49.879326,0.167097,1.147057,54.8568,15.41896,0.047838,0.000425,226.524,4.258353,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413180,369696,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.966282,4.185091,-13.475382,-51.419342,0.071618,0.774943,28.8146,17.030413,0.726199,0.402136,226.524,4.395349,27.471,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413225,369789,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.352619,9.019499,-6.490982,-49.403427,2.54633,0.471551,1.2792,16.572241,1.053295,0.629999,226.524,4.485022,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413687,370079,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.21846,12.009288,-2.604584,-44.529919,63.912552,0.361121,16.8342,16.049454,1.899275,0.096372,226.582,4.358118,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413829,370366,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.396385,8.426624,-6.848962,-46.157562,5.468889,0.975784,14.0435,16.609949,1.783496,0.029687,226.582,4.347768,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413912,370463,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.271057,12.235325,-2.390755,-51.514278,4.516814,1.179225,60.5447,16.541498,0.835265,0.090648,226.582,4.316238,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551413993,370559,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.865475,9.248274,-8.576127,-46.94175,2.347546,0.416844,94.1307,16.520519,0.49725,0.625307,226.582,4.076659,27.469,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414226,370760,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.306042,10.375507,-3.901914,-46.139526,8.194152,1.122384,16.5928,16.311012,1.140164,0.685082,226.582,4.300087,27.469,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414293,370854,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.770855,4.265958,-15.311592,-52.993389,15.132405,0.998885,76.4811,17.586271,1.03337,0.226894,226.466,4.37814,27.469,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414391,370955,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.653229,6.776838,-8.172813,-39.506714,2.962333,0.42414,0,16.636292,0.749783,0.13132,226.466,4.332145,27.469,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414499,371056,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.271576,4.694317,-12.68428,-50.135208,0.087972,0.559756,0.561,16.671926,0.757019,0.518964,226.466,4.44677,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414779,371346,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
38.66555,13.120795,-1.66413,-53.29171,3.622271,0.537137,44.7181,17.48992,0.627132,0.147114,226.297,4.394435,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414877,371441,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.970364,12.385666,-2.245819,-53.190086,2.707896,0.857481,51.7014,17.52957,0.786043,0.015792,226.297,4.399987,27.472,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551414971,371540,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
31.657692,13.484916,-1.915323,-51.298271,1.730084,1.655829,27.0478,16.830126,0.768286,0.099969,226.297,4.370903,27.477,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415274,371832,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
40.190323,4.594478,-21.636444,-53.477093,1.395838,0.864115,9.1211,17.567274,1.227898,0.385276,226.297,4.236182,27.477,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415356,371927,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.58107,4.634184,-13.3162,-52.382504,14.895831,1.351613,6.7248,17.510015,1.286094,0.122334,225.857,4.27764,27.477,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415468,372026,1,1,1,0,7,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.332058,4.762795,-15.387579,-51.755978,8.419106,0.398802,15.5348,16.578613,1.2318,0.390838,225.857,4.143891,27.478,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415796,372126,0,1,1,0,9,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
29.833027,11.779432,-3.443983,-46.071125,2.213155,0.678537,6.3086,16.470713,0.817442,0.133162,225.857,4.319954,27.478,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415823,372322,1,1,1,0,10,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.090355,12.989135,-2.144912,-52.150589,0.115788,0.480022,2.0854,16.94035,0.964568,0.07334,225.857,4.294608,27.478,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415850,372415,1,1,1,0,12,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.070019,6.859982,-8.143312,-50.997734,6.768603,0.704914,8.3034,16.517342,1.16269,0.422489,225.835,4.149453,27.478,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551415949,372508,1,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
37.098343,9.933466,-9.50717,-48.557606,6.310125,0.319187,2.3632,16.829895,1.990043,0.174584,225.632,4.150543,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551416717,373092,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
30.39118,11.922685,-3.175498,-44.260017,2.468204,1.076654,16.4081,16.395515,1.035385,0.229383,225.632,4.318005,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551416734,373288,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
32.962109,8.311666,-6.891394,-50.873055,9.160146,0.270547,46.8103,16.38801,1.136508,0.048448,225.632,4.334741,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551416815,373382,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
34.864189,13.044082,-1.389446,-52.650246,2.493382,0.15901,34.4854,16.685043,0.94431,0.407617,225.632,4.476094,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551416910,373480,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
35.256363,11.344218,-3.441321,-52.341343,4.454488,0.94133,48.248,16.510983,0.818814,0.046588,225.632,4.459412,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551417018,373579,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.783485,9.522756,-7.675144,-49.391357,2.48644,1.227087,2.2918,16.810694,0.9566,0.04596,225.608,4.386756,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551417259,373778,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
33.828121,12.299013,-2.727709,-43.666481,4.824343,1.061173,6.2611,15.958981,0.945972,0.0564,225.608,4.366963,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551417316,373871,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
36.603081,4.634017,-18.066307,-53.138458,2.725882,1.343556,4.819,17.601435,1.116572,0.313542,225.608,4.257425,27.484,0,vacuum_cleaner,sess_1775551397495__arc_01,1775551417398,373966,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,13,arc,,0
