spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
0,0,0,0,0,0,0,0,0,0,229.439,0,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548860980,1924247,0,0,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
0,6.377787,20,-16.559774,0.349579,0.007101,32.7476,16.920994,0.1217,25,229.439,16.416622,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548860997,1924376,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
37.25423,11.533272,-7.503675,-64.57003,0.490288,2.687293,1.3226,17.103746,0.927373,3.375859,229.439,11.983003,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861024,1924470,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
41.757061,13.320284,-3.954287,-65.528046,5.023654,3.645169,10.746,16.92738,0.870813,3.393179,229.439,8.730162,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861118,1924563,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.378559,10.690973,-5.75771,-49.367882,3.697845,1.740611,21.4164,16.398394,1.181229,2.434228,229.439,7.030063,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861226,1924664,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
34.063091,9.885292,-6.056043,-45.741425,8.613726,0.472507,11.8914,16.505238,0.821338,0.449784,228.93,5.272421,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861539,1924958,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
28.700945,7.891973,-7.668617,-56.357071,5.636373,0.814223,3.1197,16.648647,1.164855,0.392538,228.93,5.106851,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861610,1925052,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
34.321732,4.525813,-14.990026,-55.364193,2.41887,1.433444,12.0659,15.82849,1.153674,0.845876,228.93,4.761269,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548861705,1925148,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.183178,4.568,-11.367796,-58.539921,4.312947,0.456751,44.6676,17.591156,1.17933,0.354084,228.93,4.626398,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862004,1925250,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.121204,9.561791,-7.59095,-46.682285,1.273701,0.120763,7.7894,15.739048,1.191175,0.69068,228.93,4.452676,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862031,1925443,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.19627,12.72661,-2.315402,-52.82489,8.421753,0.056058,51.012,16.812422,0.774923,0.052001,228.549,4.434153,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862088,1925537,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.26918,6.219771,-8.69762,-51.671234,11.971717,0.211861,18.276,15.734514,1.079095,0.036947,228.549,4.421046,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862196,1925632,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.41423,4.770843,-10.865211,-52.449875,0.582185,0.220333,23.6548,15.601789,1.307854,0.188516,228.549,4.354371,26.672,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862304,1925732,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.605331,10.449686,-5.237412,-48.665848,8.183529,5.285587,71.8964,16.438599,0.731182,0.873193,228.549,4.038299,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862528,1925929,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.553608,4.170757,-11.690155,-50.945793,3.967322,0.680956,5.5151,16.874643,0.810177,1.34653,228.549,4.473316,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862570,1926024,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
37.883888,7.268315,-7.638943,-55.332474,1.51408,0.007079,19.6606,17.323168,0.792576,0.081873,228.549,4.444016,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862692,1926117,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.421516,4.356245,-14.165703,-56.996109,2.342015,0.528573,9.9616,16.702532,0.786591,0.016136,228.549,4.449753,26.669,0,vacuum_cleaner,sess_1775548845659__start_01,1775548862773,1926216,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.209236,4.075912,-11.837407,-53.359524,0.069112,0.322854,3.4768,16.235283,0.481444,0.20725,228.549,4.421101,26.673,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863049,1926416,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.45549,13.710078,-1.774399,-53.59314,0.062436,0.5971,1.5497,16.128891,0.595509,0.111708,228.549,4.46061,26.673,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863063,1926510,1,1,1,0,1,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
39.518768,12.851924,-1.848858,-55.242657,4.473289,0.080682,6.0599,15.986413,0.956459,0.19027,228.048,4.392713,26.673,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863161,1926602,1,1,1,0,7,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.913975,8.971185,-6.129506,-55.718315,1.259231,1.211591,3.7846,17.561077,1.043697,0.181044,228.048,4.329091,26.673,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863269,1926703,1,1,1,0,13,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
30.711969,13.262615,-2.387489,-54.972782,0.697156,0.441058,41.6302,16.932278,0.365137,0.345923,228.048,4.400058,26.671,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863544,1926993,1,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
37.597622,7.685993,-7.43094,-56.472244,1.164588,0.182928,12.4308,17.51638,1.080058,0.259533,227.667,4.308701,26.671,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863655,1927086,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.045425,12.694944,-1.328963,-55.559456,3.811654,0.317082,53.0377,16.738503,0.748192,0.397069,227.667,4.44557,26.671,0,vacuum_cleaner,sess_1775548845659__start_01,1775548863736,1927184,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.904659,13.089471,-1.356899,-56.627575,0.996605,0.947528,55.3839,17.367584,0.941444,0.009785,227.667,4.44209,26.677,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864042,1927284,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
30.576021,5.610797,-10.733492,-50.56926,1.593071,0.276164,4.5361,16.522739,1.321396,0.524091,227.667,4.506366,26.677,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864070,1927479,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.200008,5.00496,-10.59752,-52.299828,1.480493,0.017749,3.8291,16.554735,1.216573,0.032991,227.58,4.51826,26.677,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864124,1927573,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
33.433598,10.201977,-4.773739,-47.338829,3.045623,0.695941,22.3067,16.760803,0.986517,0.704226,227.58,4.263709,26.677,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864235,1927668,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.737917,9.472059,-5.355201,-54.680511,5.575511,0.726272,53.8714,16.723888,1.091391,0.037746,227.58,4.276584,26.677,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864343,1927768,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.571747,9.901451,-5.180674,-48.101357,2.352897,0.129303,6.0377,16.664904,0.99441,0.369488,227.58,4.516148,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864558,1927965,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.020241,11.259563,-4.574572,-48.709114,5.58809,0.370506,69.3809,16.60004,0.422896,0.77629,227.58,4.23568,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864612,1928059,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.968407,8.565918,-6.318757,-48.247608,13.728621,0.502339,23.3744,16.456362,1.183967,0.1107,227.624,4.198168,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864724,1928154,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.992203,4.849658,-12.152082,-52.534256,3.713743,0.749433,23.6111,16.056934,1.082128,0.348845,227.624,4.31533,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548864805,1928254,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.076729,7.655386,-7.893749,-49.902512,12.358008,0.329787,5.5778,16.69257,0.998359,0.064284,227.624,4.316443,26.688,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865058,1928455,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.74374,13.52667,-1.594964,-49.307972,6.238199,0.311374,2.5256,16.429604,0.597209,0.262857,227.624,4.407212,26.688,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865111,1928549,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
34.695358,12.243492,-2.249962,-51.460094,5.723257,1.207467,53.7994,16.207542,1.106414,0.326988,227.408,4.291923,26.688,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865196,1928641,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.143036,7.925666,-6.923205,-55.069012,12.642651,0.617069,21.9277,17.06304,1.130435,0.053563,227.408,4.273532,26.688,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865305,1928742,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
31.777487,7.703718,-10.447771,-45.740891,6.25431,0.901512,2.3904,15.856537,0.64713,0.097876,227.408,4.190969,26.685,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865578,1928942,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.108528,13.367849,-1.555662,-54.043739,0.069447,0.855264,0.7157,16.860344,0.546508,0.75401,227.408,4.443772,26.685,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865592,1929040,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
39.821167,12.269367,-2.148997,-53.614849,27.300259,0.904667,9.3098,16.271904,1.142113,0.390665,227.378,4.30489,26.685,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865687,1929132,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
30.325556,7.774673,-7.089058,-52.738182,0.516151,0.32924,20.0197,16.355761,1.10503,0.18837,227.378,4.369763,26.685,0,vacuum_cleaner,sess_1775548845659__start_01,1775548865798,1929233,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
32.172367,13.345379,-1.055673,-54.512436,3.308912,0.251557,82.0171,17.772867,0.654731,0.214149,227.378,4.444625,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866104,1929331,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.438763,10.220827,-5.756213,-46.74807,4.849785,0.581321,85.5329,15.7784,0.71271,0.599918,227.378,4.154059,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866132,1929525,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
34.479412,4.758221,-12.603828,-49.477669,2.206883,1.265086,0.9183,16.024767,0.90282,1.088571,227.378,4.51582,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866185,1929620,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
37.373028,12.897588,-1.738241,-34.008278,2.721854,0.213327,0,17.04635,0.913845,0.0801,227.164,4.486882,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866269,1929714,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
35.999142,8.013793,-6.832031,-52.750378,4.529586,0.358536,62.2914,16.132013,0.794748,0.004797,227.164,4.48516,26.682,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866364,1929812,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
34.85693,6.819173,-8.690964,-52.193092,5.60061,0.588405,3.7684,15.856625,1.204743,0.728033,227.164,4.574638,26.68,0,vacuum_cleaner,sess_1775548845659__start_01,1775548866622,1930011,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,4,start,,0
