abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,581.707,228.336,0.000000,27.505,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245491,359866,359846,359866,359868,359946,30.000,2.234,100.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26418.29,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,923.648,228.423,0.000000,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245521,359896,359876,359896,359898,360409,30.000,2.191,533.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26076.35,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2396.566,228.423,0.000000,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245548,359923,359905,359923,359925,360425,27.000,2.142,520.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29396.57,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1705.838,228.423,0.000000,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245576,359951,359933,359951,359954,360439,28.000,2.246,506.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28705.84,0,7
0.000000,0.004511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2672.563,228.423,0.003633,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245631,360006,359988,360006,360008,360468,55.000,2.092,480.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29672.56,0,7
0.000000,0.000970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2657.090,228.423,0.004603,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245658,360033,360015,360033,360035,360483,27.000,2.131,468.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29657.09,0,7
0.000000,0.002950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,159.027,228.423,0.007553,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245686,360061,360042,360061,360063,360497,28.000,2.248,455.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,27159.03,0,7
0.000000,0.001850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1757.441,228.423,0.009402,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245715,360090,360071,360090,360092,360512,29.000,2.221,441.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28757.44,0,7
0.000000,0.000137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,590.184,228.423,0.009266,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245743,360118,360099,360118,360121,360526,28.000,2.195,427.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26409.82,0,7
0.000000,0.000313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,2133.697,228.423,0.005030,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245803,360178,360157,360178,360181,360567,60.000,2.207,410.000,512,256,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,24866.30,0,7
0.000000,0.001134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1166.225,228.423,0.006163,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245832,360207,360189,360207,360210,360581,29.000,2.218,392.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28166.22,0,7
0.000000,0.000377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1867.840,228.423,0.005786,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245860,360235,360216,360235,360237,360597,28.000,2.069,381.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28867.84,0,7
0.000000,0.001754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,1982.242,228.423,0.007541,27.500,-1,resistive_linear,electric_kettle,3,start,unknown,0,electric_kettle,sess_1776062232683,1776062245888,360263,360245,360263,360265,360610,28.000,2.224,365.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28982.24,0,7
