abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.793911,0.351653,19.481613,5.702281,3.094632,1.555412,-58.487427,0.000000,25.153879,0.000000,8.077292,22.5692,5.265246,-6.102142,0.000000,0.000000,142.354,226.851,5.888353,27.560,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062411958,526333,526314,526333,526339,526431,29.000,6.203,117.000,512,256,0,437,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,27142.35,0,7
0.552856,0.260434,14.931885,6.025870,5.079265,1.234707,-54.916573,0.000000,26.388586,0.000000,9.521903,21.7251,10.344511,-5.187809,0.000000,0.000000,810.396,227.045,5.627920,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062411987,526362,526342,526362,526369,526794,29.000,6.674,452.000,512,256,0,438,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26189.60,0,7
0.304796,0.137230,8.157429,6.291213,5.060062,5.933508,-56.390556,0.000000,20.455078,0.000000,6.771114,16.2178,5.284449,-7.373828,0.000000,0.000000,2198.588,227.045,5.765150,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412015,526390,526372,526390,526396,526814,28.000,5.974,442.000,512,256,0,439,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29198.59,0,7
0.814098,0.384692,3.191744,6.687212,1.630618,1.189092,-42.261360,0.000000,13.572288,0.000000,7.237968,15.4431,7.765850,-7.698074,0.000000,0.000000,19.172,227.045,5.522019,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412072,526447,526428,526447,526454,526850,57.000,6.654,422.000,512,256,0,441,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26980.83,0,7
0.707000,0.312326,6.072721,6.583513,1.261299,14.102298,-55.588791,0.000000,27.674585,0.000000,9.180169,17.5896,9.027149,-4.250098,0.000000,0.000000,2463.762,227.045,5.834345,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412099,526474,526456,526474,526480,526872,27.000,5.967,416.000,512,256,0,442,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29463.76,0,7
0.752951,0.351439,1.288238,6.748481,0.147660,3.662601,-39.887367,0.000000,24.011984,0.000000,8.973953,16.1616,8.879489,-8.328735,0.000000,0.000000,197.652,227.045,5.482906,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412130,526505,526486,526505,526511,526893,31.000,6.178,407.000,512,256,0,441,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26802.35,0,7
0.724121,0.317624,8.107469,4.858906,2.846685,1.946947,-54.209160,0.000000,25.958931,0.000000,8.370205,16.3911,11.726174,-5.269336,0.000000,0.000000,2396.566,227.045,5.800529,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412157,526532,526514,526532,526538,526908,27.000,5.785,394.000,512,256,0,442,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29396.57,0,7
0.160911,0.074670,15.322182,5.084303,0.675045,5.990023,-51.511227,0.000000,31.948954,0.000000,3.952066,19.3215,11.051129,-10.832668,0.000000,0.000000,1182.080,227.045,5.725860,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412190,526565,526547,526565,526572,526929,33.000,6.121,382.000,512,256,0,443,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28182.08,0,7
0.391573,0.179368,8.965580,5.269128,0.138255,1.361609,-57.807503,0.000000,33.310562,0.000000,10.265599,24.4811,11.189384,-3.615685,0.000000,0.000000,1615.063,227.045,5.905227,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412218,526593,526575,526593,526599,526961,28.000,5.959,386.000,512,256,0,444,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28615.06,0,7
0.519440,0.245393,11.954641,5.420685,1.851415,3.432474,-54.126053,0.000000,29.878088,0.000000,6.019242,10.1926,13.040799,-9.485271,0.000000,0.000000,1788.523,227.045,5.659834,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412246,526621,526603,526621,526627,526983,28.000,6.053,380.000,512,256,0,445,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28788.52,0,7
0.046446,0.021256,28.095314,4.172373,0.056961,1.719608,-48.009487,0.000000,25.835207,0.000000,9.345243,33.7590,10.942713,-4.256289,0.000000,0.000000,1937.193,227.045,5.699358,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412305,526680,526659,526680,526687,527019,59.000,6.790,360.000,512,256,0,445,0,5,1,1,1,1,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,25062.81,0,7
0.042606,0.019426,28.296024,4.521346,2.189258,0.953960,-47.108765,0.000000,26.789167,0.000000,4.759211,25.8803,8.753455,-11.696397,0.000000,0.000000,1378.117,227.045,5.718784,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412335,526710,526689,526710,526716,527041,30.000,6.239,352.000,512,256,0,446,0,4,1,1,1,1,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,25621.88,0,7
0.023598,0.010796,8.607494,4.807503,2.467368,1.014215,-53.388096,0.000000,25.774952,0.000000,6.201873,8.7579,11.220823,-9.128171,0.000000,0.000000,2432.059,227.045,5.707988,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412362,526737,526720,526737,526743,527055,27.000,5.843,335.000,512,256,0,445,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,29432.06,0,7
0.558484,0.255026,32.630470,3.461402,5.161928,2.009565,-45.223499,0.000000,23.765387,0.000000,6.833968,23.7887,6.058895,-7.934795,0.000000,0.000000,376.996,227.045,5.452962,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412391,526766,526746,526766,526772,527095,29.000,6.197,349.000,512,256,0,446,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26623.00,0,7
0.884690,0.385935,22.062975,4.188350,4.165739,4.657270,-53.765045,0.000000,28.422657,0.000000,10.074563,21.8839,10.224634,-3.684189,0.000000,0.000000,343.746,227.045,5.838897,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412420,526795,526776,526795,526802,527109,29.000,6.256,333.000,512,256,0,447,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26656.25,0,7
0.537464,0.251056,13.000071,4.784447,1.396432,0.930077,-46.882530,0.000000,27.492580,0.000000,5.601823,12.4562,8.828202,-9.591063,0.000000,0.000000,826.846,227.045,5.587841,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412448,526823,526804,526823,526830,527131,28.000,6.137,327.000,512,256,0,448,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,27826.85,0,7
0.824856,0.368734,17.527710,5.273246,3.636393,2.939951,-61.321045,0.000000,24.552629,0.000000,9.658230,25.0905,5.191810,-4.478845,0.000000,0.000000,456.297,227.045,5.956575,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412478,526853,526833,526853,526859,527145,30.000,6.249,312.000,512,256,0,449,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26543.70,0,7
0.842274,0.369513,21.502199,5.752731,3.381161,2.551228,-53.380524,0.000000,26.470348,0.000000,10.027131,23.0679,7.979884,-3.893749,0.000000,0.000000,742.176,227.045,5.853351,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412537,526912,526892,526912,526918,527188,59.000,6.274,296.000,512,256,0,451,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26257.82,0,7
0.596728,0.279429,5.996885,6.067239,1.087278,0.946745,-52.043602,0.000000,25.523603,0.000000,4.439350,8.2272,9.067163,-10.926216,0.000000,0.000000,1237.328,227.045,5.573922,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412565,526940,526921,526940,526946,527222,28.000,6.103,301.000,512,256,0,452,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,28237.33,0,7
0.857460,0.382354,18.113001,6.075136,4.337358,2.825478,-57.346169,0.000000,22.698126,0.000000,9.617964,24.7578,4.729805,-4.517589,0.000000,0.000000,530.723,227.045,5.956276,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412594,526969,526950,526969,526976,527243,29.000,6.241,293.000,512,256,0,453,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26469.28,0,7
1.145923,0.546036,12.403673,6.331612,5.624395,1.213831,-43.827660,0.000000,23.911957,0.000000,5.764050,20.9761,10.354200,-9.937998,0.000000,0.000000,1679.430,227.045,5.410240,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412625,527000,526979,527000,527006,527257,31.000,6.735,278.000,512,256,0,454,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,25320.57,0,7
0.766319,0.331678,21.454191,6.541922,1.877758,3.765944,-53.805695,0.000000,20.146013,0.000000,10.277549,21.7967,8.476442,-3.529548,0.000000,0.000000,469.434,227.045,5.741919,27.563,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412655,527030,527010,527030,527036,527278,30.000,6.230,268.000,512,256,0,455,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26530.57,0,7
0.203629,0.093538,23.328674,6.714375,0.165198,2.219534,-51.369370,0.000000,17.926479,0.000000,4.151914,19.3031,8.311244,-10.900799,0.000000,0.000000,255.963,227.045,5.648381,27.559,-1,resistive_linear,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1776062398086,1776062412683,527058,527039,527058,527065,527293,28.000,6.211,254.000,512,256,0,456,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,1,0,0,26744.04,0,7
