abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.605379,0.290863,17.800518,0.000000,2.329066,6.450142,-53.902313,0.000000,19.146910,0.000000,9.198559,16.9953,7.086263,-5.523987,0.804205,0.000000,422.836,231.400,5.714928,27.716,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302767,4417142,4417122,4417142,4417148,4417187,29.000,6.196,65.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,4,1.0000,1.0000,1,0,0,0,26577.16,0,7
0.572740,0.261854,7.397251,0.000000,0.457776,3.363192,-58.056278,0.000000,22.510101,0.000000,8.689823,25.3273,7.544038,-5.202629,0.780270,0.000000,1346.938,231.400,5.976782,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302795,4417170,4417152,4417170,4417177,4417548,28.000,6.063,396.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,1.0000,1.0000,1,0,0,0,28346.94,0,7
0.276001,0.131968,31.438297,0.000000,0.173295,3.058681,-41.022156,0.000000,19.451420,0.000000,9.081559,19.8840,7.370744,-4.992718,0.757037,0.000000,829.168,231.400,5.844814,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302825,4417200,4417180,4417200,4417207,4417587,30.000,6.650,407.000,512,256,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0.9192,0.9192,1,0,0,0,26170.83,0,7
0.098056,0.045850,7.835388,1.350000,2.971980,6.178688,-55.131817,0.000000,25.630108,0.000000,5.872746,10.2202,10.342724,-8.552797,0.734493,0.000000,2660.527,231.400,5.890664,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302852,4417227,4417209,4417227,4417233,4417601,27.000,5.768,392.000,512,256,0,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0.9974,0.9974,1,0,0,0,29660.53,0,7
0.703403,0.331481,19.566917,2.457000,0.145833,7.707264,-44.353237,0.000000,33.337372,0.000000,9.770807,17.2078,10.196891,-4.472414,0.712613,0.000000,1337.977,231.400,5.559182,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302884,4417259,4417238,4417259,4417265,4417620,32.000,6.234,382.000,512,256,0,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0.9992,0.9992,1,0,0,0,25662.02,0,7
0.883884,0.393095,8.268419,3.364740,2.029805,1.007881,-54.633709,0.000000,34.345253,0.000000,8.530306,16.4420,12.226696,-4.963357,0.691386,0.000000,2398.262,231.400,5.952277,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302911,4417286,4417269,4417286,4417292,4417634,27.000,5.819,365.000,512,256,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0.9964,0.9964,1,0,0,0,29398.26,0,7
0.173468,0.082603,16.073555,2.422613,1.256887,2.076027,-51.613335,0.000000,32.269226,0.000000,4.643622,22.2055,10.969809,-10.888285,0.670785,0.000000,537.793,231.400,5.869674,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302945,4417320,4417301,4417320,4417326,4417654,34.000,6.076,353.000,512,256,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0.9869,0.9869,1,0,0,0,27537.79,0,7
0.260925,0.122524,10.145476,1.744281,1.021273,0.108112,-56.032887,0.000000,32.377338,0.000000,10.398425,21.0513,11.991081,-3.771477,0.650792,0.000000,1851.574,231.400,5.992198,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066302973,4417348,4417330,4417348,4417354,4417674,28.000,5.862,344.000,512,256,0,2,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0.9682,0.9682,1,0,0,0,28851.57,0,7
0.477955,0.229121,9.609179,2.780311,1.923454,5.103767,-51.047066,0.000000,27.273571,0.000000,4.489144,6.6138,10.067627,-11.980293,0.631394,0.000000,1783.512,231.400,5.763077,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303000,4417375,4417357,4417375,4417381,4417706,27.000,6.033,349.000,512,256,0,3,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0.9141,0.9141,1,0,0,0,28783.51,0,7
0.351878,0.162232,10.606282,3.629855,1.579872,1.045315,-54.362110,0.000000,28.318886,0.000000,6.836603,18.3690,11.647499,-7.298702,1.452497,0.000000,1946.201,230.748,5.925310,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303028,4417403,4417385,4417403,4417409,4417720,28.000,5.977,335.000,512,256,0,4,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0.7697,0.7697,1,0,0,0,28946.20,0,7
0.312754,0.148253,34.646763,4.326481,1.941391,4.439358,-44.844177,0.000000,32.758244,0.000000,8.723074,31.1317,9.706108,-5.040077,1.409534,0.000000,1995.070,230.748,5.777056,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303058,4417433,4417412,4417433,4417440,4417729,30.000,6.770,317.000,512,256,0,5,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0.6032,0.6032,1,0,0,0,25004.93,0,7
0.639930,0.316753,8.389931,5.366126,0.401482,0.974121,-52.984940,0.000000,24.708107,0.000000,7.971505,11.2944,10.352826,-7.535185,1.327331,0.000000,2430.369,230.748,5.870489,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303115,4417490,4417472,4417490,4417496,4417762,57.000,6.004,290.000,512,256,0,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.8258,0.8258,1,0,0,0,29430.37,0,7
0.438131,0.205764,20.409748,3.863611,0.858668,3.231466,-50.155128,0.000000,21.476641,0.000000,10.057898,32.9240,9.494158,-7.916219,1.288026,0.000000,541.004,230.748,6.076252,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303145,4417520,4417500,4417520,4417526,4417775,30.000,6.269,275.000,512,256,0,6,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0.9050,0.9050,1,0,0,0,26459.00,0,7
0.288707,0.140341,17.387722,4.518161,1.919253,7.391594,-54.465866,0.000000,28.868235,0.000000,10.276123,22.3881,11.413411,-4.296349,1.249867,0.000000,79.934,230.748,5.935912,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303173,4417548,4417529,4417548,4417555,4417796,28.000,6.186,267.000,512,256,0,7,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0.9545,0.9545,1,0,0,0,27079.93,0,7
0.499579,0.237237,9.093763,5.054892,0.626177,0.866636,-52.216652,0.000000,29.734871,0.000000,4.329625,7.9976,10.787234,-11.084119,1.212828,0.000000,1262.066,230.748,5.698675,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303201,4417576,4417558,4417576,4417582,4417828,28.000,6.083,270.000,512,256,0,6,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9779,0.9779,1,0,0,0,28262.07,0,7
0.939329,0.428236,17.480656,3.639522,5.638113,1.318180,-61.171097,0.000000,31.053051,0.000000,9.010561,24.7192,5.149121,-5.162970,1.176874,0.000000,525.000,230.748,6.126910,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303230,4417605,4417585,4417605,4417612,4417849,29.000,6.211,264.000,512,256,0,7,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9950,0.9950,1,0,0,0,26475.00,0,7
1.108021,0.543101,1.714743,4.334408,2.752032,9.129822,-51.915466,0.000000,21.923229,0.000000,4.635406,14.4815,7.901153,-11.058580,1.141969,0.000000,648.934,230.748,5.583809,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303260,4417635,4417615,4417635,4417641,4417862,30.000,6.703,247.000,512,256,0,8,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9973,0.9973,1,0,0,0,26351.07,0,7
0.584990,0.283473,6.642001,5.371456,2.659385,7.790455,-53.700150,0.000000,34.759815,0.000000,4.176061,5.1620,13.480214,-11.481884,1.075204,0.000000,1826.305,230.748,5.773726,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303317,4417692,4417674,4417692,4417698,4417895,57.000,6.034,221.000,512,256,0,10,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9988,0.9988,1,0,0,0,28826.30,0,7
0.687263,0.317446,18.552345,5.754594,8.142403,3.542919,-60.952076,0.000000,31.216896,0.000000,8.400330,24.5822,5.337811,-6.057481,1.043285,0.000000,650.020,230.748,6.091172,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303346,4417721,4417702,4417721,4417728,4417914,29.000,6.187,212.000,512,256,0,11,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9997,0.9997,1,0,0,0,26349.98,0,7
0.881842,0.429717,14.954223,6.068767,4.326725,9.937243,-49.177101,0.000000,21.279654,0.000000,5.759574,16.5339,9.664536,-17.939457,1.012303,0.000000,417.781,230.748,5.661455,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303377,4417752,4417732,4417752,4417759,4417946,31.000,6.662,214.000,512,256,0,12,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9998,0.9998,1,0,0,0,26582.22,0,7
0.188747,0.085487,29.483715,6.326389,1.602326,3.663673,-52.635361,0.000000,17.615980,0.000000,9.696926,20.4901,8.062209,-4.535367,0.982235,0.000000,1733.666,230.748,5.746942,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303407,4417782,4417761,4417782,4417788,4417966,30.000,6.304,205.000,512,256,0,11,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0.9999,0.9999,1,0,0,0,25266.33,0,7
0.095251,0.043792,10.203118,4.555000,0.617394,0.820034,-53.205521,0.000000,18.436014,0.000000,4.049382,16.6021,7.444815,-10.501156,0.953049,0.000000,1590.473,230.748,5.790734,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303435,4417810,4417792,4417810,4417816,4417981,28.000,6.068,189.000,512,256,0,10,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,28590.47,0,7
0.507546,0.235126,20.115671,3.279600,0.034479,0.320505,-55.799259,0.000000,18.756519,0.000000,9.937708,23.7640,7.479293,-4.252262,0.924720,0.000000,424.836,230.748,6.025859,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303464,4417839,4417820,4417839,4417846,4418003,29.000,6.209,183.000,512,256,0,11,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26575.16,0,7
0.737075,0.355321,16.229847,4.039272,1.362704,0.737473,-53.442440,0.000000,18.019047,0.000000,4.297072,19.1060,8.841997,-11.043556,0.897225,0.000000,612.051,230.748,5.670538,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303494,4417869,4417849,4417869,4417875,4418025,30.000,6.248,176.000,512,256,0,12,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26387.95,0,7
0.637746,0.289310,20.000227,4.662203,1.496948,4.241669,-58.461899,0.000000,22.260715,0.000000,10.114729,23.3700,7.345049,-3.850472,0.870544,0.000000,695.016,230.748,5.959847,27.720,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303523,4417898,4417878,4417898,4417904,4418039,29.000,6.217,161.000,512,256,0,13,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26304.98,0,7
0.651849,0.300504,19.748899,5.341866,3.086767,4.840784,-60.626251,0.000000,25.585409,0.000000,9.794013,23.7352,6.195620,-4.396990,0.819512,0.000000,358.496,230.748,6.063030,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303580,4417955,4417936,4417955,4417962,4418093,57.000,6.177,157.000,512,256,0,15,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26641.50,0,7
1.295077,0.628169,20.508701,5.730330,3.122583,2.930212,-50.585522,0.000000,28.515621,0.000000,4.749528,22.3014,9.318203,-11.388294,0.795123,0.000000,2049.129,230.748,5.434861,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303611,4417986,4417965,4417986,4417993,4418114,31.000,6.819,149.000,512,256,0,16,0,5,1,1,1,1,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,24950.87,0,7
0.896026,0.389583,21.805252,6.048870,0.147175,8.529015,-50.627308,0.000000,19.986607,0.000000,10.178128,20.4043,9.171028,-3.475150,0.771456,0.000000,346.705,230.748,5.824444,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303640,4418015,4417995,4418015,4418021,4418128,29.000,6.187,133.000,512,256,0,17,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26653.29,0,7
0.070899,0.033036,21.835428,6.310073,0.241026,3.778013,-58.101128,0.000000,23.764620,0.000000,3.266979,20.8697,8.930002,-11.625571,0.748483,0.000000,143.348,230.748,5.857480,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303669,4418044,4418025,4418044,4418051,4418150,29.000,6.251,125.000,512,256,0,16,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26856.65,0,7
0.084322,0.039513,19.463179,4.543253,0.850632,5.947523,-59.254784,0.000000,29.712143,0.000000,10.229545,21.4612,8.079370,-4.024749,0.726193,0.000000,136.027,230.748,5.896993,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303698,4418073,4418054,4418073,4418080,4418268,29.000,6.190,214.000,512,256,0,17,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26863.97,0,7
0.104700,0.049393,24.028667,5.075468,1.068038,6.825966,-51.702950,0.000000,22.886177,0.000000,4.206083,20.5340,9.147408,-15.121561,0.704560,0.000000,348.232,230.748,5.847600,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303728,4418103,4418083,4418103,4418109,4418301,30.000,6.216,218.000,512,256,0,18,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26651.77,0,7
0.115941,0.054238,21.093164,5.511883,0.278413,9.644775,-54.547195,0.000000,13.241402,0.000000,9.875579,19.8402,8.868996,-4.445447,0.683565,0.000000,474.170,230.748,5.793362,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303757,4418132,4418112,4418132,4418138,4418322,29.000,6.203,210.000,512,256,0,19,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26525.83,0,7
0.196704,0.094145,10.156937,5.958190,0.138760,6.109150,-54.697594,0.000000,22.537399,0.000000,10.161983,18.7789,7.863894,-5.020585,0.643428,0.000000,795.336,230.748,5.888482,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303815,4418190,4418171,4418190,4418196,4418358,58.000,6.075,187.000,512,256,0,21,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,27795.34,0,7
0.215430,0.101485,9.789714,5.985716,0.974430,7.032660,-56.165527,0.000000,15.504740,0.000000,3.732579,11.4235,8.838324,-12.406516,0.624248,0.000000,2012.445,230.748,5.786997,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303843,4418218,4418200,4418218,4418224,4418380,28.000,5.994,180.000,512,256,0,22,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,29012.45,0,7
0.440748,0.204049,7.172494,6.258287,4.071391,8.992119,-62.095467,0.000000,24.496859,0.000000,9.583144,20.0156,4.766933,-4.051157,0.532326,0.000000,2226.672,230.242,5.991046,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303869,4418244,4418227,4418244,4418251,4418401,26.000,6.046,174.000,512,256,0,23,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,29226.67,0,7
0.539285,0.258471,11.099186,6.481796,3.874492,2.804962,-55.052017,0.000000,21.691896,0.000000,6.182989,9.8645,8.641425,-9.158876,0.516437,0.000000,1490.035,230.242,5.732575,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303899,4418274,4418255,4418274,4418280,4418418,30.000,6.121,163.000,512,256,0,24,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,28490.04,0,7
0.413751,0.189749,20.808132,6.665072,1.524544,7.717376,-52.189995,0.000000,13.974521,0.000000,3.713208,21.8415,7.116881,-11.822101,0.501021,0.000000,194.492,230.242,5.922324,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303927,4418302,4418283,4418302,4418309,4418439,28.000,6.180,156.000,512,256,0,25,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,27194.49,0,7
0.246370,0.116727,23.321615,6.815360,1.830776,4.977897,-51.969471,0.000000,18.952417,0.000000,9.987834,19.7537,8.947657,-4.384196,0.486064,0.000000,410.250,230.242,5.805597,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066303957,4418332,4418312,4418332,4418338,4418461,30.000,6.236,149.000,512,256,0,26,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26589.75,0,7
0.614239,0.289746,16.372425,6.789648,0.047547,3.751120,-50.145966,0.000000,22.237928,0.000000,8.952431,16.8688,9.083641,-5.546465,0.457469,0.000000,786.168,230.242,5.606688,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066304016,4418391,4418371,4418391,4418397,4418498,59.000,6.255,127.000,512,256,0,28,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26213.83,0,7
0.866317,0.388575,7.618104,6.917511,1.604258,0.043684,-60.023323,0.000000,22.194244,0.000000,8.453957,27.8302,7.479383,-5.401793,0.443806,0.000000,888.500,230.242,5.995263,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066304044,4418419,4418401,4418419,4418426,4418519,28.000,6.132,118.000,512,256,0,29,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,27888.50,0,7
0.565719,0.271331,22.902992,6.772359,3.068838,0.624283,-52.404785,0.000000,22.818527,0.000000,9.422493,18.2293,10.548222,-5.137984,0.430551,0.000000,383.770,230.242,5.723932,27.715,-1,resistive_linear,electric_kettle,7,arc,unknown,0,electric_kettle,sess_1776066287014,1776066304074,4418449,4418429,4418449,4418455,4418554,30.000,6.681,125.000,512,256,0,30,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,0,0,0,26616.23,0,7
