abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.011736,0.000000,743.402,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785528,4899903,4899883,4899903,4899905,4900071,30.000,2.191,188.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26256.60,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.011384,0.000000,170.322,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785558,4899933,4899913,4899933,4899935,4900073,30.000,2.225,160.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,27170.32,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.011045,0.000000,2411.766,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785584,4899959,4899942,4899959,4899961,4900088,26.000,2.134,146.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,29411.77,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.010712,0.000000,1652.855,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785613,4899988,4899969,4899988,4899990,4900102,29.000,2.248,133.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28652.86,0,7
0.000000,0.004839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.010079,0.000000,1161.475,233.167,0.003680,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785669,4900044,4900025,4900044,4900047,4900146,56.000,2.215,121.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,28161.47,0,7
0.000000,0.002279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.009778,0.000000,1235.105,233.167,0.005958,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785700,4900075,4900055,4900075,4900077,4900160,31.000,2.206,105.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,25764.89,0,7
0.000000,0.005958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.009485,0.000000,275.172,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785731,4900106,4900085,4900106,4900108,4900175,31.000,2.236,90.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26724.83,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.009197,0.000000,77.898,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785760,4900135,4900116,4900135,4900137,4900189,29.000,2.199,73.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26922.10,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.008923,0.000000,583.063,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785790,4900165,4900145,4900165,4900167,4900204,30.000,2.228,59.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26416.94,0,7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.008656,0.000000,911.584,233.167,0.000000,27.704,-1,resistive_linear,electric_kettle,8,start,unknown,0,electric_kettle,sess_1776066770923,1776066785820,4900195,4900175,4900195,4900197,4900218,30.000,2.195,43.000,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0.0000,0.0000,0,0,0,0,26088.42,0,7
