spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.074,0.000000,27.637,0,Electric_Kettle,sess_1775550160461,1775550162845,369049,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163090,369503,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163106,369754,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163145,369814,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163226,369880,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163281,369949,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.233,0.000000,27.628,0,Electric_Kettle,sess_1775550160461,1775550163348,370016,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.559,0.000000,27.625,0,Electric_Kettle,sess_1775550160461,1775550163611,370277,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.559,0.000000,27.625,0,Electric_Kettle,sess_1775550160461,1775550163681,370339,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.559,0.000000,27.625,0,Electric_Kettle,sess_1775550160461,1775550163748,370407,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.559,0.000000,27.625,0,Electric_Kettle,sess_1775550160461,1775550163830,370476,1,0,1,0,0,32768.00,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,229.559,0.000000,27.625,0,Electric_Kettle,sess_1775550160461,1775550163884,370545,1,0,1,0,0,32768.00,0,4
28.817966,13.064957,-3.962023,-64.472412,0.036552,0.001240,0.7571,16.323854,0.334925,0.090938,229.717,5.968709,27.616,0,Electric_Kettle,sess_1775550160461,1775550164242,370834,0,1,1,0,0,32768.00,0,4
32.779533,12.256636,-4.700773,-51.999939,7.272117,0.016547,1.9776,15.339437,0.890445,0.296877,229.717,5.826952,27.616,0,Electric_Kettle,sess_1775550160461,1775550164298,370925,0,1,1,0,0,32768.00,0,4
34.675632,10.984676,-5.166495,-62.426266,3.888639,0.003783,1.4319,15.384575,0.855012,0.033770,229.717,5.811209,27.616,0,Electric_Kettle,sess_1775550160461,1775550164379,371019,0,1,1,0,0,32768.00,0,4
33.679432,7.462990,-9.932465,-64.488083,0.033772,0.025125,0.9033,14.989768,0.246025,0.010298,229.717,5.906039,27.621,0,Electric_Kettle,sess_1775550160461,1775550164647,371214,0,1,1,0,0,32768.00,0,4
29.537804,11.450356,-5.164221,-62.802704,0.000674,0.025491,0.9180,14.916626,0.432806,0.340171,229.717,6.066764,27.621,0,Electric_Kettle,sess_1775550160461,1775550164674,371307,0,1,1,0,0,32768.00,0,4
30.518406,11.922612,-4.279743,-61.111187,17.474178,0.035339,1.0576,15.129274,0.857552,0.400921,229.640,5.872180,27.621,0,Electric_Kettle,sess_1775550160461,1775550164759,371401,0,1,1,0,0,32768.00,0,4
34.006157,12.802607,-3.038714,-66.622452,2.588059,0.041233,0.8946,15.640296,0.619934,0.034344,229.640,5.888314,27.621,0,Electric_Kettle,sess_1775550160461,1775550164866,371500,0,1,1,0,0,32768.00,0,4
34.069969,11.749244,-4.659367,-53.223198,28.415071,0.174356,2.1691,15.508192,1.311425,0.461697,228.928,5.760324,27.609,0,Electric_Kettle,sess_1775550160461,1775550165670,372067,0,1,1,0,0,32768.00,0,4
35.045269,12.644861,-4.188826,-62.183685,0.038698,0.004576,0.6823,15.093256,0.253999,0.414686,228.928,5.866804,27.609,0,Electric_Kettle,sess_1775550160461,1775550165686,372258,0,1,1,0,0,32768.00,0,4
32.354717,12.106423,-8.399247,-63.124718,0.090004,0.016395,1.6000,15.893957,0.111632,0.220203,228.928,5.763453,27.609,0,Electric_Kettle,sess_1775550160461,1775550165712,372351,0,1,1,0,0,32768.00,0,4
33.621918,3.906732,-13.637768,-65.066628,2.769690,0.043048,1.3764,16.793016,0.722077,0.078113,228.928,5.799469,27.609,0,Electric_Kettle,sess_1775550160461,1775550165807,372445,0,1,1,0,0,32768.00,0,4
29.477558,4.140300,-12.046758,-61.738281,2.117302,0.057624,0.4476,15.013731,0.805351,0.023499,228.928,5.788567,27.609,0,Electric_Kettle,sess_1775550160461,1775550165914,372544,0,1,1,0,0,32768.00,0,4
32.385998,9.259519,-7.723293,-63.569187,1.268964,0.056186,7.6900,15.287392,0.300822,0.248674,228.928,5.808062,27.602,0,Electric_Kettle,sess_1775550160461,1775550166172,372743,0,1,1,0,0,32768.00,0,4
32.121838,11.348281,-5.481596,-55.700722,0.002974,0.011495,1.0863,15.654925,0.862063,0.238716,228.077,5.918980,27.602,0,Electric_Kettle,sess_1775550160461,1775550166198,372838,0,1,1,0,0,32768.00,0,4
32.181149,12.544083,-3.393519,-61.645912,9.571129,0.084652,50.6385,15.896398,0.817254,0.020853,228.077,5.909106,27.602,0,Electric_Kettle,sess_1775550160461,1775550166294,372931,1,1,1,0,2,32768.00,0,4
29.051384,12.002527,-3.976310,-62.893456,3.717376,0.000988,6.8398,15.121626,0.703263,0.004958,228.077,5.911449,27.602,0,Electric_Kettle,sess_1775550160461,1775550166403,373030,1,1,1,0,8,32768.00,0,4
35.303822,3.373279,-14.356208,-47.774334,0.003581,0.000481,0.0000,14.759424,0.030782,0.000197,227.145,5.760374,27.605,0,Electric_Kettle,sess_1775550160461,1775550166773,373417,1,1,1,0,13,32768.00,0,4
37.270359,7.133430,-9.038659,-64.399948,1.733351,0.053494,0.4744,15.591855,1.019122,0.101262,227.145,5.807039,27.605,0,Electric_Kettle,sess_1775550160461,1775550166883,373508,1,1,1,0,20,32768.00,0,4
32.951385,7.439427,-8.896417,-63.355095,0.960944,0.065475,1.2159,15.990429,0.605859,0.244798,227.145,5.693315,27.599,0,Electric_Kettle,sess_1775550160461,1775550167180,373608,1,1,1,0,20,32768.00,0,4
31.113832,10.716143,-6.392904,-61.289261,1.575888,0.151615,0.5837,14.921618,0.610529,0.097356,227.145,5.808497,27.599,0,Electric_Kettle,sess_1775550160461,1775550167207,373803,1,1,1,0,20,32768.00,0,4
32.370914,12.660692,-3.549455,-51.434437,2.017163,0.366525,2.9228,15.747877,0.767868,0.114466,227.145,5.755307,27.599,0,Electric_Kettle,sess_1775550160461,1775550167261,373896,1,1,1,0,20,32768.00,0,4
34.636978,6.259501,-10.099201,-62.224548,3.089496,0.022089,1.1566,16.285418,0.697478,0.159289,226.436,5.681966,27.599,0,Electric_Kettle,sess_1775550160461,1775550167372,373991,1,1,1,0,20,32768.00,0,4
31.281343,8.714627,-7.221949,-63.278385,0.686634,0.015221,0.5325,15.778657,0.967198,0.193194,226.436,5.769784,27.599,0,Electric_Kettle,sess_1775550160461,1775550167453,374090,1,1,1,0,20,32768.00,0,4
31.286434,5.501246,-11.785383,-63.364521,0.006707,0.171286,0.7757,15.419425,0.220929,0.218961,225.890,5.830144,27.596,0,Electric_Kettle,sess_1775550160461,1775550167823,374384,1,1,1,0,20,32768.00,0,4
29.751659,3.195867,-16.096777,-63.577759,0.000589,0.018952,1.0617,15.097845,0.152407,0.118537,225.890,5.774857,27.596,0,Electric_Kettle,sess_1775550160461,1775550167827,374475,0,1,1,0,18,32768.00,0,4
32.669487,9.665322,-6.385191,-64.231949,6.184831,0.102605,2.5155,16.482679,0.735150,0.074536,225.890,5.809292,27.596,0,Electric_Kettle,sess_1775550160461,1775550167935,374568,1,1,1,0,9,32768.00,0,4
29.904974,13.119398,-4.033177,-64.297104,0.000754,0.019269,0.6563,16.229668,0.269553,0.081319,225.890,5.889412,27.586,0,Electric_Kettle,sess_1775550160461,1775550168310,374953,1,1,1,0,14,32768.00,0,4
31.446812,11.330498,-4.923942,-64.517532,1.470525,0.031710,0.9660,16.186554,0.925620,0.242234,225.763,5.775283,27.586,0,Electric_Kettle,sess_1775550160461,1775550168421,375046,1,1,1,0,20,32768.00,0,4
30.302397,9.117270,-7.884031,-59.213875,1.160125,0.058365,1.9519,16.353262,0.513360,0.294920,225.763,5.675673,27.581,0,Electric_Kettle,sess_1775550160461,1775550168717,375338,1,1,1,0,20,32768.00,0,4
31.703339,6.875813,-9.095457,-62.883308,1.973815,0.094664,0.3687,16.923368,0.968162,0.349474,225.763,5.834353,27.581,0,Electric_Kettle,sess_1775550160461,1775550168798,375433,1,1,1,0,20,32768.00,0,4
27.609392,6.160082,-10.003479,-52.571861,10.594719,0.019869,1.0109,16.671642,0.734031,0.006708,225.580,5.837484,27.581,0,Electric_Kettle,sess_1775550160461,1775550168896,375532,1,1,1,0,20,32768.00,0,4
31.037157,8.560379,-7.517581,-62.244804,2.653443,0.071557,26.3626,16.259928,0.674348,0.097936,225.580,5.883221,27.572,0,Electric_Kettle,sess_1775550160461,1775550169296,375633,1,1,1,0,20,32768.00,0,4
32.367592,10.846337,-5.780847,-53.196068,0.842039,0.269127,4.9913,16.319988,0.458325,0.170325,225.580,5.661939,27.572,0,Electric_Kettle,sess_1775550160461,1775550169323,375920,1,1,1,0,20,32768.00,0,4
35.431835,15.278427,-4.270040,-50.523056,0.000000,0.000000,6.5820,15.789402,0.000000,3.923911,225.580,3.884580,27.572,0,Electric_Kettle,sess_1775550160461,1775550169377,376014,0,1,1,0,18,32768.00,0,4
35.431835,15.278427,-4.270040,-50.523056,0.000000,0.000000,6.5820,15.789402,0.000000,3.923911,225.666,0.000000,27.572,0,Electric_Kettle,sess_1775550160461,1775550169448,376108,0,1,1,0,8,32768.00,0,4
35.431835,15.278427,-4.270040,-50.523056,0.000000,0.000000,6.5820,15.789402,0.000000,3.923911,225.666,0.000000,27.574,0,Electric_Kettle,sess_1775550160461,1775550169733,376176,0,1,1,0,0,32768.00,0,4
31.578081,12.524477,-2.635015,-62.929878,0.001087,0.005717,0.7084,15.362320,0.216484,3.262175,225.666,5.830408,27.574,0,Electric_Kettle,sess_1775550160461,1775550169760,376402,0,1,1,0,0,32768.00,0,4
33.112450,8.441045,-7.893567,-62.352406,1.393657,0.042887,0.5034,15.830042,0.903523,0.216244,225.666,5.729545,27.574,0,Electric_Kettle,sess_1775550160461,1775550169867,376495,0,1,1,0,0,32768.00,0,4
30.870729,8.831986,-7.377754,-64.087387,1.380599,0.053815,0.3836,15.397782,0.639781,0.089758,225.631,5.688403,27.574,0,Electric_Kettle,sess_1775550160461,1775550169977,376595,0,1,1,0,0,32768.00,0,4
29.117325,9.553697,-7.833670,-63.753681,0.029428,0.052353,0.3586,15.782765,0.291598,0.078677,225.631,5.869682,27.576,0,Electric_Kettle,sess_1775550160461,1775550170406,376981,0,1,1,0,0,32768.00,0,4
35.711861,11.769520,-5.234614,-51.652222,3.912555,0.041711,1.6876,15.731870,0.869146,0.211724,225.632,5.969102,27.576,0,Electric_Kettle,sess_1775550160461,1775550170432,377072,0,1,1,0,0,32768.00,0,4
32.779732,11.215769,-4.866356,-58.104610,9.600810,0.060572,4.1627,15.154267,0.822627,0.072094,225.632,5.934675,27.576,0,Electric_Kettle,sess_1775550160461,1775550170528,377165,0,1,1,0,0,32768.00,0,4
28.522392,4.298482,-13.228973,-64.909065,0.000604,0.058155,0.8219,16.689697,0.188049,0.084043,225.632,5.788233,27.572,0,Electric_Kettle,sess_1775550160461,1775550171383,377729,0,1,1,0,0,32768.00,0,4
31.347937,5.939975,-11.378155,-50.587429,0.008650,0.023413,0.0000,16.135052,0.051776,0.139663,225.632,5.694995,27.572,0,Electric_Kettle,sess_1775550160461,1775550171400,378010,1,1,1,0,1,32768.00,0,4
32.697201,11.756927,-4.447110,-39.705547,5.165409,0.054774,0.0000,15.651453,0.568155,0.042501,225.632,5.675632,27.572,0,Electric_Kettle,sess_1775550160461,1775550171466,378100,1,1,1,0,5,32768.00,0,4
36.705696,4.269302,-16.335909,-62.321594,1.440303,0.077334,0.7206,15.895060,0.519890,0.012100,225.632,5.681126,27.572,0,Electric_Kettle,sess_1775550160461,1775550171574,378195,0,1,1,0,8,32768.00,0,4
31.830660,3.210810,-16.994184,-63.337135,0.007016,0.118465,1.0689,15.798020,0.135044,0.021805,225.632,5.726883,27.573,0,Electric_Kettle,sess_1775550160461,1775550171838,378394,0,1,1,0,0,32768.00,0,4
