spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,219.127,0.000000,27.262,0,Water_Heater_baseline,sess_1775392159935,1775392164186,72671,0,0,1,0,0,35403.43,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,219.127,0.000000,27.262,0,Water_Heater_baseline,sess_1775392159935,1775392164291,72802,0,0,1,0,0,35137.38,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,219.127,0.000000,27.265,0,Water_Heater_baseline,sess_1775392159935,1775392164433,72933,0,0,1,0,0,34284.47,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,218.932,0.000000,27.265,0,Water_Heater_baseline,sess_1775392159935,1775392164554,73068,0,0,1,0,0,36542.71,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,218.932,0.000000,27.265,0,Water_Heater_baseline,sess_1775392159935,1775392164690,73195,0,0,1,0,0,34228.89,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,218.932,0.000000,27.265,0,Water_Heater_baseline,sess_1775392159935,1775392164888,73329,0,0,1,0,0,34427.40,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,218.932,0.000000,27.263,0,Water_Heater_baseline,sess_1775392159935,1775392164957,73463,0,0,1,0,0,36290.82,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,219.509,0.000000,27.263,0,Water_Heater_baseline,sess_1775392159935,1775392165082,73591,0,0,1,0,0,35192.63,0,4
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,220.131,0.000000,27.260,0,Water_Heater_baseline,sess_1775392159935,1775392165680,74112,0,0,1,0,0,36823.94,0,4
0.000000,11.185619,20.000000,-8.536627,3.454195,0.293587,2.6726,13.052231,0.715608,25.000000,220.131,5.083910,27.260,0,Water_Heater_baseline,sess_1775392159935,1775392165777,74240,0,1,1,0,0,37299.77,0,4
36.929035,9.655087,-5.651042,-41.051758,7.113270,0.070315,9.1036,15.202890,0.847768,1.338122,220.131,5.628143,27.260,0,Water_Heater_baseline,sess_1775392159935,1775392165973,74420,0,1,1,0,0,34245.77,0,4
28.956722,10.138783,-5.852136,-55.050526,0.703685,0.053625,5.7803,14.994570,0.672630,0.341576,220.131,5.474348,27.258,0,Water_Heater_baseline,sess_1775392159935,1775392166162,74617,0,1,1,0,0,35903.37,0,4
32.939915,10.978806,-4.661861,-51.910477,1.565934,0.153612,6.7612,14.697542,0.541850,0.189215,221.280,5.557214,27.258,0,Water_Heater_baseline,sess_1775392159935,1775392166407,74806,0,1,1,0,0,34673.66,0,4
33.037170,10.654224,-5.177864,-53.504940,3.268535,0.136772,4.9906,12.948755,0.752812,0.200181,221.280,5.468218,27.258,0,Water_Heater_baseline,sess_1775392159935,1775392166557,75001,0,1,1,0,0,35840.85,0,4
33.338966,10.797038,-4.756114,-47.085384,0.595544,0.048123,1.9038,14.864789,0.598407,0.210172,219.921,5.560160,27.257,0,Water_Heater_baseline,sess_1775392159935,1775392166763,75190,0,1,1,0,0,35154.57,0,4
31.894526,11.546253,-4.194607,-50.582104,1.659567,0.086663,5.2309,14.821115,0.707258,0.110424,219.921,5.511042,27.257,0,Water_Heater_baseline,sess_1775392159935,1775392166935,75383,0,1,1,0,0,35131.36,0,4
35.430508,11.482105,-4.250393,-54.684353,0.931637,0.062160,6.4739,14.670229,0.627682,0.168613,219.921,5.585381,27.257,0,Water_Heater_baseline,sess_1775392159935,1775392167127,75575,0,1,1,0,0,34316.93,0,4
31.535145,5.328913,-10.896786,-52.959442,2.621950,0.126656,15.2242,14.063501,0.539297,0.195384,218.097,5.498077,27.256,0,Water_Heater_baseline,sess_1775392159935,1775392167325,75772,0,1,1,0,0,34478.70,0,4
31.209517,11.077768,-4.655393,-48.624702,3.406215,0.065624,5.4347,13.405875,0.710896,0.041302,218.097,5.516243,27.256,0,Water_Heater_baseline,sess_1775392159935,1775392167518,75967,0,1,1,0,0,35611.51,0,4
34.450413,9.017629,-6.804899,-51.254658,9.102161,0.075603,3.6027,14.255877,0.750792,0.049535,218.097,5.538103,27.256,0,Water_Heater_baseline,sess_1775392159935,1775392167719,76158,0,1,1,0,0,34432.90,0,4
31.255659,12.130209,-3.639517,-50.162697,7.086555,0.741165,4.8541,14.266897,0.730675,0.132568,216.027,5.479369,27.256,0,Water_Heater_baseline,sess_1775392159935,1775392167896,76353,1,1,1,0,2,36284.07,0,4
37.040958,5.542342,-12.373036,-44.490448,2.300150,0.068434,0.0000,14.187707,0.514381,0.076602,216.027,5.512948,27.256,0,Water_Heater_baseline,sess_1775392159935,1775392168090,76541,1,1,1,0,20,35177.82,0,4
32.255859,11.199851,-4.539000,-49.218750,4.469530,0.096599,8.2109,13.916126,0.763836,0.115170,216.027,5.462153,27.248,0,Water_Heater_baseline,sess_1775392159935,1775392168278,76730,1,1,1,0,20,35959.79,0,4
34.048531,8.461041,-7.226479,-48.312874,8.946608,0.126626,3.1428,15.357401,0.813025,0.331635,214.188,5.607069,27.248,0,Water_Heater_baseline,sess_1775392159935,1775392168525,76918,1,1,1,0,20,34008.92,0,4
28.429964,8.791241,-11.462293,-46.001431,3.252875,0.057247,5.3071,13.468207,0.603370,0.315222,214.188,5.465671,27.250,0,Water_Heater_baseline,sess_1775392159935,1775392168676,77116,1,1,1,0,20,36318.82,0,4
32.484570,11.485678,-4.162912,-51.913952,1.833050,0.078366,1.1251,14.180442,0.565134,0.044869,213.009,5.485290,27.250,0,Water_Heater_baseline,sess_1775392159935,1775392168874,77304,1,1,1,0,20,35424.56,0,4
33.915848,11.746945,-3.816344,-49.110851,6.018740,0.103175,1.3359,14.207735,0.684510,0.051998,213.009,5.508108,27.250,0,Water_Heater_baseline,sess_1775392159935,1775392169046,77497,1,1,1,0,20,35554.32,0,4
31.271780,10.263270,-6.241430,-43.472954,9.673481,0.138279,0.9860,14.866167,0.783610,0.226325,213.009,5.607838,27.261,0,Water_Heater_baseline,sess_1775392159935,1775392169241,77687,1,1,1,0,20,34071.72,0,4
33.422619,5.425550,-17.875027,-46.309284,1.852315,0.040476,0.0000,15.032843,0.553603,0.332151,212.285,5.458826,27.261,0,Water_Heater_baseline,sess_1775392159935,1775392169438,77885,0,1,1,0,18,34499.02,0,4
0,0,0,0,0,0,0,0,0,0,216.504,0,27.228,0,Water_Heater_1,sess_1775393167746,1775393169481,102829,0,0,1,0,0,35145.22,0,4
0,0,0,0,0,0,0,0,0,0,215.653,0,27.231,0,Water_Heater_1,sess_1775393167746,1775393169614,102961,0,0,1,0,0,34698.34,0,4
0,0,0,0,0,0,0,0,0,0,215.653,0,27.231,0,Water_Heater_1,sess_1775393167746,1775393169759,103094,0,0,1,0,0,36251.96,0,4
0,0,0,0,0,0,0,0,0,0,215.653,0,27.231,0,Water_Heater_1,sess_1775393167746,1775393169875,103222,0,0,1,0,0,35218.05,0,4
0,0,0,0,0,0,0,0,0,0,215.268,0,27.2,0,Water_Heater_1,sess_1775393167746,1775393170062,103354,0,0,1,0,0,33885.96,0,4
0,0,0,0,0,0,0,0,0,0,215.268,0,27.2,0,Water_Heater_1,sess_1775393167746,1775393170138,103490,0,0,1,0,0,36103.69,0,4
0,0,0,0,0,0,0,0,0,0,215.268,0,27.2,0,Water_Heater_1,sess_1775393167746,1775393170273,103619,0,0,1,0,0,35246.54,0,4
0,0,0,0,0,0,0,0,0,0,215.268,0,27.2,0,Water_Heater_1,sess_1775393167746,1775393170428,103751,0,0,1,0,0,35592.94,0,4
0,0,0,0,0,0,0,0,0,0,215.268,0,27.2,0,Water_Heater_1,sess_1775393167746,1775393170534,103881,0,0,1,0,0,34804.18,0,4
0,0,0,0,0,0,0,0,0,0,214.757,0,27.203,0,Water_Heater_1,sess_1775393167746,1775393170676,104013,0,0,1,0,0,34747.79,0,4
0,0,0,0,0,0,0,0,0,0,214.757,0,27.203,0,Water_Heater_1,sess_1775393167746,1775393170795,104146,0,0,1,0,0,36290.82,0,4
