epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776150195882,863599,863581,863599,863606,864293,27,6.479,712,229.324,1.448424,31.707,0.013225,0.001534,10.164546,4.783358,0,35.59322,5.46875,0.485111,0.121555,2.022181,-47.849239,0,33.490822,0,2.932007,15.2679,10.727521,-16.412006,0.066044,0,0,0,1,1,0,0,0,0,0,0,11255,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,28859.39,9,1859.387,512,256,0,0,0,0
1776150195912,863629,863609,863629,863636,864313,30,6.654,704,229.324,1.540881,31.707,0.797907,0.092457,9.462663,3.444018,0.861176,34.905659,4.492187,0.415795,1.568934,0.205971,-45.567123,0,33.696793,0,9.592198,36.9018,9.158587,-3.628917,0.064063,0,1,0,1,1,0,0,0,0,0,0,11256,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,26455.33,9,544.666,512,256,0,0,0,0
1776150195971,863688,863668,863688,863695,864349,59,6.71,681,229.324,1.499792,31.707,1.027162,0.113885,14.762648,4.567758,0.845923,35.849056,3.90625,0.384811,0.690205,5.061171,-44.603085,0,22.191086,0,10.549526,31.2108,9.11132,-1.95268,0.060281,0,1,0,1,1,0,0,0,0,0,0,11258,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,25986.76,9,1013.238,512,256,0,0,0,0
1776150196000,863717,863698,863717,863724,864381,29,6.835,683,229.324,1.434904,31.707,0.540799,0.064887,14.41375,5.095561,0,35.964912,5.46875,0.502961,1.802867,8.156143,-46.117607,0,30.347229,0,3.511632,14.0437,10.914187,-11.021231,0.058472,1.98788,0,0,1,1,0,0,0,0,0,0,11257,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,27835.18,9,835.176,512,256,0,0,0,0
1776150196029,863746,863727,863746,863753,864403,29,6.671,676,229.324,1.505375,31.707,0.613897,0.070471,13.1981,3.668804,0.864456,30.909092,4.101562,0.376561,0.78468,1.702469,-42.986504,0,32.049698,0,10.483569,30.5841,10.129507,-2.410162,0.056717,0,1,0,1,1,0,0,0,0,0,0,11258,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,26556.1,9,443.9,512,256,0,0,0,0
1776150196059,863776,863756,863776,863783,864416,30,7.038,660,229.277,1.425149,31.707,0.66616,0.080226,19.324192,4.108419,0,31.132074,6.835937,0.66345,0.449941,4.437548,-42.991341,0,27.61215,0,4.011815,20.5675,9.679566,-11.845112,0.133211,100,0,0,1,1,0,0,0,0,0,0,11257,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,25623.65,9,1376.348,512,256,0,0,0,0
1776150196089,863806,863786,863806,863813,864420,30,7.151,634,229.277,1.419539,31.707,0.049202,0.00561,14.775428,2.958062,0.860646,38.848923,6.640625,0.453874,0.136023,4.545301,-44.136032,0,32.157452,0,9.334411,16.7925,9.815589,-4.289962,0.129218,0,1,0,1,1,0,0,0,0,0,0,11258,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,26439.05,9,560.945,512,256,0,0,0,0
1776150196118,863835,863815,863835,863842,864440,29,6.743,625,229.277,1.496083,31.707,0.674013,0.076544,12.936376,3.525611,0,33.962265,5.078125,0.459508,1.043378,4.994242,-42.744591,0,27.16321,0,4.103578,30.4755,10.858967,-14.366299,0.125344,0,0,0,1,1,0,0,0,0,0,0,11257,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,26114.89,9,885.109,512,256,0,0,0,0
1776150196146,863863,863845,863863,863870,864461,28,6.609,616,229.277,1.438583,31.707,0.480421,0.0575,13.133754,2.53844,0.908661,35.964912,5.078125,0.465715,1.52055,0.80854,-45.769081,0,27.97175,0,9.016703,17.7313,12.379517,-5.07249,0.121589,0,1,0,1,1,0,0,0,0,0,0,11258,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,27914.06,9,914.059,512,256,0,0,0,0
1776150196206,863923,863903,863923,863930,864506,60,7.153,603,229.277,1.409999,31.694,0.262148,0.030204,15.333496,2.290695,0.854845,39.583336,6.640625,0.456954,0.441845,0.227432,-44.280457,0,25.061214,0,9.058838,18.2069,10.275566,-4.710783,0.114412,0,1,0,1,1,0,0,0,0,0,0,11258,0,6,brush_universal_motor,4,handheld_vacuum,4,arc,unknown,0,handheld_vacuum,sess_1776150175972__arc_01,0,0,1,1,0,1,26260.84,9,739.16,512,256,0,0,0,0
