epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776151143374,424117,424098,424117,424126,424146,29,8.31,48,228.124,0.153455,31.813,0.601919,0.018058,0.081179,1.42003,0,27.272728,9.179688,0.677844,0.398988,2.189762,-39.107845,0.052931,27.34248,0.429736,5.21931,14.5257,15.368648,-8.339845,0,0.14153,0,0,1,1,0,0,0,0,0,0,8404,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26554.79,9,445.215,512,256,0,0,0,0
1776151143404,424147,424127,424147,424154,424166,30,6.786,39,228.124,0.171425,31.813,0.598977,0.01797,22.770382,1.022422,0.850646,41.509434,8.789063,0.841885,0.630744,0.449005,-39.891499,0,27.791485,0,9.929061,25.2681,15.999392,-2.176954,0,0,1,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26131.84,9,868.16,512,256,0,0,0,0
1776151143432,424175,424156,424175,424183,424199,28,7.073,43,228.124,0.156865,31.813,0.485318,0.01456,3.824589,1.938386,0,28.654972,9.960938,0.686727,0.577447,0.458258,-39.361103,0,27.333227,0,6.530373,12.7133,15.421945,-9.537253,0,0,0,0,1,1,0,0,0,0,0,0,8404,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,27667.49,9,667.49,512,256,0,0,0,0
1776151143491,424234,424214,424234,424242,424256,59,8.267,42,228.124,0.154323,31.813,0.526472,0.015795,13.362709,0.723499,0,41.176472,12.695313,0.874088,0.745681,5.186451,-40.00882,0.152304,28.09996,3.54817,6.865821,14.6936,14.84714,-6.449689,0,0.265846,1,0,1,1,0,0,0,0,0,0,8403,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26313.15,9,686.848,512,256,0,0,0,0
1776151143521,424264,424244,424264,424271,424291,30,6.748,47,228.124,0.171739,31.813,0.580535,0.017417,21.981161,2.94348,1.722803,35.849056,7.8125,0.718004,0.975021,3.204281,-38.141216,0,31.304241,0,9.758854,24.8215,13.872119,-2.337126,0,0,1,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26462.25,9,537.75,512,256,0,0,0,0
1776151143550,424293,424273,424293,424301,424330,29,7.178,57,228.124,0.153873,31.813,0.595507,0.017866,2.447189,3.513654,0,28.301886,9.179688,0.735372,0.396634,2.326094,-38.283875,0,28.978148,0,5.681752,18.1795,13.475485,-7.59888,0,0,0,0,1,1,0,0,0,0,0,0,8404,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,25837.25,9,1162.754,512,256,0,0,0,0
1776151143578,424321,424303,424321,424328,424344,28,6.639,41,228.124,0.168858,31.813,0.499453,0.014984,15.145649,2.529831,0.908149,39.473686,9.179688,0.824422,2.368443,0.663757,-39.242485,0,28.31439,0,9.635938,23.2801,15.843927,-2.095356,0,0,1,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,27898.34,9,898.34,512,256,0,0,0,0
1776151143608,424351,424331,424351,424359,424380,30,8.266,49,228.124,0.154765,31.813,0.469748,0.014093,11.956538,3.703058,0,40.384613,12.695313,0.910259,1.054786,6.7237,-38.928101,0.022851,35.03809,2.743309,7.14185,15.1889,14.789142,-5.986094,0,0.243193,0,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26366.11,9,633.887,512,256,0,0,0,0
1776151143638,424381,424361,424381,424388,424400,30,6.796,39,228.124,0.171766,31.813,0.566688,0.017001,22.842878,2.666202,0.844892,41.509434,8.789063,1.001731,0.620621,7.04459,-38.861778,0,27.9935,0,9.80744,24.9901,14.168521,-2.392441,0,0,1,0,1,1,0,0,0,0,0,0,8406,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,25955.07,9,1044.932,512,256,0,0,0,0
1776151143667,424410,424391,424410,424418,424457,29,7.122,66,228.124,0.155421,31.822,0.544816,0.016345,7.226349,3.794754,0,33.333336,10.742188,0.717977,0.500557,3.926775,-38.116196,0,31.920275,0,6.63391,16.4095,13.667964,-11.373686,0,0,0,0,1,1,0,0,0,0,0,0,8406,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26463.23,9,536.768,512,256,0,0,0,0
1776151143725,424468,424448,424468,424476,424492,58,8.275,44,228.124,0.153927,31.822,0.46612,0.013984,14.07298,3.340423,0,38.311687,11.914063,0.911285,1.446243,0.392956,-38.869499,0.052741,27.815449,4.217318,7.250693,15.0446,14.240524,-5.895619,0,0.370506,0,0,1,1,0,0,0,0,0,0,8406,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26336.43,9,663.566,512,256,0,0,0,0
1776151143755,424498,424478,424498,424505,424535,30,6.757,57,228.096,0.171835,31.822,0.596923,0.017908,23.485338,1.731675,0.846022,37.735851,8.007813,0.769533,0.860871,0.7148,-39.561481,0,28.530249,0,9.898461,24.9094,15.101396,-2.268057,0,0,1,0,1,1,0,0,0,0,0,0,8406,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,25989.78,9,1010.219,512,256,0,0,0,0
1776151143784,424527,424507,424527,424535,424538,29,7.115,31,228.096,0.153655,31.822,0.605995,0.01818,4.497071,2.519974,0,33.962265,10.9375,0.757694,0.015502,3.534964,-37.119099,0,32.065212,0,5.838056,16.4035,15.116898,-9.773738,0,0,0,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26395.89,9,604.105,512,256,0,0,0,0
1776151143812,424555,424537,424555,424562,424594,28,6.564,57,228.096,0.167857,31.822,0.473395,0.014202,6.261883,1.306354,0.930125,37.288136,8.984375,0.804943,1.330826,0.441858,-40.543274,0,31.623354,0,10.053487,25.3688,16.447723,-1.465884,0,0,1,0,1,1,0,0,0,0,0,0,8405,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,28573.45,9,1573.445,512,256,0,0,0,0
1776151143842,424585,424565,424585,424594,424607,30,8.358,42,228.096,0.154339,31.822,0.450593,0.013518,11.945445,2.171211,0,38.709675,12.109375,0.857706,0.97739,0.525145,-39.855656,0.214628,32.148499,5.148998,7.433991,17.8424,15.470333,-5.727443,0,0.274165,1,0,1,1,0,0,0,0,0,0,8406,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,25649.81,9,1350.191,512,256,0,0,0,0
1776151143872,424615,424595,424615,424622,424642,30,6.744,47,228.096,0.17153,31.822,0.573022,0.017191,22.088377,3.916922,0.858941,39.622643,8.59375,0.795857,1.463343,6.03459,-38.667011,0,26.113909,0,9.241125,25.0018,14.00699,-2.900676,0,0,1,0,1,1,0,0,0,0,0,0,8408,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26386.66,9,613.344,512,256,0,0,0,0
1776151143901,424644,424624,424644,424651,424664,29,7.107,40,228.096,0.154405,31.822,0.570809,0.017125,0.085272,4.311876,0,27.044025,8.789063,0.532707,0.008453,0.31731,-38.517624,0,25.796598,0,5.378227,15.5796,13.998537,-8.017714,0,0,0,0,1,1,0,0,0,0,0,0,8407,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26280.84,9,719.158,512,256,0,0,0,0
1776151143959,424702,424682,424702,424710,424739,58,8.27,57,228.096,0.154605,31.822,0.433299,0.012999,11.815434,4.0895,0,39.354839,12.304688,0.835219,1.189117,1.610888,-38.499016,0.08255,27.713093,2.746861,6.388117,14.5813,13.876157,-6.618962,0,0.292158,0,0,1,1,0,0,0,0,0,0,8408,0,6,inductive_motor,1,40w_electric_fan,1,arc,unknown,0,40w_electric_fan,sess_1776151124808__arc_01,0,0,0.8054,0.8054,0,1,26340.39,9,659.607,512,256,0,0,0,0
