abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
1.323217,0.147313,4.957787,5.676121,0.0,34.591194,7.226562,0.454336,2.00276,0.887321,-43.461548,0.0,26.578447,0.0,3.529396,14.265,8.542604,-16.08938,0.0,0.0,587.824,227.928,1.24429,32.083,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857128,964938,964918,964938,964945,965377,30.0,7.112,459.0,512,256,0,20334,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26412.18,0,9
1.513614,0.150671,12.697146,6.004419,0.874043,32.727272,4.6875,0.446917,0.320905,2.082119,-44.071232,0.0,28.660566,0.0,9.717921,33.9298,8.863509,-3.226915,0.0,0.0,149.389,227.928,1.394962,32.083,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857157,964967,964947,964967,964974,965400,29.0,6.591,453.0,512,256,0,20335,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26850.61,0,9
1.382301,0.154262,6.815245,6.273623,0.0,32.727272,6.835937,0.480158,0.184546,2.018215,-44.329399,0.250334,30.678782,1.541082,3.190537,16.0586,9.048055,-17.429323,0.0,0.11218,74.447,227.928,1.2407,32.083,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857186,964996,964977,964996,965004,965420,29.0,8.183,443.0,512,256,0,20336,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27074.45,0,9
0.640842,0.068483,18.368635,4.675948,0.0,34.905659,5.46875,0.378612,0.732434,1.734371,-44.053608,0.0,26.565855,0.0,3.395571,18.3258,11.586306,-12.419233,0.0,0.567964,587.707,227.928,1.267306,32.083,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857246,965056,965036,965056,965063,965455,60.0,7.033,419.0,512,256,0,20334,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26412.29,0,9
0.546458,0.055403,17.476965,3.366683,0.84996,33.018867,3.90625,0.382984,2.063285,1.25783,-42.462788,0.0,25.308025,0.0,10.554178,29.4003,9.523021,-2.313048,0.0,0.0,889.238,227.928,1.322709,32.083,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857275,965085,965065,965085,965092,965468,29.0,6.626,403.0,512,256,0,20335,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26110.76,0,9
0.067919,0.007187,12.055164,3.86068,0.0,32.456142,4.492187,0.388957,0.22975,1.280159,-44.032856,0.0,26.588184,0.0,2.879774,20.3154,9.293271,-11.212643,0.0,0.0,1280.762,228.326,1.315522,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857304,965114,965096,965114,965121,966128,29.0,6.512,1032.0,512,256,0,20334,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28280.76,0,9
0.104055,0.010951,15.60484,2.77969,0.850777,32.07547,3.710938,0.420877,0.718102,0.565203,-45.327816,0.0,27.153387,0.0,11.039331,28.4068,10.011374,-2.134534,0.0,0.0,864.119,228.326,1.326473,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857334,965144,965124,965144,965151,966152,30.0,6.634,1028.0,512,256,0,20335,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26135.88,0,9
0.125227,0.013289,16.034679,3.379345,0.0,32.07547,4.101562,0.377859,0.88347,2.444572,-45.088585,0.0,24.708815,0.0,3.566628,26.6006,10.894843,-14.032077,0.0,0.0,535.078,228.326,1.339762,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857364,965174,965154,965174,965181,966165,30.0,6.65,1011.0,512,256,0,20334,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26464.92,0,9
0.665399,0.071319,14.405152,2.433129,0.858565,35.460995,6.25,0.41706,1.031456,2.355236,-44.029022,0.0,22.353579,0.0,9.231212,15.792,9.863387,-4.926415,0.0,0.0,624.896,228.326,1.268444,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857393,965203,965183,965203,965210,966187,29.0,7.117,1004.0,512,256,0,20335,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26375.1,0,9
0.550984,0.055912,7.402647,3.095166,0.0,35.964912,4.882812,0.464465,1.138677,7.667994,-44.866463,0.0,30.021572,0.0,5.184347,26.4875,8.72471,-8.236922,0.0,0.0,989.184,228.326,1.324355,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857422,965232,965213,965232,965238,966200,29.0,6.527,987.0,512,256,0,20334,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27989.18,0,9
0.35869,0.037662,12.55797,2.927386,0.0,34.905659,5.078125,0.46174,3.698636,6.256794,-43.847729,0.0,25.56451,0.0,3.202931,31.4074,11.67094,-12.896118,0.0,0.0,1011.363,228.326,1.350122,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857481,965291,965271,965291,965298,966242,59.0,6.699,971.0,512,256,0,20334,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,25988.64,0,9
0.927223,0.10015,10.464796,2.107718,0.0,35.483871,7.03125,0.491834,1.462103,2.172045,-43.655167,0.0,23.392466,0.0,6.888461,14.3513,10.208838,-7.612673,0.0,0.0,568.318,228.326,1.249972,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857511,965321,965301,965321,965328,966255,30.0,7.107,954.0,512,256,0,20333,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26431.68,0,9
1.399941,0.139992,11.44002,1.517557,0.874048,30.000002,3.515625,0.372429,0.729126,2.729284,-43.232197,0.0,26.12175,0.0,10.048676,33.4733,9.479712,-2.833471,0.0,0.0,149.238,228.326,1.389964,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857541,965351,965331,965351,965358,966296,30.0,6.649,965.0,512,256,0,20334,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26850.76,0,9
1.365615,0.151854,0.623423,2.594397,0.0,33.333336,7.03125,0.477189,0.255503,1.470633,-43.998676,0.157397,27.592382,0.933915,3.010532,15.8664,9.224209,-14.167904,0.0,0.11057,242.855,228.326,1.23811,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857569,965379,965360,965379,965388,966310,28.0,8.156,950.0,512,256,0,20335,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27242.86,0,9
1.433448,0.141983,10.534223,3.477405,0.0,33.962265,4.492187,0.416413,0.34161,1.184937,-43.047287,0.0,28.777319,0.0,6.930634,34.8975,9.565819,-6.470851,0.0,0.0,583.895,228.326,1.380093,32.072,0,brush_universal_motor,handheld_vacuum,4,steady,unknown,1,handheld_vacuum,sess_1776147840719,1776147857599,965409,965389,965409,965415,966332,30.0,6.684,943.0,512,256,0,20336,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26416.11,0,9
