epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776150762377,43120,43102,43120,43127,43146,57,6.507,44,228.354,1.459231,31.557,0.296239,0.033782,6.935734,2.718885,0.928363,36.440678,5.46875,0.490895,2.753395,5.635201,-49.425983,0,31.10251,0,9.800623,22.8846,13.141313,-3.843162,0.051136,0,1,0,1,1,0,0,0,0,0,0,9,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,28519.31,9,1519.309,512,256,0,0,0,0
1776150762407,43150,43130,43150,43157,43188,30,7.013,58,228.354,1.413074,31.557,0.395386,0.046157,18.217508,3.830178,0,35.849056,7.226562,0.544694,2.156064,1.15827,-43.98521,0,32.26078,0,3.708369,17.5187,10.985249,-10.755121,0.048118,40.456184,0,0,1,1,0,0,0,0,0,0,9,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,25702.5,9,1297.5,512,256,0,0,0,0
1776150762437,43180,43160,43180,43186,43202,30,6.663,42,228.354,1.444777,31.557,0.280446,0.031704,17.505402,2.757728,0.861196,36.792454,5.078125,0.491383,0.666262,2.493988,-44.924438,0,29.766792,0,10.662388,24.6641,11.65151,-2.424901,0.046672,0,1,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,26455.95,9,544.055,512,256,0,0,0,0
1776150762466,43209,43189,43209,43216,43258,29,7.009,69,228.354,1.434718,31.557,0.087029,0.010059,17.310038,3.856297,0,33.018867,4.6875,0.417815,0.442112,1.107693,-43.913769,0,28.6591,0,2.985672,23.4177,11.209398,-11.308698,0.043914,3.135827,0,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,26327.44,9,672.559,512,256,0,0,0,0
1776150762494,43237,43219,43237,43244,43279,28,6.517,60,228.354,1.478499,31.557,0.381435,0.043781,13.593136,2.776534,0.922724,36.842106,4.882812,0.458617,1.082779,2.033283,-45.382103,0,30.692383,0,9.028074,19.6743,12.292177,-4.723016,0.042596,0,1,0,1,1,0,0,0,0,0,0,11,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,28346.08,9,1346.084,512,256,0,0,0,0
1776150762524,43267,43247,43267,43274,43292,30,6.959,45,228.354,1.418821,31.557,0.504542,0.059678,17.310675,3.376758,0,34.905659,7.226562,0.570077,0.677707,1.863297,-44.614174,0,28.829086,0,4.113515,16.9306,11.61447,-12.159663,0.041317,1.36188,0,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,26312.26,9,687.742,512,256,0,0,0,0
1776150762554,43297,43277,43297,43304,43334,30,6.68,57,228.354,1.433667,31.557,0.130796,0.014846,16.863415,1.750511,0.855536,34.905659,5.664062,0.418536,0.129098,2.721495,-47.429138,0,31.550581,0,10.500029,22.5121,11.485373,-2.782602,0.038874,0,1,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,26282.07,9,717.932,512,256,0,0,0,0
1776150762612,43355,43336,43355,43364,43380,58,8.234,44,228.253,1.421448,31.557,0.411331,0.048367,18.918734,1.825502,0,31.914892,5.664062,0.405647,1.593095,1.958069,-45.934505,0.201924,29.43277,6.369318,7.606889,14.6898,11.005213,-6.639389,0.030792,0.158831,1,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,27117.19,9,117.186,512,256,0,0,0,0
1776150762641,43384,43365,43384,43391,43404,29,6.968,39,228.253,1.452972,31.557,0.277218,0.031524,19.614225,3.684468,0,34.545456,4.6875,0.414008,0.728066,3.213142,-44.073109,0,26.219627,0,3.682771,20.8238,10.277146,-11.475065,0.028971,1.336521,0,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,26569.56,9,430.443,512,256,0,0,0,0
1776150762671,43414,43394,43414,43421,43438,30,7.162,44,228.253,1.422238,31.557,0.264398,0.030733,16.315708,1.910028,0.846078,35.460995,5.46875,0.384741,1.014192,0.793198,-44.163132,0,27.012825,0,10.070148,20.7225,9.262955,-3.54834,0.027257,0,1,0,1,1,0,0,0,0,0,0,10,0,6,brush_universal_motor,4,handheld_vacuum,5,arc,unknown,0,handheld_vacuum,sess_1776150742821__arc_01,0,0,0.9999,0.9999,0,1,25991.5,9,1008.5,512,256,0,0,0,0
