abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099307,0.0,440.014,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146947916,55726,55706,55726,55729,56011,60.0,2.244,305.0,512,256,0,653,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,27440.01,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096329,0.0,2413.455,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146947943,55753,55736,55753,55755,56027,27.0,2.128,291.0,512,256,0,654,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29413.46,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093444,0.0,2401.635,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146947970,55780,55762,55780,55782,56043,27.0,2.102,281.0,512,256,0,655,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29401.63,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090646,0.0,2103.809,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146947997,55807,55790,55807,55810,56057,27.0,2.155,267.0,512,256,0,656,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29103.81,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087926,0.0,2411.766,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948024,55834,55816,55834,55836,56072,27.0,2.11,256.0,512,256,0,657,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29411.77,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085293,0.0,1707.559,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948053,55863,55845,55863,55865,56086,29.0,2.287,241.0,512,256,0,658,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,28707.56,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080258,0.0,681.078,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948110,55920,55901,55920,55922,56114,57.0,2.217,213.0,512,256,0,660,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,27681.08,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07785,0.0,2406.697,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948136,55946,55929,55946,55949,56129,26.0,2.132,200.0,512,256,0,661,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29406.7,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075515,0.0,2416.836,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948163,55973,55956,55973,55975,56159,27.0,2.13,203.0,512,256,0,662,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29416.84,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073253,0.0,425.977,230.282,0.0,31.873,-1,brush_universal_motor,handheld_vacuum,5,start,unknown,0,handheld_vacuum,sess_1776146931694,1776146948192,56002,55982,56002,56004,56172,29.0,2.214,190.0,512,256,0,663,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26574.02,0,9
