abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.982,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151825942,1106685,1106665,1106685,1106687,1107535,60.0,2.187,870.0,512,256,0,8085,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,26639.02,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.963,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151825969,1106712,1106694,1106712,1106714,1107551,27.0,2.124,857.0,512,256,0,8086,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29663.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.563,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151825995,1106738,1106721,1106738,1106741,1107565,26.0,2.103,844.0,512,256,0,8087,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29672.56,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.09,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826022,1106765,1106747,1106765,1106767,1107580,27.0,2.119,833.0,512,256,0,8088,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29657.09,0,9
0.0,0.001621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.865,228.473,0.001621,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826049,1106792,1106774,1106792,1106794,1107594,27.0,2.132,820.0,512,256,0,8089,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29460.87,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674.281,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826101,1106844,1106827,1106844,1106847,1107622,52.0,2.108,795.0,512,256,0,8091,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29674.28,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.311,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826132,1106875,1106856,1106875,1106878,1107637,31.0,2.235,781.0,512,256,0,8092,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,27393.31,0,9
0.0,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.547,228.473,0.00131,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826159,1106902,1106884,1106902,1106904,1107666,27.0,2.134,782.0,512,256,0,8093,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29287.55,0,9
0.0,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.227,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826186,1106929,1106912,1106929,1106932,1107680,27.0,2.135,768.0,512,256,0,8094,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29123.23,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379.727,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826240,1106983,1106965,1106983,1106985,1107708,54.0,2.121,743.0,512,256,0,8096,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29379.73,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405.01,228.473,0.0,31.467,-1,inductive_motor,40w_electric_fan,1,start,unknown,0,40w_electric_fan,sess_1776151808874,1776151826268,1107011,1106993,1107011,1107013,1107721,28.0,2.18,728.0,512,256,0,8097,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,29405.01,0,9
