abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.523433,0.015703,6.927539,0.0,0.0,40.645161,12.695313,0.98773,1.738785,1.298025,-39.57111,0.241715,28.032679,0.130806,6.901767,14.4443,15.256712,-6.403164,0.0,0.222386,677.02,226.972,0.150986,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100088,398502,398482,398502,398510,399057,30.0,8.268,575.0,512,256,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26322.98,0,9
0.52558,0.015768,17.236015,0.0,0.853365,40.56604,8.59375,0.877347,0.296093,0.31274,-39.094406,0.0,27.719938,0.0,10.219784,24.6332,14.960619,-1.856515,0.0,0.0,784.617,226.972,0.166753,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100118,398532,398512,398532,398539,399078,30.0,6.769,566.0,512,256,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26215.38,0,9
0.529656,0.01589,6.023645,0.0,0.0,40.251572,13.085938,0.830217,0.375179,2.166637,-38.056412,0.0,25.553301,0.0,4.802763,14.8915,14.58544,-11.589541,0.0,0.0,500.891,226.972,0.150863,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100147,398561,398541,398561,398568,399100,29.0,7.09,559.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26499.11,0,9
0.498237,0.014948,21.435867,0.0,0.870273,39.090912,8.789063,0.822898,0.326544,0.842861,-37.581074,0.0,26.396162,0.0,9.724158,22.5395,14.911983,-2.21505,0.0,0.0,265.223,226.972,0.165811,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100177,398591,398571,398591,398597,399134,30.0,6.743,563.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26734.78,0,9
0.49709,0.014913,7.559351,0.0,0.0,36.363636,12.304688,1.00262,0.611003,4.067635,-40.812103,0.369844,30.463797,3.709977,5.716369,12.5596,15.522986,-10.709573,0.0,0.315078,70.543,226.972,0.150898,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100205,398619,398600,398619,398628,399156,28.0,8.272,556.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26929.46,0,9
0.535053,0.016052,19.117008,0.0,0.860594,40.56604,8.789063,0.869978,0.924499,0.422844,-38.681263,0.0,30.886641,0.0,9.813765,23.4441,14.598488,-2.268125,0.0,0.0,562.559,226.972,0.16695,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100235,398649,398629,398649,398655,399170,30.0,6.742,541.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26437.44,0,9
0.460517,0.013816,21.153406,0.0,0.856772,44.339622,9.375,0.98784,0.119204,2.309423,-39.734249,0.0,27.679497,0.0,9.633222,23.5655,14.224554,-2.349468,0.0,0.0,679.957,226.972,0.163914,31.336,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100294,398708,398688,398708,398715,399205,59.0,6.77,517.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26320.04,0,9
0.274972,0.008249,11.579011,0.0,0.0,30.701754,11.328125,0.807305,2.170975,2.639103,-40.556755,0.0,30.3186,0.0,5.301821,9.0876,16.395529,-8.40217,0.0,2.340439,1489.852,226.972,0.155665,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100322,398736,398717,398736,398743,399227,28.0,6.868,510.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,28489.85,0,9
0.362244,0.010868,19.87492,0.0,1.700531,38.679245,8.203125,0.803977,0.819643,0.494438,-39.319054,0.0,30.813038,0.0,9.661419,25.1616,15.575886,-2.74236,0.0,0.0,879.844,226.972,0.166533,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100352,398766,398746,398766,398773,399259,30.0,6.769,513.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26120.16,0,9
0.512788,0.015384,7.081424,0.0,0.0,41.21212,13.867188,0.899256,1.008405,1.125324,-38.382896,0.0,29.687714,0.0,6.064533,14.6989,14.567481,-11.849794,0.0,0.0,311.262,226.972,0.151148,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100381,398795,398775,398795,398802,399281,29.0,7.068,506.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26688.74,0,9
0.43918,0.013176,19.559517,0.0,0.848882,45.28302,9.570313,0.920328,0.831012,2.121693,-36.988495,0.0,27.566021,0.0,9.960625,24.174,13.736469,-2.074837,0.0,0.0,922.346,226.972,0.164324,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100411,398825,398805,398825,398832,399301,30.0,6.76,496.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26077.65,0,9
0.36198,0.01086,4.87623,0.0,0.0,39.473686,13.476563,0.855597,0.71839,2.699999,-39.64706,0.0,30.26602,0.0,4.954421,9.0375,14.454859,-10.165905,0.0,54.595451,1050.598,226.972,0.153465,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100439,398853,398834,398853,398860,399315,28.0,6.953,481.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,28050.6,0,9
0.41711,0.012514,19.146746,0.0,1.724134,42.452831,9.179688,0.944012,0.089249,3.010519,-37.897621,0.0,33.276539,0.0,9.946685,24.433,14.544107,-2.295863,0.0,0.0,517.297,226.972,0.165978,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100469,398883,398863,398883,398889,399337,30.0,6.764,474.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26482.7,0,9
0.444805,0.013345,20.848083,0.0,0.857493,42.452831,8.984375,0.949049,1.241879,3.356415,-38.105839,0.0,27.649048,0.0,9.609122,23.5418,13.813272,-2.412038,0.0,0.0,657.832,226.972,0.164133,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100528,398942,398922,398942,398949,399391,59.0,6.742,469.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26342.17,0,9
0.470424,0.014113,15.236224,0.0,0.0,49.032257,14.84375,1.04062,1.182505,1.039585,-39.020733,0.217692,26.609463,7.033955,5.25738,13.7468,14.995777,-17.551617,0.0,0.246126,92.965,226.972,0.15002,31.34,0,inductive_motor,40w_electric_fan,2,steady,unknown,1,40w_electric_fan,sess_1776153083365,1776153100557,398971,398951,398971,398979,399405,29.0,8.26,454.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26907.04,0,9
