epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776138909229,98011,97992,98011,98018,99165,29,6.581,1173,227.54,5.963434,32.024,1.090279,0.478417,18.433214,0.000005,0,22.727274,3.125,0.292345,4.456379,5.493187,-58.683159,0,20.539558,0,8.648654,24.155,5.047025,-5.235396,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,27364.9,9,364.9,512,256,0,0,0,0
1776138909258,98040,98020,98040,98047,99178,29,7.107,1158,227.54,5.508108,32.024,0.954412,0.455327,10.147336,0.000004,0,24.516129,4.882812,0.304,4.405361,1.717945,-53.679752,0,22.257504,0,8.113868,15.2876,9.452386,-6.81768,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,26315.79,9,684.211,512,256,0,0,0,0
1776138909288,98070,98050,98070,98077,99199,30,6.672,1149,227.54,6.015046,32.024,1.150433,0.506938,20.804333,0.000003,0,23.584906,3.125,0.302371,0.883526,0.491764,-55.852592,0,22.749268,0,8.765244,23.9642,8.56886,-5.29951,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,26457.56,9,542.441,512,256,0,0,0,0
1776138909317,98099,98079,98099,98108,99232,29,8.257,1153,227.54,5.496348,32.024,1.077914,0.518697,2.895035,0.000002,0,20.125786,4.296875,0.305696,2.605093,1.013903,-55.31464,0.17571,21.735365,0.730012,5.603152,16.0812,11.173953,-9.51222,0.100441,0.107994,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,26169.8,9,830.203,512,256,0,0,0,0
1776138909347,98129,98109,98129,98136,99253,30,6.721,1144,227.54,6.051973,32.027,1.263619,0.555624,35.948055,0.000001,0.839956,24.528303,3.125,0.310036,2.833679,9.312678,-40.027306,0,12.422687,0,9.056588,19.7665,8.340274,-5.195165,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,25803.43,9,1196.566,512,256,0,0,0,0
1776138909406,98188,98168,98188,98195,99286,59,6.665,1118,227.54,5.891208,32.027,0.720743,0.321166,20.189194,0.000001,0.855578,23.584906,2.929688,0.304375,1.386104,10.690907,-58.960266,0,26.506197,0,10.11547,23.3392,10.664458,-3.807435,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,26283.37,9,716.633,512,256,0,0,0,0
1776138909435,98217,98197,98217,98224,99307,29,6.985,1110,227.54,5.79559,32.027,0.202882,0.095618,23.51573,0,0.863008,13.636364,4.296875,0.490351,0.918279,7.361458,-39.064468,0,19.144739,0,9.234426,18.474,9.74618,-5.444479,0.100441,17.911482,0,0,1,1,1,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,26511.6,9,488.396,512,256,0,0,0,0
1776138909463,98245,98227,98245,98251,99321,28,6.455,1094,227.54,5.903544,32.027,0.232835,0.107954,9.169661,0,0.94829,24.576271,3.710938,0.308944,1.965997,2.651327,-56.77964,0,21.796066,0,10.501286,20.2215,7.780182,-3.531532,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,29131.48,9,2131.48,512,256,0,0,0,0
1776138909490,98272,98254,98272,98278,99353,27,6.34,1099,227.54,5.742809,32.027,0.340335,0.160735,8.925804,0,0,23.728813,3.90625,0.34,2.433792,2.870382,-57.947468,0,24.666449,0,6.233633,8.6329,10.213974,-9.274675,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,29411.77,9,2411.766,512,256,0,0,0,0
1776138909517,98299,98282,98299,98306,99373,27,6.384,1091,227.54,5.783802,32.027,0.089226,0.040993,8.981586,0,0,24.576271,3.90625,0.305859,2.556952,9.900237,-57.26952,0,14.766212,0,5.488917,11.8724,7.657022,-8.982657,0.100441,0,0,0,1,1,0,0,0,0,1,0,0,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1776138875541__arc_02,0,0,1,1,0,1,29425.29,9,2425.287,512,256,0,0,0,0
