abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.973105,0.461149,2.817769,3.621803,0.0,22.012577,4.296875,0.304031,1.658349,4.989544,-52.550896,0.0,23.803642,0.0,6.223253,14.5218,9.147661,-8.786242,0.0,0.0,686.91,228.056,5.462518,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162361,1186144,1186124,1186144,1186151,1186510,30.0,7.067,386.0,512,256,0,33618,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26313.09,0,9
0.528088,0.248763,19.55673,3.488312,0.0,21.698112,5.078125,0.419139,1.60714,1.746784,-55.017342,0.0,24.103924,0.0,3.882315,20.2781,9.119963,-11.419304,0.0,6.698764,755.695,228.056,5.639524,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162420,1186203,1186183,1186203,1186210,1186544,59.0,6.984,361.0,512,256,0,33618,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26244.3,0,9
0.331149,0.149402,24.128918,2.511585,0.902897,21.929825,3.125,0.288424,0.736105,9.622649,-50.533287,0.0,14.481275,0.0,9.875554,21.4818,8.383858,-4.143307,0.0,0.0,736.99,228.056,5.788926,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162449,1186232,1186213,1186232,1186239,1186565,29.0,6.575,352.0,512,256,0,33619,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27736.99,0,9
0.515227,0.238609,16.509401,3.4095,0.0,23.584906,5.078125,0.341805,2.619994,1.574126,-52.343033,0.0,16.055401,0.0,4.42486,16.9365,11.003852,-21.483898,0.0,0.0,669.207,228.056,5.550317,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162478,1186261,1186241,1186261,1186268,1186578,29.0,6.62,337.0,512,256,0,33618,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26330.79,0,9
0.460135,0.204312,23.615187,2.45484,0.851658,21.698112,2.929688,0.267554,1.577831,3.709064,-54.317669,0.0,19.764465,0.0,10.200085,21.7112,9.426021,-3.68844,0.0,0.0,837.068,228.056,5.754629,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162508,1186291,1186271,1186291,1186298,1186599,30.0,6.662,328.0,512,256,0,33619,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26162.93,0,9
0.118949,0.054761,24.902224,3.362969,0.0,21.698112,3.125,0.268063,1.296441,4.736383,-55.246414,0.0,24.500849,0.0,3.081601,20.7169,8.12958,-13.237554,0.0,0.0,886.691,228.056,5.80939,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162537,1186320,1186300,1186320,1186327,1186635,29.0,6.67,335.0,512,256,0,33618,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26113.31,0,9
0.746682,0.347022,15.736881,2.421338,0.863425,24.836601,4.882812,0.301609,2.162607,2.926006,-51.55806,0.387392,21.574842,4.25262,8.99568,14.668,10.292187,-5.712801,0.0,0.191244,475.594,228.056,5.462368,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162567,1186350,1186330,1186350,1186358,1186655,30.0,8.286,325.0,512,256,0,33619,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26524.41,0,9
0.924096,0.403821,21.037018,3.335497,0.0,21.929825,3.320313,0.289907,1.540948,1.755955,-58.55257,0.0,19.818888,0.0,5.798467,22.6991,8.751239,-8.281328,0.0,0.0,595.047,228.056,5.866189,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162595,1186378,1186359,1186378,1186385,1186669,28.0,6.537,310.0,512,256,0,33618,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27595.05,0,9
1.044573,0.462669,20.044289,1.729122,0.0,21.698112,2.929688,0.267021,0.688974,4.581915,-59.712296,0.0,24.333435,0.0,7.776517,23.6878,9.38659,-6.535581,0.0,0.0,784.836,228.107,5.999233,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162655,1186438,1186418,1186438,1186444,1186694,60.0,6.622,276.0,512,256,0,33616,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26215.16,0,9
0.954072,0.457897,12.217088,1.244968,0.0,26.845636,4.492187,0.321589,0.018599,3.863503,-46.317364,1.644165,28.196938,6.0926,3.391154,22.6383,9.405189,-15.134778,0.0,0.0,2123.535,228.107,5.541336,31.76,0,resistive_linear,electric_kettle,2,steady,unknown,1,electric_kettle,sess_1776138144298,1776138162686,1186469,1186448,1186469,1186477,1186714,31.0,7.377,266.0,512,256,0,33617,0,6,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,24876.46,0,9
