abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082227,0.0,564.215,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437719,461502,461483,461502,461505,462250,29.0,2.22,767.0,512,256,0,11936,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26435.79,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079763,0.0,886.961,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437748,461531,461512,461531,461534,462267,29.0,2.233,755.0,512,256,0,11937,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27886.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077372,0.0,2382.207,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437775,461558,461540,461558,461560,462281,27.0,2.091,741.0,512,256,0,11938,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29382.21,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075053,0.0,2651.937,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437802,461585,461567,461585,461587,462296,27.0,2.124,729.0,512,256,0,11939,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29651.94,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0,2672.559,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437828,461611,461594,461611,461614,462309,26.0,2.105,715.0,512,256,0,11940,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29672.56,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068504,0.0,1667.992,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437882,461665,461647,461665,461667,462337,54.0,2.164,690.0,512,256,0,11942,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28667.99,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066449,0.0,28.266,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437911,461694,461675,461694,461696,462352,29.0,2.234,677.0,512,256,0,11943,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27028.27,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064459,0.0,2662.246,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437938,461721,461703,461721,461723,462366,27.0,2.105,663.0,512,256,0,11944,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29662.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062528,0.0,2663.963,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137437964,461747,461729,461747,461749,462394,26.0,2.123,665.0,512,256,0,11945,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29663.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058838,0.0,179.023,231.382,0.0,31.638,-1,resistive_linear,electric_kettle,4,start,unknown,0,electric_kettle,sess_1776137422264,1776137438022,461805,461785,461805,461807,462423,58.0,2.244,638.0,512,256,0,11947,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27179.02,0,9
