abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037026,0.0,740.477,231.426,0.0,32.223,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825717,439954,439934,439954,439956,439996,31.0,2.248,62.0,512,256,0,11885,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26259.52,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035914,0.0,1478.75,231.426,0.0,32.223,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825745,439982,439963,439982,439984,440009,28.0,2.181,46.0,512,256,0,11886,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28478.75,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033787,0.0,600.082,231.426,0.0,32.223,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825775,440012,439992,440012,440015,440037,30.0,2.237,45.0,512,256,0,11888,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26399.92,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031792,0.0,933.234,231.426,0.0,32.223,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825805,440042,440022,440042,440044,440065,30.0,2.204,43.0,512,256,0,11890,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26066.77,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029916,0.0,479.32,231.426,0.0,32.223,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825835,440072,440052,440072,440075,440093,30.0,2.237,41.0,512,256,0,11892,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26520.68,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.539,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825894,440131,440111,440131,440133,440736,59.0,2.234,625.0,512,256,0,11895,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26606.46,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2305.07,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825924,440161,440143,440161,440163,440752,30.0,2.233,609.0,512,256,0,11896,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29305.07,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.375,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825950,440187,440169,440187,440189,440767,26.0,2.119,598.0,512,256,0,11897,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29655.38,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.809,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142825976,440213,440196,440213,440216,440781,26.0,2.106,585.0,512,256,0,11898,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29658.81,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.557,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142826007,440244,440222,440244,440247,440796,31.0,2.255,574.0,512,256,0,11899,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,24881.44,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.891,231.526,0.0,32.227,-1,resistive_linear,halogen_lamp,5,start,unknown,0,halogen_lamp,sess_1776142809798,1776142826035,440272,440253,440272,440275,440810,28.0,2.227,557.0,512,256,0,11900,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27542.89,0,9
