abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222408,0.0,1079.789,228.466,0.0,32.383,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089286,1197024,1197006,1197024,1197027,1197040,29.0,2.268,34.0,512,256,0,9882,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28079.79,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120676,0.0,871.805,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089316,1197054,1197034,1197054,1197056,1197649,30.0,2.197,615.0,512,256,0,9883,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26128.2,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117057,0.0,2663.963,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089343,1197081,1197063,1197081,1197083,1197665,27.0,2.12,602.0,512,256,0,9884,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29663.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113552,0.0,2395.344,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089370,1197108,1197090,1197108,1197110,1197682,27.0,2.07,592.0,512,256,0,9885,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29395.34,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106848,0.0,41.936,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089428,1197166,1197146,1197166,1197168,1197710,58.0,2.198,564.0,512,256,0,9887,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26958.06,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103643,0.0,2206.377,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089455,1197193,1197176,1197193,1197196,1197724,27.0,2.127,548.0,512,256,0,9888,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29206.38,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100538,0.0,2389.824,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089483,1197221,1197203,1197221,1197223,1197739,28.0,2.176,536.0,512,256,0,9889,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29389.82,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097526,0.0,2398.256,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089510,1197248,1197231,1197248,1197250,1197751,27.0,2.113,520.0,512,256,0,9890,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29398.26,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.0,2399.965,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089537,1197275,1197257,1197275,1197277,1197767,27.0,2.09,510.0,512,256,0,9891,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29399.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091768,0.0,836.072,228.387,0.0,32.374,-1,resistive_linear,water_heater,1,start,unknown,0,water_heater,sess_1776155072065,1776155089571,1197309,1197290,1197309,1197311,1197796,34.0,2.241,506.0,512,256,0,9892,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27836.07,0,9
