abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.516513,0.283607,0.155815,3.178818,0.0,24.342104,4.492187,0.280921,2.513364,0.080454,-54.444244,0.042167,18.187199,0.029662,4.400885,5.6812,11.289173,-17.244184,0.0,0.091296,1477.781,225.096,6.579898,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085374,814449,814430,814449,814457,814926,28.0,8.078,496.0,512,256,0,15277,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,28477.78,0,9
1.07794,0.599228,4.92996,1.6479,0.0,23.270439,4.882812,0.340744,1.85755,0.476313,-50.454617,0.0,21.314266,0.0,6.43086,12.6572,8.392512,-8.887124,0.0,0.0,587.205,225.096,6.34952,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085433,814508,814488,814508,814515,814960,59.0,7.085,472.0,512,256,0,15275,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26412.79,0,9
1.197241,0.608154,23.35041,1.186488,0.834751,23.584906,3.125,0.311969,0.685279,3.267242,-54.317352,0.0,18.047024,0.0,9.394897,22.7688,7.707233,-4.678581,0.0,0.0,1356.449,225.096,6.957674,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085463,814538,814518,814538,814545,814980,30.0,6.754,462.0,512,256,0,15276,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,25643.55,0,9
0.919638,0.511884,12.457069,2.32292,0.0,24.545456,5.273437,0.330119,0.640417,1.722908,-52.795547,0.0,19.769932,0.0,4.814824,13.0229,8.347651,-10.786869,0.0,4.070183,262.875,225.096,6.445789,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085492,814567,814548,814567,814574,814993,29.0,6.947,445.0,512,256,0,15275,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27262.88,0,9
0.407152,0.209954,49.527714,1.672503,0.0,26.717558,4.296875,0.325953,0.13978,9.011748,-37.494854,0.08441,10.758183,31.077492,8.135566,19.5019,8.487431,-6.10055,0.0,2.70413,2456.584,225.096,6.235836,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085523,814598,814577,814598,814607,815016,31.0,8.339,439.0,512,256,0,15274,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,24543.42,0,9
0.788826,0.39352,7.873955,1.204202,0.0,24.576271,4.296875,0.340137,0.457362,2.543456,-54.575733,0.0,13.30164,0.0,4.352558,6.1662,8.030068,-14.348021,0.0,0.0,2399.945,225.096,6.629355,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085550,814625,814607,814625,814632,815050,27.0,6.388,443.0,512,256,0,15273,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29399.95,0,9
0.339312,0.179954,8.160678,0.867025,0.948103,25.423729,3.710938,0.309005,1.260496,9.419291,-61.354374,0.0,22.72093,0.0,9.419725,20.8741,6.769572,-4.357249,0.0,0.0,2125.715,225.096,6.809309,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085578,814653,814635,814653,814659,815072,28.0,6.431,437.0,512,256,0,15274,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29125.71,0,9
1.918429,1.04764,12.840562,1.483892,0.830485,22.012577,4.296875,0.313572,2.909621,8.551797,-37.957973,0.0,13.490304,0.0,9.643497,25.8156,9.986532,-5.801413,0.0,0.0,1487.492,225.096,5.778503,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085635,814710,814689,814710,814717,815105,57.0,7.161,416.0,512,256,0,15274,0,6,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,25512.51,0,9
2.35463,1.088501,9.149447,2.566791,0.931472,23.728813,3.320313,0.279575,4.342892,10.991319,-63.855366,0.0,24.481623,0.0,10.078049,24.9879,5.64364,-2.551024,0.0,0.0,1614.813,225.096,6.867004,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085662,814737,814719,814737,814744,815119,27.0,6.463,400.0,512,256,0,15275,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,28614.81,0,9
0.736708,0.404719,19.271547,3.454769,0.0,25.503355,4.6875,0.287582,3.427373,1.62792,-50.412453,0.393713,26.109543,7.188457,6.375775,12.9548,9.071013,-8.946957,0.0,0.079306,818.113,225.096,6.462285,32.527,0,resistive_linear,water_heater,2,steady,unknown,1,water_heater,sess_1776156067310,1776156085691,814766,814747,814766,814774,815140,29.0,8.158,393.0,512,256,0,15276,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27818.11,0,9
