epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776154238548,346286,346268,346286,346292,346443,58,6.777,175,222.205,7.331642,32.768,0.570603,0.350685,6.437364,1.133065,0,26.363636,5.664062,0.376329,1.27538,2.853213,-54.966682,0,13.471143,0,4.33971,3.7152,9.561241,-11.435403,0,2.596536,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,29229.76,9,2229.76,512,256,0,0,0,0
1776154238574,346312,346295,346312,346319,346465,26,6.427,170,222.204,7.553492,32.768,0.378239,0.221849,8.459639,0.815807,0,24.576271,3.710938,0.305877,1.300565,3.31722,-59.471355,0,16.788363,0,7.853159,15.436,8.260676,-6.152826,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,29423.61,9,2423.605,512,256,0,0,0,0
1776154238601,346339,346322,346339,346346,346469,27,6.416,147,222.204,7.623002,32.768,0.115029,0.06951,7.155479,0.587381,0.95725,25.423729,3.515625,0.306053,0.679118,9.864256,-64.618896,0,26.652618,0,10.312814,18.816,8.939795,-3.550748,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,29406.7,9,2406.703,512,256,0,0,0,0
1776154238628,346366,346349,346366,346373,346482,27,6.685,133,222.204,7.49622,32.768,0.207893,0.126781,8.47915,0.422914,0.953116,24.576271,3.515625,0.30738,0.830479,1.568674,-58.214764,0,25.083944,0,9.504653,15.5289,8.109316,-5.401146,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,29279.72,9,2279.721,512,256,0,0,0,0
1776154238658,346396,346378,346396,346403,346503,30,6.514,125,222.204,7.296572,32.768,0.332914,0.199648,15.93563,1.69679,0,23.684212,3.320313,0.281048,0.554642,9.248476,-55.570217,0,15.835468,0,3.91853,17.013,8.663958,-11.040248,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,28464.91,9,1464.912,512,256,0,0,0,0
1776154238717,346455,346435,346455,346462,346559,59,7.018,124,222.204,7.294411,32.768,0.462821,0.280466,20.120216,2.351785,0,21.698112,4.6875,0.419486,0.798874,2.302698,-55.031796,0,26.447197,0,3.764639,20.0863,10.852556,-11.600979,0,3.661912,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,26222.57,9,777.426,512,256,0,0,0,0
1776154238746,346484,346464,346484,346491,346572,29,6.684,108,222.204,7.511816,32.768,0.372553,0.217405,22.21838,1.693285,0.854029,22.64151,2.929688,0.304927,1.301024,4.398098,-54.463341,0,22.049099,0,10.396911,21.7019,9.551532,-3.728124,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,26235.78,9,764.221,512,256,0,0,0,0
1776154238776,346514,346494,346514,346521,346594,30,6.657,100,222.204,7.501201,32.768,0.017663,0.010614,23.243246,2.738494,0,23.584906,3.320313,0.264606,0.600796,1.825508,-54.623611,0,23.874607,0,4.479751,20.9134,8.950736,-16.713633,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,26454.47,9,545.531,512,256,0,0,0,0
1776154238805,346543,346523,346543,346549,346615,29,6.586,92,222.204,7.548768,32.768,0.079265,0.047566,23.366373,1.971716,0.871329,26.363636,3.515625,0.336232,1.111951,4.877214,-41.229462,0,18.997393,0,10.230844,21.6348,10.062687,-4.07716,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,26767.23,9,232.766,512,256,0,0,0,0
1776154238836,346574,346553,346574,346582,346629,31,6.913,76,222.204,7.583278,32.775,0.057145,0.03451,21.031279,2.716807,0,23.529411,3.125,0.324262,2.973314,2.664871,-58.393284,0,21.662264,0,4.238293,25.7486,7.089373,-11.450487,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,3,arc,unknown,0,water_heater,sess_1776154208965__arc_01,0,0,1,1,0,1,24671.44,9,2328.564,512,256,0,0,0,0
