abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.585,226.974,0.0,31.518,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402415,152093,152073,152093,152095,152109,30.0,2.139,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,28780.03,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.032,227.178,0.0,31.527,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402445,152123,152103,152123,152125,152140,30.0,2.303,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27227.82,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.887,227.105,0.0,31.527,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402475,152153,152133,152153,152155,152171,30.0,2.186,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,28989.47,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.283,227.194,0.0,31.519,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402505,152183,152163,152183,152185,152200,30.0,2.241,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26797.66,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.484,227.108,0.0,31.515,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402535,152213,152193,152213,152215,152240,30.0,2.155,17.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26403.46,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.028,226.923,0.0,31.504,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402565,152243,152223,152243,152245,152260,30.0,2.198,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26305.85,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.666,227.136,0.0,31.51,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402595,152273,152253,152273,152275,152289,30.0,2.121,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27419.64,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.473,227.131,0.0,31.528,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402625,152303,152283,152303,152305,152324,30.0,2.158,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27677.61,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.226,227.066,0.0,31.502,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402655,152333,152313,152333,152335,152351,30.0,2.141,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27623.21,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.25,227.162,0.0,31.52,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402685,152363,152343,152363,152365,152386,30.0,2.184,13.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26939.63,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.135,226.974,0.0,31.521,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402715,152393,152373,152393,152395,152409,30.0,2.208,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,28003.38,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.688,227.002,0.0,31.508,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402745,152423,152403,152423,152425,152446,30.0,2.302,13.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,28415.34,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.234,227.112,0.0,31.515,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402775,152453,152433,152453,152455,152478,30.0,2.012,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26744.22,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.685,227.205,0.0,31.521,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402805,152483,152463,152483,152485,152502,30.0,2.274,9.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26805.83,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,227.186,0.0,31.524,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402835,152513,152493,152513,152515,152539,30.0,2.208,16.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27417.59,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.777,227.074,0.0,31.517,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402865,152543,152523,152543,152545,152568,30.0,2.115,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27432.35,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.343,227.116,0.0,31.517,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402895,152573,152553,152573,152575,152593,30.0,2.131,10.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26640.33,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.358,227.03,0.0,31.504,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402925,152603,152583,152603,152605,152619,30.0,2.176,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26026.88,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.286,226.953,0.0,31.532,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402955,152633,152613,152633,152635,152651,30.0,2.24,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,27944.98,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.822,226.998,0.0,31.514,-1,smps,65w_usb_c_laptop_charger,4,start,synthetic_15s_start,0,65w_usb_c_laptop_charger,sess_1777003402415_4_2,1777003402985,152663,152643,152663,152665,152684,30.0,2.118,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,-1,0.0,0.0,0,0,0,0,26644.04,0,9
