time ntc terminal device_current clamp_current
0 30.6 27.7 7.35 7.23
1 30.9 28.2 7.35 7.23
2 31.2 28.7 7.35 7.22
3 31.5 29.3 7.34 7.22
4 31.8 29.8 7.34 7.22
5 32.1 30.3 7.33 7.21
6 32.4 30.9 7.33 7.21
7 32.7 31.4 7.33 7.2
8 33 32 7.32 7.2
9 33.3 32.5 7.32 7.19
10 33.6 33 7.31 7.18
11 33.7 33.2 7.31 7.18
12 33.9 33.4 7.3 7.17
13 34 33.5 7.3 7.16
14 34.1 33.7 7.29 7.16
15 34.2 33.9 7.28 7.15
16 34.3 34.1 7.28 7.14
17 34.4 34.2 7.27 7.14
18 34.5 34.4 7.27 7.13
19 34.6 34.6 7.26 7.12
20 34.7 34.7 7.25 7.11
21 34.8 34.9 7.25 7.11
22 34.9 35.1 7.24 7.1
23 35 35.3 7.24 7.09
24 35.2 35.4 7.23 7.08
25 35.3 35.6 7.23 7.08
26 35.4 35.8 7.22 7.07
27 35.5 35.9 7.21 7.06
28 35.6 36.1 7.21 7.06
29 35.7 36.3 7.2 7.05
30 35.8 36.5 7.2 7.05
32 35.9 36.6 7.19 7.04
34 36.1 36.8 7.19 7.03
36 36.2 36.9 7.18 7.03
38 36.3 37.1 7.18 7.02
40 36.5 37.3 7.18 7.02
42 36.6 37.4 7.18 7.02
44 36.7 37.6 7.18 7.02
46 36.8 37.8 7.18 7.03
48 37 37.9 7.19 7.03
50 37.1 38.1 7.19 7.04
52 37.2 38.3 7.2 7.05
54 37.4 38.4 7.21 7.06
56 37.5 38.6 7.22 7.07
58 37.6 38.8 7.22 7.08
60 37.8 38.9 7.23 7.09
65 37.8 39.1 7.24 7.11
70 37.9 39.2 7.25 7.12
75 37.9 39.4 7.25 7.13
80 38 39.5 7.24 7.12
85 38 39.6 7.22 7.1
90 38.1 39.8 7.2 7.08
95 38.2 39.9 7.18 7.06
100 38.2 40 7.17 7.05
105 38.4 40.3 7.17 7.04
110 38.6 40.5 7.17 7.04
115 38.8 40.8 7.19 7.04
120 39 41 7.21 7.06
130 39.1 41.2 7.26 7.11
140 39.2 41.3 7.29 7.14
150 39.3 41.5 7.28 7.14
160 39.4 41.7 7.24 7.11
170 39.6 41.9 7.21 7.08
180 39.7 42.1 7.2 7.08
195 39.9 42.4 7.24 7.12
210 40.1 42.7 7.27 7.12
225 40.3 43 7.21 7.06
240 40.4 43.2 7.14 6.99
