time ntc terminal device_current clamp_current
0 30.8 27.9 11.29 11.17
1 31.1 28.3 11.29 11.17
2 31.4 28.7 11.29 11.17
3 31.7 29.1 11.29 11.17
4 32 29.5 11.29 11.17
5 32.2 29.9 11.29 11.17
6 32.5 30.3 11.29 11.16
7 32.8 30.7 11.28 11.16
8 33.1 31.1 11.28 11.16
9 33.4 31.5 11.28 11.16
10 33.6 31.9 11.28 11.15
11 33.8 32.1 11.27 11.15
12 34 32.3 11.27 11.14
13 34.1 32.5 11.27 11.14
14 34.3 32.7 11.26 11.14
15 34.4 32.9 11.26 11.13
16 34.6 33.2 11.25 11.12
17 34.8 33.4 11.25 11.12
18 34.9 33.6 11.25 11.11
19 35.1 33.8 11.24 11.11
20 35.2 34 11.23 11.1
21 35.4 34.2 11.23 11.09
22 35.6 34.5 11.22 11.09
23 35.7 34.7 11.22 11.08
24 35.9 34.9 11.21 11.07
25 36 35.1 11.21 11.06
26 36.2 35.3 11.2 11.06
27 36.3 35.5 11.19 11.05
28 36.5 35.8 11.19 11.04
29 36.7 36 11.18 11.04
30 36.8 36.2 11.18 11.03
32 37 36.4 11.17 11.01
34 37.1 36.6 11.16 11
36 37.2 36.8 11.15 10.99
38 37.3 37 11.14 10.98
40 37.5 37.3 11.13 10.98
42 37.6 37.5 11.13 10.97
44 37.7 37.7 11.13 10.97
46 37.9 37.9 11.13 10.96
48 38 38.1 11.13 10.97
50 38.1 38.3 11.13 10.97
52 38.2 38.6 11.13 10.97
54 38.4 38.8 11.14 10.98
56 38.5 39 11.14 10.99
58 38.6 39.2 11.15 10.99
60 38.8 39.4 11.16 11
65 38.9 39.7 11.18 11.03
70 39 39.9 11.19 11.05
75 39.2 40.1 11.2 11.06
80 39.3 40.3 11.2 11.07
85 39.4 40.6 11.19 11.06
90 39.6 40.8 11.17 11.05
95 39.8 41.1 11.15 11.03
100 40 41.4 11.13 11.01
105 40.2 41.6 11.12 10.99
110 40.4 41.9 11.11 10.98
115 40.6 42.2 11.11 10.98
120 40.8 42.4 11.13 10.99
130 41 42.7 11.18 11.02
140 41.2 42.9 11.22 11.06
150 41.4 43.2 11.24 11.08
160 41.6 43.5 11.21 11.06
170 41.8 43.8 11.17 11.03
180 42 44.1 11.14 11.02
195 42.3 44.6 11.17 11.05
210 42.6 45 11.21 11.07
225 42.9 45.4 11.19 11.03
240 43.2 45.8 11.11 10.95
