time ntc estimated terminal device_current clamp_current
0 29.9 30.2 30.8 5.1 4.97
1 30.2 30.5 30.5 5.1 4.97
2 30.5 30.8 30.9 5.1 4.97
3 30.8 31.1 31.3 5.09 4.97
4 31.1 31.4 31.7 5.09 4.96
5 31.4 31.7 32.2 5.09 4.96
6 31.5 31.8 32.3 5.08 4.96
7 31.6 31.9 32.4 5.08 4.95
8 31.7 32 32.6 5.08 4.95
9 31.8 32.1 32.7 5.07 4.94
10 31.9 32.2 32.8 5.07 4.94
11 32 32.3 33 5.07 4.93
12 32.1 32.4 33.1 5.06 4.93
13 32.1 32.4 33.2 5.06 4.92
14 32.2 32.5 33.3 5.05 4.91
15 32.2 32.5 33.4 5.05 4.91
16 32.3 32.6 33.5 5.04 4.9
17 32.4 32.7 33.6 5.04 4.89
18 32.4 32.7 33.7 5.03 4.89
19 32.5 32.8 33.8 5.02 4.88
20 32.5 32.8 33.9 5.02 4.87
21 32.6 32.9 34 5.01 4.87
22 32.6 32.9 34.1 5.01 4.86
23 32.7 33 34.2 5 4.85
24 32.7 33 34.3 4.99 4.84
25 32.8 33.1 34.3 4.99 4.84
26 32.8 33.2 34.4 4.98 4.83
27 32.9 33.2 34.5 4.98 4.82
28 32.9 33.3 34.6 4.97 4.82
29 33 33.3 34.7 4.97 4.81
30 33 33.4 34.8 4.96 4.8
32 33.1 33.5 34.8 4.95 4.79
34 33.1 33.5 34.9 4.94 4.78
36 33.2 33.6 35 4.94 4.78
38 33.2 33.6 35.1 4.93 4.77
40 33.3 33.7 35.2 4.93 4.77
42 33.3 33.8 35.3 4.93 4.76
44 33.4 33.8 35.3 4.93 4.76
46 33.4 33.9 35.4 4.93 4.77
48 33.5 34 35.5 4.93 4.77
50 33.5 34 35.6 4.94 4.78
52 33.6 34.1 35.7 4.94 4.78
54 33.6 34.2 35.8 4.95 4.79
56 33.7 34.2 35.9 4.96 4.8
58 33.7 34.3 35.9 4.97 4.81
60 33.8 34.4 36 4.97 4.82
65 33.8 34.5 36.1 4.99 4.84
70 33.9 34.6 36.3 5 4.86
75 34 34.7 36.4 5 4.87
80 34.1 34.8 36.5 5 4.87
85 34.2 34.9 36.6 4.98 4.86
90 34.3 35 36.7 4.96 4.84
95 34.4 35.1 36.8 4.94 4.82
100 34.5 35.2 36.9 4.93 4.8
105 34.6 35.3 37 4.92 4.78
110 34.6 35.4 37.1 4.92 4.78
115 34.7 35.5 37.2 4.93 4.78
120 34.8 35.6 37.3 4.95 4.8
130 34.9 35.7 37.4 5 4.84
140 35 35.8 37.5 5.04 4.88
150 35 35.8 37.5 5.04 4.88
160 35.1 35.9 37.6 5.01 4.86
170 35.2 36 37.8 4.96 4.83
180 35.3 36.1 37.9 4.95 4.82
195 35.4 36.3 38.1 4.99 4.86
210 35.6 36.5 38.3 5.02 4.87
225 35.7 36.6 38.4 4.98 4.81
240 35.8 36.7 38.5 4.9 4.74
