time ntc estimated terminal device_current clamp_current
0 28.4 28.7 29.1 5.37 5.24
1 28.7 29 29.3 5.37 5.24
2 28.9 29.2 29.5 5.37 5.24
3 29.2 29.5 29.7 5.37 5.24
4 29.5 29.8 30 5.37 5.25
5 29.7 30 30.2 5.37 5.25
6 29.8 30.1 30.3 5.37 5.25
7 29.9 30.2 30.4 5.38 5.25
8 30 30.3 30.5 5.38 5.25
9 30.1 30.4 30.7 5.38 5.25
10 30.1 30.4 30.8 5.38 5.25
11 30.2 30.5 30.9 5.38 5.25
12 30.2 30.5 30.9 5.38 5.25
13 30.3 30.6 31 5.38 5.25
14 30.3 30.6 31.1 5.38 5.25
15 30.4 30.7 31.1 5.37 5.25
16 30.4 30.7 31.2 5.37 5.25
17 30.5 30.8 31.3 5.37 5.24
18 30.5 30.8 31.3 5.37 5.24
19 30.6 30.9 31.4 5.37 5.24
20 30.6 30.9 31.5 5.36 5.23
21 30.7 31 31.5 5.36 5.23
22 30.7 31 31.5 5.36 5.22
23 30.7 31.1 31.6 5.35 5.22
24 30.8 31.1 31.6 5.35 5.21
25 30.8 31.1 31.7 5.34 5.21
26 30.8 31.2 31.7 5.34 5.2
27 30.9 31.2 31.7 5.33 5.2
28 30.9 31.2 31.8 5.33 5.19
29 30.9 31.3 31.8 5.32 5.18
30 30.9 31.3 31.8 5.32 5.18
32 31 31.4 31.9 5.3 5.16
34 31 31.4 31.9 5.29 5.15
36 31 31.4 31.9 5.28 5.13
38 31 31.4 32 5.27 5.12
40 31.1 31.5 32 5.26 5.11
42 31.1 31.5 32.1 5.25 5.1
44 31.1 31.5 32.1 5.24 5.09
46 31.1 31.6 32.1 5.24 5.08
48 31.1 31.6 32.2 5.23 5.07
50 31.2 31.6 32.2 5.23 5.07
52 31.2 31.6 32.3 5.23 5.07
54 31.2 31.7 32.3 5.23 5.06
56 31.2 31.7 32.3 5.23 5.07
58 31.3 31.7 32.4 5.23 5.07
60 31.3 31.8 32.4 5.24 5.07
65 31.3 31.8 32.5 5.26 5.09
70 31.4 31.9 32.5 5.27 5.12
75 31.4 31.9 32.6 5.29 5.14
80 31.4 32 32.7 5.3 5.15
85 31.5 32 32.7 5.3 5.16
90 31.5 32.1 32.8 5.29 5.16
95 31.6 32.1 32.9 5.28 5.15
100 31.6 32.2 33 5.26 5.13
105 31.7 32.3 33 5.24 5.11
110 31.7 32.3 33.1 5.22 5.09
115 31.8 32.4 33.2 5.21 5.08
120 31.8 32.4 33.2 5.21 5.08
130 31.8 32.4 33.3 5.25 5.1
140 31.9 32.5 33.3 5.3 5.14
150 31.9 32.5 33.3 5.34 5.17
160 31.9 32.5 33.3 5.34 5.18
170 31.9 32.5 33.3 5.3 5.15
180 31.9 32.5 33.4 5.26 5.13
195 32 32.6 33.5 5.26 5.13
210 32 32.6 33.6 5.31 5.17
225 32.1 32.7 33.7 5.32 5.17
240 32.1 32.7 33.8 5.25 5.09
