epoch_ms,uptime_ms,session_id,source_file,load_type,feature_space_version,adc_fs_hz,v_rms,i_rms,temp_c,spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,feat_valid,current_valid,rf_train_row,label_arc,model_pred,sample_weight,fault_state,auto_capture,_source_file,source_kind,source_priority,trusted_normal_session,label_trust,arc_like_score,normal_like_score,clean_reason,clean_quality,transition_normal,_feature_sig,_conflict_sig,label_conflict,conflict_policy
1775350600000,0,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34979.92052623299,230.439,0.487,30.651,1.1379000000000001,5.550873,-30.265269,-34.355548,1.465,2.9459,12.239947358438593,-1.614588,0.252217,0.805627,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6344850054607425,0.6835290966143395,kept,trainable,1,1.1379|5.5509|-30.2653|-34.3555|1.465|2.9459|12.2399|-1.6146|0.2522|0.8056,1.138|5.551|-30.265|-34.356|1.465|2.946|12.24|-1.615|0.252|0.806,0,none
1775350600050,50,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34968.642764420765,231.737,0.4873,31.073,0.5636,4.0812,-32.058105,-34.570324,1.391,3.3979000000000004,12.109336562904506,-0.953106,0.297336,0.438476,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6419484232557053,0.6678770775814626,kept,trainable,1,0.5636|4.0812|-32.0581|-34.5703|1.391|3.3979|12.1093|-0.9531|0.2973|0.4385,0.564|4.081|-32.058|-34.57|1.391|3.398|12.109|-0.953|0.297|0.438,0,none
1775350600100,100,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,35017.32764018158,231.058,0.4822,31.323,0.7093,4.682596,-30.87664,-35.22813,1.4516,2.6033,11.25601984206832,-0.859602,0.318594,0.687525,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.643047122677606,0.6656374839398844,kept,trainable,1,0.7093|4.6826|-30.8766|-35.2281|1.4516|2.6033|11.256|-0.8596|0.3186|0.6875,0.709|4.683|-30.877|-35.228|1.452|2.603|11.256|-0.86|0.319|0.688,0,none
1775350601050,1050,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,35044.382772315235,230.692,0.4882,32.635,0.9011999999999999,6.866403,-30.145611,-37.163209,1.2201,3.0863,10.922938791016309,-0.114005,0.250897,0.041353,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6432187063295729,0.6531044854089982,kept,trainable,1,0.9012|6.8664|-30.1456|-37.1632|1.2201|3.0863|10.9229|-0.114|0.2509|0.0414,0.901|6.866|-30.146|-37.163|1.22|3.086|10.923|-0.114|0.251|0.041,0,none
1775350601100,1100,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34958.43770029911,229.958,0.4937,33.11,1.2506,6.672838,-34.497064,-33.652188,1.146,3.1558999999999995,13.050264080746077,-1.094016,0.307243,0.465283,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6567755625081233,0.6610327512449634,kept,trainable,1,1.2506|6.6728|-34.4971|-33.6522|1.146|3.1559|13.0503|-1.094|0.3072|0.4653,1.251|6.673|-34.497|-33.652|1.146|3.156|13.05|-1.094|0.307|0.465,0,none
1775350601150,1150,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34979.8532483376,231.26,0.4854,32.458,0.8009999999999999,5.181615,-31.418444,-39.030189,1.1536,2.8337000000000003,14.021021330162608,-0.082784,0.326895,0.556215,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6456625444654289,0.6510689557647673,kept,trainable,1,0.801|5.1816|-31.4184|-39.0302|1.1536|2.8337|14.021|-0.0828|0.3269|0.5562,0.801|5.182|-31.418|-39.03|1.154|2.834|14.021|-0.083|0.327|0.556,0,none
1775350601200,1200,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34997.259754901854,231.19,0.4816,32.488,0.9952000000000001,6.400913,-30.987155,-36.785495,1.2605,2.5628,13.348843761831693,-1.331688,0.279514,0.492638,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6479278638508319,0.6704795244124842,kept,trainable,1,0.9952|6.4009|-30.9872|-36.7855|1.2605|2.5628|13.3488|-1.3317|0.2795|0.4926,0.995|6.401|-30.987|-36.785|1.26|2.563|13.349|-1.332|0.28|0.493,0,none
1775350601250,1250,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34971.83081327726,230.533,0.4411,32.909,1.101,5.681968,-30.104566,-38.827577,1.1362,3.3764000000000003,12.021837409093287,-0.178813,0.29242,1.259527,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6525039689997613,0.6484277558868146,kept,trainable,1,1.101|5.682|-30.1046|-38.8276|1.1362|3.3764|12.0218|-0.1788|0.2924|1.2595,1.101|5.682|-30.105|-38.828|1.136|3.376|12.022|-0.179|0.292|1.26,0,none
1775350601300,1300,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,35018.69775640294,229.851,0.4388,33.686,1.1148,5.615042,-31.944181,-39.56274,1.3082,2.0274,11.679911443769305,-1.551449,0.25914,1.480955,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.65020871238905,0.6727280816521224,kept,trainable,1,1.1148|5.615|-31.9442|-39.5627|1.3082|2.0274|11.6799|-1.5514|0.2591|1.481,1.115|5.615|-31.944|-39.563|1.308|2.027|11.68|-1.551|0.259|1.481,0,none
1775350601350,1350,gen0_scaffold__scaffold_tv_normal_01,scaffold_tv_normal_01.csv,tv,4,34962.425741790124,229.912,0.4311,33.886,0.5445,5.288158,-31.211897,-31.240182,1.1381999999999999,3.5944999999999996,16.500642308183725,-1.860685,0.296689,0.378215,1,1,1,0,0,1.9,0,0,gen0_scaffold.csv,scaffold,1,0,0.95,0.6762771090741798,0.6617196090406752,kept,trainable,1,0.5445|5.2882|-31.2119|-31.2402|1.1382|3.5945|16.5006|-1.8607|0.2967|0.3782,0.544|5.288|-31.212|-31.24|1.138|3.594|16.501|-1.861|0.297|0.378,0,none
