abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.881,229.908,0.0,31.749,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207724,39881,39861,39881,39883,39901,30.0,2.198,40.0,512,256,0,558,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26464.12,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.203,229.908,0.0,31.749,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207754,39911,39891,39911,39914,39930,30.0,2.246,39.0,512,256,0,560,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26517.8,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.188,229.908,0.0,31.749,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207783,39940,39921,39940,39942,39956,29.0,2.243,35.0,512,256,0,561,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,27670.19,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.43,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207813,39970,39950,39970,39973,39984,30.0,2.243,34.0,512,256,0,563,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26204.57,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.133,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207843,40000,39980,40000,40002,40026,30.0,2.184,46.0,512,256,0,566,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26473.87,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.711,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207873,40030,40010,40030,40033,40054,30.0,2.24,44.0,512,256,0,568,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26149.29,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.754,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207903,40060,40040,40060,40062,40081,30.0,2.197,41.0,512,256,0,569,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,26987.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.578,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207963,40120,40099,40120,40122,40250,60.0,2.209,151.0,512,256,0,572,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,25651.42,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2289.541,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146207990,40147,40130,40147,40150,40277,27.0,2.156,147.0,512,256,0,573,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29289.54,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.777,229.908,0.0,31.744,-1,brush_universal_motor,handheld_vacuum,1,start,unknown,0,handheld_vacuum,sess_1776146191165,1776146208017,40174,40156,40174,40176,40292,27.0,2.115,136.0,512,256,0,574,0,0,0,0,1,0,0,0,0,0,0,4,-1,-1,0.0,0.0,0,0,0,0,29384.78,0,9
