epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776149014351,64539,64519,64539,64546,64580,29,6.717,61,226.679,1.493966,32.296,1.085109,0.119331,14.181053,4.673618,0.841133,35.849056,4.882812,0.464404,0.550663,1.594299,-43.069656,0,22.788118,0,10.373502,34.5779,10.483597,-2.264006,0.188596,0,1,0,1,1,0,0,0,0,0,0,438,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,25839.6,9,1160.402,512,256,0,0,0,0
1776149014379,64567,64549,64567,64574,64593,28,6.814,44,226.679,1.404806,32.296,0.745997,0.08916,9.94781,5.182367,0,35.964912,7.226562,0.456833,2.072639,5.992998,-48.575916,0,28.781116,0,3.280009,16.2854,12.556236,-14.697788,0.182951,100,0,0,1,1,0,0,0,0,0,0,437,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,28456.77,9,1456.768,512,256,0,0,0,0
1776149014408,64596,64576,64596,64603,64636,29,6.639,60,226.679,1.535356,32.296,1.161629,0.13055,8.97852,2.686539,0,37.735851,4.882812,0.533142,2.216914,0.241438,-46.415791,0,28.539679,0,7.818295,37.84,10.339322,-5.613099,0.172155,0,0,0,1,1,0,0,0,0,0,0,435,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26259.42,9,740.578,512,256,0,0,0,0
1776149014438,64626,64606,64626,64634,64649,30,8.249,43,226.679,1.365277,32.296,1.384672,0.170079,2.017849,1.934308,0,33.333336,6.835937,0.493098,0.302585,3.650152,-46.35009,0.03139,24.889526,0.279424,3.603937,14.9108,10.641907,-14.752317,0.166999,0.149165,1,0,1,1,0,0,0,0,0,0,436,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26363.91,9,636.086,512,256,0,0,0,0
1776149014496,64684,64665,64684,64690,64725,58,6.494,60,226.679,1.377455,32.296,1.222323,0.149296,1.664838,4.431256,0,34.513275,7.421875,0.459612,0.927868,3.420115,-48.311123,0,31.671047,0,3.072764,16.6849,11.323715,-21.331581,0.152436,0,1,0,1,1,0,0,0,0,0,0,439,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,28284.73,9,1284.73,512,256,0,0,0,0
1776149014525,64713,64693,64713,64719,64739,29,6.653,46,226.679,1.496961,32.296,1.08447,0.119506,12.104815,4.98363,0,31.132074,3.710938,0.418773,1.228926,3.346905,-43.462334,0,35.017952,0,3.360749,32.4614,10.09479,-10.378461,0.14787,0,0,0,1,1,0,0,0,0,0,0,438,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26267.19,9,732.811,512,256,0,0,0,0
1776149014555,64743,64723,64743,64752,64782,30,8.262,59,226.679,1.361932,32.296,1.127516,0.135029,4.681661,2.583514,0,30.188679,6.25,0.422665,0.3106,1.998322,-43.655888,0.044722,33.01963,1.823972,3.977404,15.1523,10.40539,-14.189482,0.139141,0.050267,0,0,1,1,0,0,0,0,0,0,436,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26025.32,9,974.676,512,256,0,0,0,0
1776149014584,64772,64752,64772,64779,64796,29,6.613,44,226.679,1.518562,32.296,1.437558,0.15663,10.517632,1.86013,0,35.849056,4.492187,0.416525,1.128776,1.18491,-44.959141,0,34.20454,0,8.855843,36.5643,11.534165,-4.172594,0.134972,0,1,0,1,1,0,0,0,0,0,0,437,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26408.95,9,591.049,512,256,0,0,0,0
1776149014614,64802,64782,64802,64809,64828,30,7.136,46,226.679,1.348866,32.296,1.396835,0.169696,6.093549,2.875307,0,39.130436,7.421875,0.483155,1.445434,6.207888,-46.93066,0,27.996653,0,3.187495,16.6433,10.088732,-18.662609,0.13093,0,1,0,1,1,0,0,0,0,0,0,438,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26906.47,9,93.529,512,256,0,0,0,0
1776149014642,64830,64811,64830,64837,64849,28,6.557,38,226.679,1.533842,32.296,1.714168,0.184976,9.451918,3.707752,0,39.090912,5.273437,0.477428,1.381021,0.073473,-46.436153,0,28.070126,0,7.838962,35.584,11.469753,-5.030082,0.127009,0,1,0,1,1,0,0,0,0,0,0,439,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,27229.21,9,229.209,512,256,0,0,0,0
1776149014672,64860,64840,64860,64868,64884,30,8.21,44,226.679,1.371262,32.296,1.324937,0.162581,3.177308,4.950092,0,33.962265,7.226562,0.494413,1.715947,2.418655,-45.358662,0.134121,25.65147,0.604594,3.290736,14.7095,9.753806,-15.172846,0.11951,0.147565,1,0,1,1,0,0,0,0,0,0,441,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26293.82,9,706.18,512,256,0,0,0,0
1776149014731,64919,64899,64919,64926,64962,59,7.126,63,226.679,1.362879,32.294,1.396877,0.171465,5.334586,6.094062,0,33.962265,7.03125,0.45605,0.402443,3.072765,-45.772976,0,24.156591,0,3.939856,14.9575,9.629686,-16.666012,0.109085,0,1,0,1,1,0,0,0,0,0,0,444,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26312.89,9,687.111,512,256,0,0,0,0
1776149014759,64947,64928,64947,64954,64975,28,6.619,47,226.679,1.510284,32.294,1.351947,0.147405,2.778745,6.347131,0.897384,35.964912,4.882812,0.435293,1.526896,7.201408,-46.009937,0,31.358,0,10.350118,41.3318,11.156583,-2.25646,0.105816,0,1,0,1,1,0,0,0,0,0,0,445,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,27567.63,9,567.629,512,256,0,0,0,0
1776149014789,64977,64957,64977,64985,64998,30,8.231,41,226.679,1.357925,32.294,1.261,0.152359,0.835737,6.554647,0,29.55975,5.664062,0.418445,0.238236,4.54355,-46.603531,0.045064,35.90155,0.034778,2.987544,15.0599,10.918346,-13.54034,0.102648,0.118264,1,0,1,1,0,0,0,0,0,0,446,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26287.79,9,712.215,512,256,0,0,0,0
1776149014818,65006,64986,65006,65013,65032,29,6.622,46,226.679,1.524159,32.294,1.530207,0.166234,9.874927,6.864345,0,35.849056,4.882812,0.493036,0.128456,3.128704,-45.44442,0,32.772846,0,7.754991,36.9564,10.78989,-5.456815,0.096588,0,1,0,1,1,0,0,0,0,0,0,448,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26367.26,9,632.742,512,256,0,0,0,0
1776149014848,65036,65016,65036,65043,65087,30,7.173,71,226.679,1.363193,32.294,1.320114,0.160966,4.712906,7.072586,0,33.962265,7.03125,0.456937,0.070417,1.206947,-46.128696,0,33.979794,0,3.820953,14.7343,10.719473,-15.756277,0.090885,0,1,0,1,1,0,0,0,0,0,0,450,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26261.82,9,738.176,512,256,0,0,0,0
1776149014876,65064,65045,65064,65071,65110,28,6.536,65,226.762,1.520346,32.294,1.441026,0.157153,5.707366,7.14952,0.903318,35.087719,5.078125,0.504506,0.647961,3.238642,-44.770321,0,30.741152,0,9.491892,37.8746,11.367434,-3.215539,0,0,1,0,1,1,0,0,0,0,0,0,451,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,27749.92,9,749.922,512,256,0,0,0,0
1776149014905,65093,65074,65093,65102,65113,29,8.209,39,226.762,1.370287,32.294,1.233742,0.150058,8.206151,7.212606,0,34.810127,6.445312,0.451269,0.616925,2.929949,-45.340164,0.306483,27.811203,1.943653,5.363748,14.8074,10.750508,-9.549107,0,0.102959,1,0,1,1,0,0,0,0,0,0,452,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26591.7,9,408.305,512,256,0,0,0,0
1776149014965,65153,65133,65153,65161,65181,60,7.154,48,226.762,1.341867,32.294,1.332144,0.160064,7.825261,7.370063,0,35.220127,6.25,0.461892,0.378043,1.266945,-45.159431,0,29.194815,0,3.371443,14.8036,9.923095,-15.508072,0,0,1,0,1,1,0,0,0,0,0,0,456,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,25980.09,9,1019.914,512,256,0,0,0,0
1776149014995,65183,65163,65183,65190,65223,30,6.643,60,226.762,1.501945,32.294,1.491176,0.160078,10.563569,7.393452,0.852836,33.018867,4.101562,0.419862,1.022197,0.325243,-47.282215,0,29.520058,0,9.739313,36.0685,10.945292,-2.927025,0,0,1,0,1,1,0,0,0,0,0,0,457,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26199.11,9,800.889,512,256,0,0,0,0
1776149015023,65211,65193,65211,65218,65236,28,6.86,43,226.762,1.391976,32.294,0.915213,0.109969,11.131252,7.412631,0,35.087719,7.421875,0.536584,1.1452,2.194675,-47.95372,0,27.325382,0,3.152114,16.8762,12.090491,-12.444701,0,100,0,0,1,1,0,0,0,0,0,0,456,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,27954.63,9,954.629,512,256,0,0,0,0
1776149015053,65241,65221,65241,65247,65279,30,6.628,58,226.762,1.530899,32.294,1.24752,0.138923,8.838151,3.842708,0,33.018867,4.101562,0.380488,1.720709,5.159904,-46.717247,0,32.485287,0,8.538123,36.326,10.369782,-4.727592,0,0,1,0,1,1,0,0,0,0,0,0,456,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26282.04,9,717.965,512,256,0,0,0,0
1776149015083,65271,65251,65271,65278,65292,30,7.028,41,226.762,1.387482,32.294,1.171007,0.143417,15.198471,4.50102,0,33.962265,7.226562,0.572495,0.713193,7.075958,-45.802147,0,25.409328,0,3.358756,17.5082,9.65659,-11.784632,0,100,0,0,1,1,0,0,0,0,0,0,455,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26201.1,9,798.896,512,256,0,0,0,0
1776149015112,65300,65281,65300,65307,65347,29,6.63,66,226.762,1.478107,32.294,0.816447,0.090625,14.799583,2.333329,0.860764,38.679245,5.46875,0.567265,3.610893,0.946838,-46.488831,0,26.356167,0,10.849513,31.072,13.267483,-1.893403,0,0,1,0,1,1,0,0,0,0,0,0,455,0,6,brush_universal_motor,4,handheld_vacuum,2,arc,unknown,0,handheld_vacuum,sess_1776148990065__arc_01,0,0,1,1,0,1,26442.67,9,557.332,512,256,0,0,0,0
