abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.828762,0.088745,17.144737,2.683127,0.0,34.905659,6.25,0.452967,0.961768,7.777575,-44.406017,0.0,24.466719,0.0,2.949081,17.02,11.00573,-12.870144,0.262553,0.973414,508.027,229.086,1.249764,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698752,806562,806542,806562,806569,806757,30.0,6.986,215.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26491.97,0,9
0.421054,0.044682,11.602542,2.684118,0.0,35.087719,4.882812,0.421311,0.610875,1.94762,-45.700512,0.0,28.585836,0.0,2.813914,14.978,10.057635,-17.536409,0.247078,0.0,1482.51,229.086,1.281808,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698809,806619,806601,806619,806626,806792,57.0,6.477,191.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28482.51,0,9
0.821396,0.084231,9.445286,1.932565,0.855893,36.792454,4.492187,0.418362,0.197522,3.534269,-46.193687,0.0,32.120106,0.0,10.008213,35.9905,9.860113,-3.16759,0.239682,0.0,706.959,229.086,1.366039,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698839,806649,806629,806649,806655,806814,30.0,6.62,185.0,512,256,0,16934,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26293.04,0,9
0.863622,0.09438,19.258226,2.684703,0.0,32.07547,5.273437,0.378844,1.241414,1.632196,-45.90984,0.0,30.487909,0.0,3.030867,17.2929,11.101527,-11.991842,0.232511,0.874999,603.922,229.086,1.271659,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698869,806679,806659,806679,806686,806836,30.0,7.001,177.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26396.08,0,9
0.311053,0.031645,16.183865,1.932986,0.846871,32.07547,4.296875,0.422819,1.340741,5.088488,-45.478634,0.0,25.399422,0.0,10.934456,26.7486,9.760786,-2.06774,0.225552,0.0,984.133,229.086,1.303303,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698898,806708,806688,806708,806715,806849,29.0,6.681,161.0,512,256,0,16934,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26015.87,0,9
0.309042,0.032222,9.881134,2.685049,0.0,35.964912,5.273437,0.460375,0.899136,1.735029,-45.995605,0.0,27.134451,0.0,3.969884,16.0376,10.659922,-14.629303,0.2188,0.0,1237.82,229.086,1.271081,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698927,806737,806718,806737,806743,806883,29.0,6.539,165.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28237.82,0,9
0.885896,0.090085,12.673468,1.933235,0.859721,33.018867,4.492187,0.416499,0.256971,0.806835,-45.509544,0.0,27.941286,0.0,10.20952,33.969,10.40295,-2.720737,0.212253,0.0,589.375,229.086,1.361165,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698956,806766,806746,806766,806772,806905,29.0,6.624,159.0,512,256,0,16934,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26410.62,0,9
0.643965,0.070124,20.982153,2.685253,0.0,29.245285,4.882812,0.342506,1.366332,2.189377,-44.728985,0.0,30.130663,0.0,3.237667,21.2538,9.036618,-11.515098,0.0,0.709748,723.121,229.068,1.291041,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147698986,806796,806776,806796,806803,806927,30.0,7.032,151.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26276.88,0,9
0.097049,0.010024,4.809178,1.933382,0.808428,34.640522,5.859375,0.442925,1.691876,1.48451,-43.945522,0.0,28.646152,0.0,10.934093,27.65,10.728495,-2.188961,0.0,0.0,2165.098,229.068,1.281018,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699017,806827,806805,806827,806834,806930,31.0,7.199,125.0,512,256,0,16934,0,6,1,1,1,1,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,24834.9,0,9
1.314291,0.145474,8.030859,3.552006,0.0,37.254902,7.421875,0.476659,0.256851,0.37575,-44.774857,0.505648,27.11949,1.722422,4.674028,14.5223,9.501689,-10.360637,0.0,0.139986,273.143,229.068,1.238091,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699075,806885,806866,806885,806893,806964,58.0,8.113,98.0,512,256,0,16936,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27273.14,0,9
1.198538,0.118713,12.30563,4.262645,0.0,35.849056,4.296875,0.419998,1.969186,3.313875,-46.429256,0.0,30.433365,0.0,6.699363,34.4755,11.470875,-6.8023,0.0,0.0,809.398,229.068,1.356804,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699105,806915,806895,806915,806922,806984,30.0,6.671,89.0,512,256,0,16935,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26190.6,0,9
1.230999,0.133619,3.284416,3.069105,0.0,30.81761,6.445312,0.423906,0.509952,5.059185,-45.722805,0.0,35.49255,0.0,2.837462,14.3193,10.960923,-13.418581,0.0,0.0,1050.879,229.068,1.223185,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699135,806945,806924,806945,806952,807019,30.0,7.109,95.0,512,256,0,16936,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,25949.12,0,9
0.96911,0.094833,15.041926,3.866666,0.85719,33.962265,4.101562,0.379753,0.955709,6.692921,-44.276428,0.0,28.799629,0.0,10.454878,30.7933,11.916632,-2.152222,0.0,0.0,667.127,229.068,1.318018,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699165,806975,806955,806975,806982,807032,30.0,6.642,77.0,512,256,0,16937,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26332.87,0,9
0.280108,0.029535,12.137994,4.270666,0.0,35.087719,5.46875,0.423498,2.409923,5.409199,-48.03257,0.0,34.208828,0.0,2.875278,14.0231,9.506709,-13.72719,0.0,100.0,1335.465,229.068,1.288483,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699193,807003,806984,807003,807010,807052,28.0,6.807,68.0,512,256,0,16936,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28335.46,0,9
0.588534,0.060666,14.482896,3.07488,0.849387,33.018867,4.492187,0.421566,0.214504,1.423801,-44.852875,0.0,32.785027,0.0,10.419464,33.7397,9.721213,-2.518095,0.0,0.0,906.84,229.068,1.349149,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699223,807033,807013,807033,807040,807074,30.0,6.672,61.0,512,256,0,16937,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26093.16,0,9
0.742104,0.080097,19.044933,3.621401,0.0,31.818182,6.640625,0.528117,1.597989,7.762138,-43.44511,0.0,25.022888,0.0,3.878581,15.7309,11.319202,-10.845945,0.0,1.017885,490.73,229.068,1.269051,31.925,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699252,807062,807043,807062,807070,807087,29.0,6.987,44.0,512,256,0,16936,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26509.27,0,9
0.607809,0.061708,14.285621,1.877335,0.853436,32.07547,4.101562,0.381424,0.349289,1.732504,-46.651577,0.0,26.755392,0.0,10.900509,30.3397,11.668491,-1.921818,0.0,0.0,782.453,229.068,1.330759,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699282,807092,807072,807092,807099,807141,30.0,6.649,69.0,512,256,0,16936,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26217.55,0,9
0.825625,0.084135,12.908268,1.900378,0.861711,35.849056,4.101562,0.377761,0.062373,1.899269,-43.692665,0.0,26.915318,0.0,10.268658,33.8863,11.130878,-2.68075,0.0,0.0,528.25,229.068,1.357932,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699340,807150,807130,807150,807156,807176,58.0,6.682,46.0,512,256,0,16936,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26471.75,0,9
0.982128,0.106694,11.691197,3.279814,0.0,31.132074,6.835937,0.494838,0.592392,5.138111,-45.577969,0.0,32.053429,0.0,3.378289,13.5355,11.72327,-22.24239,0.0,0.0,728.75,229.068,1.251238,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699369,807179,807159,807179,807186,807217,29.0,6.632,58.0,512,256,0,16936,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26271.25,0,9
0.468254,0.046872,17.082775,2.361466,0.857867,34.905659,4.296875,0.417399,1.95312,0.883793,-43.6479,0.0,32.937222,0.0,11.026554,27.2616,9.77015,-1.835028,0.0,0.0,646.316,229.068,1.29811,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699399,807209,807189,807209,807216,807231,30.0,6.665,42.0,512,256,0,16937,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26353.68,0,9
0.388298,0.040325,16.727554,3.036402,0.0,32.727272,4.6875,0.480702,1.395019,8.096607,-45.877853,0.0,24.840614,0.0,3.344688,19.7685,11.165169,-17.756197,0.0,0.0,43.771,229.068,1.257785,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699428,807238,807219,807238,807245,807264,29.0,6.614,45.0,512,256,0,16936,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27043.77,0,9
0.226309,0.022772,16.796415,1.574071,0.879891,34.545456,4.296875,0.406951,2.03637,0.751881,-44.790962,0.0,24.088734,0.0,10.736216,22.7333,9.128798,-2.459134,0.0,0.0,30.248,229.068,1.280557,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699457,807267,807248,807267,807274,807306,29.0,6.591,58.0,512,256,0,16936,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,27030.25,0,9
0.01275,0.001306,20.687569,2.390738,0.0,33.962265,5.273437,0.417297,2.268039,4.903193,-44.250198,0.0,28.991926,0.0,3.687958,18.7097,11.396837,-10.660723,0.0,0.730525,639.875,229.068,1.281863,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699486,807296,807277,807296,807304,807319,29.0,6.998,42.0,512,256,0,16935,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26360.13,0,9
0.035211,0.003611,17.430279,1.239359,0.853712,30.188679,4.882812,0.381301,1.242995,1.261791,-44.142906,0.0,30.253717,0.0,10.613678,21.6333,10.153842,-2.687161,0.0,0.0,773.969,229.068,1.285474,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699516,807326,807306,807326,807333,807354,30.0,6.67,48.0,512,256,0,16935,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26226.03,0,9
0.281091,0.029379,9.461425,1.523718,0.0,33.333336,5.078125,0.459809,0.14375,0.234247,-44.090885,0.0,28.445002,0.0,7.129637,14.3979,9.794112,-7.205506,0.0,0.0,1272.617,229.068,1.277085,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699574,807384,807366,807384,807391,807408,58.0,6.476,42.0,512,256,0,16933,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28272.62,0,9
0.176965,0.01808,18.031172,0.789895,0.0,33.962265,4.882812,0.420053,0.927418,4.096388,-46.69429,0.0,32.541389,0.0,3.59961,24.5923,10.72153,-10.51742,0.0,5.592755,812.85,229.068,1.295165,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699604,807414,807394,807414,807421,807443,30.0,7.001,49.0,512,256,0,16931,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26187.15,0,9
0.601214,0.062294,7.919912,0.568725,0.0,32.07547,6.054687,0.382322,0.704235,8.674242,-44.089142,0.0,23.867147,0.0,5.837828,14.3904,10.017295,-8.570238,0.0,0.0,844.023,229.068,1.232871,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699634,807444,807424,807444,807452,807464,30.0,7.147,40.0,512,256,0,16930,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26155.98,0,9
1.253134,0.123598,12.778889,0.294827,0.0,36.792454,4.882812,0.494373,0.960327,3.489223,-43.444397,0.0,27.356371,0.0,5.940385,34.3744,9.056968,-7.580062,0.0,0.0,704.072,229.068,1.356468,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699664,807474,807454,807474,807480,807518,30.0,6.603,64.0,512,256,0,16930,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26295.93,0,9
0.664398,0.072099,4.115892,1.591758,0.0,30.841122,6.640625,0.457706,0.797708,1.892565,-47.839714,0.0,29.248936,0.0,3.524587,14.4428,9.854675,-22.343332,0.0,0.0,1402.537,229.068,1.284369,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699693,807503,807484,807503,807509,807532,29.0,6.5,48.0,512,256,0,16929,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28402.54,0,9
0.938174,0.096398,14.006498,1.146066,0.0,33.962265,4.6875,0.501507,0.158696,7.295593,-44.349442,0.0,36.544529,0.0,5.54311,33.2531,10.013371,-8.356972,0.0,0.0,1078.129,229.068,1.380767,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699722,807532,807512,807532,807539,807553,29.0,6.678,41.0,512,256,0,16928,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,25921.87,0,9
1.325837,0.146455,3.068892,0.594121,0.0,32.07547,6.445312,0.455224,0.655082,7.823614,-45.32048,0.0,28.720915,0.0,2.908068,13.8915,10.668453,-14.406998,0.164784,0.0,639.326,228.945,1.234312,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699752,807562,807542,807562,807569,807588,30.0,7.141,46.0,512,256,0,16928,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26360.67,0,9
1.325837,0.146455,3.068892,0.594121,0.0,32.07547,6.445312,0.455224,0.655082,7.823614,-45.32048,0.0,28.720915,0.0,2.908068,13.8915,10.668453,-14.406998,0.164784,0.0,639.326,228.945,1.234312,31.937,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699752,807562,807542,807562,807569,807588,30.0,7.141,46.0,512,256,0,16928,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26360.67,0,9
1.093691,0.120765,2.288204,3.692319,0.0,32.407406,6.835937,0.455334,0.241359,0.453825,-47.874695,0.0,30.870781,0.0,3.165272,16.1292,10.526551,-22.071867,0.150417,0.0,1550.475,228.945,1.259469,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699809,807619,807601,807619,807626,807646,57.0,6.508,45.0,512,256,0,16929,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28550.47,0,9
1.093691,0.120765,2.288204,3.692319,0.0,32.407406,6.835937,0.455334,0.241359,0.453825,-47.874695,0.0,30.870781,0.0,3.165272,16.1292,10.526551,-22.071867,0.150417,0.0,1550.475,228.945,1.259469,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699809,807619,807601,807619,807626,807646,57.0,6.508,45.0,512,256,0,16929,0,6,0,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,28550.47,0,9
1.286999,0.129676,10.204887,1.914098,0.0,33.018867,4.101562,0.381691,1.554564,3.950119,-45.727997,0.0,34.8209,0.0,6.706771,35.8639,12.081116,-6.776443,0.141543,0.0,800.768,228.945,1.389145,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699839,807649,807629,807649,807656,807688,30.0,6.66,59.0,512,256,0,16929,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26199.23,0,9
1.286999,0.129676,10.204887,1.914098,0.0,33.018867,4.101562,0.381691,1.554564,3.950119,-45.727997,0.0,34.8209,0.0,6.706771,35.8639,12.081116,-6.776443,0.141543,0.0,800.768,228.945,1.389145,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699839,807649,807629,807649,807656,807688,30.0,6.66,59.0,512,256,0,16929,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26199.23,0,9
1.443385,0.160407,4.816024,2.919561,0.0,33.333336,6.835937,0.455205,1.886358,7.869513,-44.948444,0.0,26.951387,0.0,2.977061,14.1295,10.194757,-15.51811,0.137305,0.0,638.227,228.945,1.228738,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699869,807679,807659,807679,807686,807701,30.0,7.128,42.0,512,256,0,16930,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26361.77,0,9
1.443385,0.160407,4.816024,2.919561,0.0,33.333336,6.835937,0.455205,1.886358,7.869513,-44.948444,0.0,26.951387,0.0,2.977061,14.1295,10.194757,-15.51811,0.137305,0.0,638.227,228.945,1.228738,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699869,807679,807659,807679,807686,807701,30.0,7.128,42.0,512,256,0,16930,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26361.77,0,9
1.561825,0.153527,11.533789,4.420113,0.863705,33.636364,4.882812,0.489955,1.613385,3.216064,-45.317253,0.0,30.167452,0.0,9.750061,35.4687,11.808143,-3.113427,0.129202,0.0,466.975,228.945,1.382265,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699898,807708,807688,807708,807715,807756,29.0,6.593,68.0,512,256,0,16932,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26533.03,0,9
1.561825,0.153527,11.533789,4.420113,0.863705,33.636364,4.882812,0.489955,1.613385,3.216064,-45.317253,0.0,30.167452,0.0,9.750061,35.4687,11.808143,-3.113427,0.129202,0.0,466.975,228.945,1.382265,31.936,0,brush_universal_motor,handheld_vacuum,3,steady,unknown,1,handheld_vacuum,sess_1776147680498,1776147699898,807708,807688,807708,807715,807756,29.0,6.593,68.0,512,256,0,16932,0,6,1,1,1,0,0,0,0,0,0,4,0,0,1.0,1.0,0,1,0,0,26533.03,0,9
