epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776151332390,613133,613114,613133,613141,613161,29,7.084,47,229.191,0.161692,31.747,0.236353,0.007091,23.626694,3.926803,0,43.396225,11.328125,0.983392,0.598094,4.721758,-39.580517,0,31.528246,0,4.341942,21.0667,15.399433,-11.23995,0,68.242386,0,0,1,1,0,0,0,0,0,0,7932,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26439.1,9,560.898,512,256,0,0,0,0
1776151332420,613163,613143,613163,613170,613182,30,6.746,39,229.191,0.164313,31.747,0.08736,0.002621,23.935011,2.827299,0.852649,39.622643,8.398438,0.878085,0.753832,0.531668,-38.418327,0,30.996578,0,9.296832,23.0188,16.153265,-2.921649,0,0,1,0,1,1,0,0,0,0,0,0,7933,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26193.37,9,806.629,512,256,0,0,0,0
1776151332449,613192,613173,613192,613198,613215,29,6.645,42,229.191,0.164833,31.747,0.017326,0.00052,18.023787,3.418385,0,38.596489,9.179688,0.831608,0.722759,0.41116,-38.856682,0,31.407738,0,5.020699,18.7437,15.430506,-11.449088,0,0,0,0,1,1,0,0,0,0,0,0,7932,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,27657.28,9,657.277,512,256,0,0,0,0
1776151332479,613222,613202,613222,613228,613250,30,6.756,48,229.191,0.16518,31.747,0.011592,0.000348,23.470806,1.772091,0.856933,38.679245,9.179688,0.721748,0.700247,1.052105,-37.855461,0,30.355633,0,9.812917,21.1133,14.730259,-2.502694,0,0,1,0,1,1,0,0,0,0,0,0,7932,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26324.99,9,675.012,512,256,0,0,0,0
1776151332538,613281,613261,613281,613288,613304,59,7.137,43,229.191,0.157209,31.747,0.262168,0.007865,19.133339,3.718714,0.855736,46.153847,13.28125,0.989037,0.191029,1.670059,-39.851654,0,26.66172,0,9.098748,15.3526,14.586687,-3.699143,0,0,1,0,1,1,0,0,0,0,0,0,7935,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26288.21,9,711.789,512,256,0,0,0,0
1776151332567,613310,613290,613310,613317,613336,29,6.744,46,229.191,0.171209,31.747,0.46663,0.013999,22.374369,4.149346,0,39.090912,8.789063,0.86276,0.289369,1.259859,-38.726452,0,25.401861,0,6.617436,22.0446,14.876056,-5.776854,0,0,0,0,1,1,0,0,0,0,0,0,7934,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26658.63,9,341.375,512,256,0,0,0,0
1776151332596,613339,613320,613339,613347,613379,29,8.246,59,229.191,0.155817,31.747,0.513021,0.015391,18.044746,2.151021,0,43.661972,12.5,0.851168,1.465112,3.501179,-40.353123,0.674775,28.90304,5.607885,8.56848,12.5298,16.341167,-4.731634,0,0.363092,1,0,1,1,0,0,0,0,0,0,7934,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,27021.69,9,21.691,512,256,0,0,0,0
1776151332625,613368,613348,613368,613375,613393,29,6.727,45,229.191,0.168064,31.747,0.408219,0.012247,24.136009,3.113837,0,41.509434,9.179688,0.832005,0.208641,2.4366,-39.572674,0,31.33964,0,4.398051,23.21,16.132526,-8.197969,0,0,0,0,1,1,0,0,0,0,0,0,7933,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26442.16,9,557.84,512,256,0,0,0,0
1776151332655,613398,613378,613398,613405,613418,30,7.124,40,229.402,0.157228,31.747,0.361196,0.010836,16.394299,1.614213,0.853782,46.206898,13.28125,1.029427,0.552923,3.287653,-39.553902,0,28.051987,0,9.241188,15.9739,15.579603,-3.753701,0.065817,0,1,0,1,1,0,0,0,0,0,0,7933,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26228.18,9,771.82,512,256,0,0,0,0
1776151332685,613428,613407,613428,613435,613474,30,6.82,67,229.402,0.171364,31.747,0.47119,0.014136,32.40239,3.087397,0,35.294117,7.421875,0.751913,0.132292,1.789803,-38.920357,0,26.262184,0,6.17269,17.5983,15.711895,-6.911317,0.061927,0,0,0,1,1,0,0,0,0,0,0,7933,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,25268.89,9,1731.105,512,256,0,0,0,0
1776151332713,613456,613438,613456,613465,613494,28,8.187,56,229.402,0.162596,31.747,0.292273,0.008768,1.206074,2.222926,0,43.137257,12.890625,0.911385,0.659964,6.146393,-41.43137,0.11394,32.408577,1.409011,4.406113,6.0819,16.371859,-11.215031,0.06007,0.201803,0,0,1,1,0,0,0,0,0,0,7932,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,28528.01,9,1528.006,512,256,0,0,0,0
1776151332773,613516,613496,613516,613523,613542,60,7.17,46,229.402,0.155756,31.747,0.485493,0.014565,2.510648,0.829703,0,35.220127,11.328125,0.802956,1.567917,0.953384,-38.988785,0,29.433605,0,4.667968,15.6855,13.97861,-9.268484,0.054831,0,0,0,1,1,0,0,0,0,0,0,7929,0,6,inductive_motor,1,40w_electric_fan,2,arc,unknown,0,40w_electric_fan,sess_1776151311943__arc_01,0,0,0.8054,0.8054,0,1,26153.36,9,846.643,512,256,0,0,0,0
