abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.058201,0.001746,8.039676,0.0,0.908205,25.438599,6.25,0.64516,1.697577,5.329941,-27.334866,0.0,40.242149,0.0,9.186394,25.5163,14.900321,-7.459841,0.4065,7.926258,900.059,226.74,0.164988,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227309,525723,525705,525723,525730,526508,58.0,6.968,803.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,27900.06,0,9
0.121412,0.003642,4.774487,0.0,0.965512,38.52459,10.15625,0.876586,0.258882,14.72193,-27.929836,0.0,25.52022,0.0,9.749703,16.3132,15.159203,-1.791216,0.394356,0.0,2660.525,226.74,0.16863,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227336,525750,525733,525750,525757,526529,27.0,6.44,796.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29660.53,0,9
0.033656,0.00101,7.142766,0.0,1.930688,37.704918,9.375,0.606973,0.09877,7.190567,-27.765751,0.0,18.329653,0.0,10.552205,17.5526,15.257973,-1.720362,0.382569,0.0,2655.373,226.74,0.16964,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227363,525777,525759,525777,525784,526542,27.0,6.635,783.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29655.37,0,9
0.216289,0.006489,3.009282,0.0,0.0,43.624161,8.789063,0.609179,0.583277,3.288392,-29.811705,1.308892,15.041261,0.0,8.762209,9.2463,14.674696,-8.399069,0.371135,46.399624,2547.957,226.74,0.163151,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227391,525805,525788,525805,525812,526563,28.0,6.943,775.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29547.96,0,9
0.167572,0.005027,6.362928,0.0,0.0,30.601093,7.617187,0.539719,0.024834,1.035748,-28.616375,0.0,14.005513,0.0,7.894936,17.6072,14.69953,-3.940263,0.360039,0.0,2645.074,226.74,0.168178,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227418,525832,525815,525832,525839,526583,27.0,6.365,768.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29645.07,0,9
0.096926,0.002908,6.146006,0.0,0.0,28.688522,7.421875,0.573119,0.061713,1.220059,-30.11381,0.0,14.980051,0.0,8.735497,13.7349,15.102396,-9.003931,0.338831,96.149857,2662.244,226.74,0.16758,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227472,525886,525868,525886,525893,526618,54.0,6.721,750.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29662.24,0,9
0.099138,0.002974,28.683344,0.0,0.863795,32.121212,10.351563,0.753699,0.561748,4.772333,-27.495274,7.268071,19.752384,76.240921,11.694096,32.2125,14.540648,-8.201241,0.328699,77.399323,464.205,226.74,0.170555,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227502,525916,525896,525916,525923,526651,30.0,7.475,755.0,512,256,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,26535.79,0,9
0.061404,0.001842,25.062126,0.0,0.887118,42.424244,8.789063,1.027438,0.374565,13.537182,-28.163061,0.0,33.289566,0.0,9.703535,21.9797,14.166083,-2.345832,0.318867,0.0,252.262,226.74,0.172397,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227530,525944,525925,525944,525951,526672,28.0,6.584,747.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,27252.26,0,9
0.318503,0.009555,1.993469,0.0,0.95681,42.105263,12.5,0.646408,0.401513,4.406569,-29.375996,0.414865,28.882998,9.558194,9.273266,6.4632,14.567596,-7.967017,0.309328,1.773443,2393.191,226.74,0.162841,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227557,525971,525954,525971,525980,526686,27.0,8.091,732.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29393.19,0,9
0.084605,0.002538,8.872588,0.0,0.956755,89.285713,12.304688,1.020703,0.538558,0.536678,-28.148964,0.502264,30.65778,0.0,9.418819,16.5743,15.303617,-2.340884,0.291101,0.0,2391.504,226.74,0.168363,31.275,0,inductive_motor,40w_electric_fan,3,steady,unknown,1,40w_electric_fan,sess_1776153210631,1776153227612,526026,526008,526026,526033,526730,55.0,6.582,722.0,512,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.9981,0.9981,0,1,0,0,29391.5,0,9
