abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.925,228.139,0.0,31.035,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101159,165861,165841,165861,165863,165882,30.0,2.185,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,27606.47,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815.448,228.311,0.0,31.029,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101189,165891,165871,165891,165893,165917,30.0,2.16,16.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,27264.84,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.344,228.267,0.0,31.032,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101219,165921,165901,165921,165923,165941,30.0,2.061,10.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,28486.29,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.132,228.052,0.0,31.042,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101249,165951,165931,165951,165953,165969,30.0,2.146,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,25144.98,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.88,228.086,0.0,31.014,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101279,165981,165961,165981,165983,165998,30.0,2.14,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,26096.49,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.049,228.224,0.0,31.024,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101309,166011,165991,166011,166013,166028,30.0,2.23,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,27793.51,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.505,228.137,0.0,31.04,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101339,166041,166021,166041,166043,166059,30.0,2.208,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,27926.98,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.88,228.2,0.0,31.041,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101369,166071,166051,166071,166073,166096,30.0,2.282,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,24800.0,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.605,228.378,0.0,31.04,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101399,166101,166081,166101,166103,166125,30.0,2.231,14.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,26057.56,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.407,228.328,0.0,31.02,-1,inductive_motor,55w_stand_fan,4,start,synthetic_15s_start,0,55w_stand_fan,sess_1777008101159_4_1,1777008101429,166131,166111,166131,166133,166158,30.0,2.255,17.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0.0,0.0,0,0,0,0,25141.88,0,9
