abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.23,228.512,0.0,30.051,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356064,150618,150598,150618,150620,150643,30.0,2.027,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,26477.5,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,228.658,0.0,30.041,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356094,150648,150628,150648,150650,150673,30.0,2.32,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,25119.32,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.011,228.661,0.0,30.032,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356124,150678,150658,150678,150680,150699,30.0,2.269,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,29680.12,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.463,228.674,0.0,30.033,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356154,150708,150688,150708,150710,150725,30.0,2.252,7.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,27383.69,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.129,228.492,0.0,30.022,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356184,150738,150718,150738,150740,150754,30.0,2.194,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,29207.26,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.251,228.538,0.0,30.054,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356214,150768,150748,150768,150770,150789,30.0,2.189,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,26787.06,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,228.689,0.0,30.034,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356244,150798,150778,150798,150800,150816,30.0,2.011,8.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,27559.11,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.506,228.641,0.0,30.046,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356274,150828,150808,150828,150830,150851,30.0,2.253,13.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,28037.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.439,228.589,0.0,30.021,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356304,150858,150838,150858,150860,150883,30.0,2.148,15.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,28058.64,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.737,228.693,0.0,30.023,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356334,150888,150868,150888,150890,150907,30.0,2.171,9.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,28775.56,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.714,228.873,0.0,30.027,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356364,150918,150898,150918,150920,150938,30.0,2.086,10.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,25265.3,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.409,228.724,0.0,30.025,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356394,150948,150928,150948,150950,150972,30.0,2.226,14.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,28076.62,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.928,228.677,0.0,30.012,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356424,150978,150958,150978,150980,150994,30.0,2.277,6.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,26616.59,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,228.694,0.0,30.024,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356454,151008,150988,151008,151010,151034,30.0,2.177,16.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,25547.68,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,228.771,0.0,30.028,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356484,151038,151018,151038,151040,151059,30.0,2.174,11.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,27905.7,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,228.856,0.0,30.032,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356514,151068,151048,151068,151070,151092,30.0,2.176,14.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,25421.61,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.003,228.73,0.0,30.028,-1,other_mixed,household_refrigerator,4,start,synthetic_15s_start,0,household_refrigerator,sess_1777003356064_4_5,1777003356544,151098,151078,151098,151100,151121,30.0,2.19,13.0,512,256,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-1,-1,0.0,0.0,0,0,0,0,27278.11,0,9
