abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.887706,0.421936,15.236847,2.059489,0.0,27.083334,4.492187,0.295562,0.002012,0.391319,-55.517826,0.681494,23.911066,4.786831,8.461642,12.9779,9.031461,-6.520988,0.093989,0.205131,67.043,227.171,5.519427,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716389,740172,740153,740172,740180,740448,29.0,8.205,295.0,512,256,0,20651,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27067.04,0,9
0.723561,0.319492,24.53006,3.038781,0.0,22.64151,3.125,0.305451,1.614334,0.710764,-57.221405,0.0,24.62183,0.0,4.104822,21.6924,7.417127,-10.527189,0.091173,0.0,809.199,227.171,5.838919,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716418,740201,740181,740201,740208,740462,29.0,6.65,281.0,512,256,0,20650,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26190.8,0,9
0.729715,0.34086,9.93066,2.187922,0.0,25.974026,4.882812,0.304014,2.63301,1.287537,-54.220371,0.0,25.909367,0.0,8.425306,16.161,10.050137,-6.379667,0.088437,0.0,685.383,227.171,5.498058,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716448,740231,740211,740231,740238,740483,30.0,7.161,272.0,512,256,0,20649,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26314.62,0,9
0.739099,0.354743,7.116061,1.134219,0.0,25.0,4.6875,0.314546,0.646032,1.215466,-55.843941,0.398171,23.336155,0.21732,4.641023,6.3418,10.793179,-11.080797,0.08322,0.095277,1612.668,227.171,5.644839,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716505,740288,740270,740288,740297,740518,57.0,8.104,248.0,512,256,0,20647,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,28612.67,0,9
0.59544,0.268894,21.807127,0.816638,0.0,21.698112,3.125,0.303852,0.66601,2.723536,-56.241608,0.0,20.612619,0.0,4.591792,22.1185,10.127169,-10.088029,0.080726,0.0,671.375,227.171,5.913733,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716535,740318,740298,740318,740325,740551,30.0,6.639,253.0,512,256,0,20646,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26328.62,0,9
0.847882,0.401133,0.737208,0.587979,0.0,20.125786,4.101562,0.343339,0.283279,1.196119,-48.885742,0.0,19.4165,0.0,5.792015,15.4071,9.843889,-9.183218,0.078305,0.0,786.84,227.171,5.5126,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716565,740348,740328,740348,740355,740572,30.0,7.132,244.0,512,256,0,20645,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26213.16,0,9
1.13085,0.498715,18.80793,0.423345,0.852787,22.64151,2.929688,0.2672,1.117456,7.750835,-58.352341,0.0,27.167336,0.0,9.247924,24.5058,8.726433,-4.816977,0.0,0.0,802.367,227.258,6.011315,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716595,740378,740358,740378,740384,740594,30.0,6.624,236.0,512,256,0,20646,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26197.63,0,9
0.837049,0.402542,10.070677,1.697143,0.0,25.438599,4.6875,0.323727,0.648394,1.830828,-55.279427,0.0,28.998163,0.0,3.346989,12.6155,8.078039,-12.038109,0.0,5.230982,801.17,227.258,5.608773,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716624,740407,740388,740407,740414,740597,29.0,6.914,209.0,512,256,0,20645,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27801.17,0,9
0.719436,0.322813,20.786196,1.221943,0.862089,21.698112,2.929688,0.264317,0.520871,3.93228,-54.653557,0.0,25.065884,0.0,9.892635,23.7554,7.557168,-4.196085,0.0,0.0,516.641,227.258,5.931586,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716653,740436,740417,740436,740443,740610,29.0,6.613,193.0,512,256,0,20646,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26483.36,0,9
0.698103,0.331269,16.24902,2.351993,0.0,24.528303,5.078125,0.342174,2.078303,4.137953,-52.132839,0.0,20.927931,0.0,4.403411,18.1657,9.635471,-20.53371,0.0,0.0,697.629,227.258,5.600317,31.516,0,resistive_linear,electric_kettle,1,steady,unknown,1,electric_kettle,sess_1776137697719,1776137716683,740466,740446,740466,740473,740632,30.0,6.675,186.0,512,256,0,20645,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26302.37,0,9
