abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.91868,0.12929,21.716946,3.962015,0.0,21.698112,2.929688,0.2656,1.375927,5.279104,-55.728142,0.0,24.095907,0.0,6.572609,23.296,12.020319,-7.64957,0.0,0.0,644.59,226.617,1.888464,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616485,474166,474146,474166,474173,474953,29.0,6.642,807.0,512,256,0,5399,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26355.41,0,9
0.928944,0.140343,18.365612,2.852651,0.0,18.633539,3.710938,0.25909,1.121114,2.258934,-46.520889,0.0,26.354841,0.0,6.528594,15.6352,13.141433,-8.299932,0.0,0.0,17.66,226.617,1.748121,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616514,474195,474176,474195,474203,474976,29.0,7.093,800.0,512,256,0,5398,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,27017.66,0,9
0.147708,0.022388,5.901961,1.478814,0.965792,24.590164,3.710938,0.303346,3.754899,7.6873,-50.110477,0.0,30.413055,0.0,10.479817,15.5646,14.008527,-3.408978,0.0,0.0,2669.125,226.617,1.87217,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616569,474250,474233,474250,474257,475009,55.0,6.314,776.0,512,256,0,5396,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29669.12,0,9
0.158772,0.02378,7.084472,1.064746,0.0,21.311476,3.515625,0.303521,1.045443,13.946083,-52.971367,0.0,16.466972,0.0,8.851185,10.9323,15.053969,-6.020665,0.0,0.0,2651.941,226.617,1.84839,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616596,474277,474259,474277,474283,475030,27.0,6.294,771.0,512,256,0,5395,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29651.94,0,9
0.214342,0.031695,17.857447,0.766617,0.874653,13.636364,3.90625,0.372171,7.212011,16.432194,-35.622787,0.0,32.899166,0.0,10.636108,21.3323,7.841958,-3.209354,0.0,44.718681,130.648,226.617,1.880086,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616625,474306,474287,474306,474313,475051,29.0,6.998,764.0,512,256,0,5394,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26869.35,0,9
0.038758,0.00583,5.871018,0.551965,0.96568,22.131147,3.320313,0.269672,6.651461,2.659275,-49.334164,0.0,30.239891,0.0,10.229309,15.5613,14.493419,-3.379955,0.0,0.0,2665.682,226.617,1.874256,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616652,474333,474315,474333,474339,475065,27.0,6.339,750.0,512,256,0,5393,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29665.68,0,9
0.374841,0.055536,23.988029,0.286138,0.854392,21.383648,4.101562,0.304798,3.785662,8.931603,-35.935677,1.36333,24.708099,11.21345,10.313541,23.7512,10.067362,-3.584337,0.0,32.414173,753.078,226.617,1.796424,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616708,474389,474369,474389,474397,475120,56.0,7.556,751.0,512,256,0,5393,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26246.92,0,9
1.071174,0.153944,22.419783,1.584634,0.881725,14.545454,1.757813,0.258431,2.418077,4.268568,-43.572617,0.0,20.439531,0.0,9.456187,24.8193,12.485438,-4.02173,0.0,0.0,86.584,226.617,1.950368,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616737,474418,474399,474418,474425,475140,29.0,6.584,741.0,512,256,0,5394,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,27086.58,0,9
0.812884,0.126835,7.928117,2.6494,0.0,25.423729,3.90625,0.306017,1.861367,8.276634,-50.035233,0.0,28.716166,0.0,4.512638,7.006,14.346806,-11.328604,0.0,0.0,2410.098,226.617,1.823534,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616764,474445,474427,474445,474452,475154,27.0,6.353,727.0,512,256,0,5393,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29410.1,0,9
0.079702,0.011627,8.792176,1.907568,0.0,24.576271,3.90625,0.307729,1.321015,4.012747,-48.905113,0.0,24.703419,0.0,3.880057,11.2649,13.02579,-10.629253,0.0,0.0,2246.496,226.617,1.835161,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616791,474472,474455,474472,474479,475175,27.0,6.429,720.0,512,256,0,5392,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29246.5,0,9
0.30637,0.044979,9.528319,1.373449,0.947462,25.423729,3.710938,0.343572,0.338222,10.710205,-49.712276,0.0,35.413624,0.0,9.437455,20.3748,13.364012,-4.153756,0.0,0.0,2106.02,226.617,1.88014,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616819,474500,474482,474500,474506,475189,28.0,6.398,707.0,512,256,0,5391,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29106.02,0,9
0.150652,0.02258,9.419907,0.711996,1.504581,25.619835,3.320313,0.389436,0.311286,5.983484,-49.809555,5.454093,36.150856,9.575195,9.794503,28.6207,13.897023,-5.584119,0.0,0.0,3889.633,226.617,1.896067,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616879,474560,474536,474560,474567,475243,60.0,7.441,707.0,512,256,0,5391,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,23110.37,0,9
0.613878,0.093117,5.999367,1.683837,0.0,28.666666,5.273437,0.311519,0.24445,5.871946,-49.348259,0.092603,30.27891,0.683868,4.417478,3.7089,13.652574,-15.276046,0.0,0.081357,1890.668,226.617,1.80295,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616907,474588,474570,474588,474596,475265,28.0,8.114,695.0,512,256,0,5390,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,28890.67,0,9
0.316481,0.045648,11.522709,1.212363,0.0,22.881355,3.515625,0.314244,0.419337,6.848511,-49.512779,0.0,23.430399,0.0,5.878153,18.9856,13.233236,-8.222096,0.0,0.0,1640.207,226.617,1.848598,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616934,474615,474597,474615,474622,475285,27.0,6.463,688.0,512,256,0,5389,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,28640.21,0,9
0.285765,0.042261,8.844149,0.872901,0.94258,22.881355,3.320313,0.310816,0.577041,2.403484,-50.923752,0.0,21.026915,0.0,10.305404,22.6283,13.810277,-3.349459,0.0,0.0,1956.063,226.617,1.89086,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616962,474643,474625,474643,474649,475299,28.0,6.45,674.0,512,256,0,5390,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,28956.06,0,9
1.421442,0.215021,6.099972,1.815779,1.597557,16.993465,2.929688,0.285266,3.285214,13.241037,-38.825527,0.7881,34.267952,12.856504,9.422764,29.3372,10.525063,-4.325826,0.0,5.153181,2461.527,226.617,1.675838,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143616993,474674,474652,474674,474682,475322,31.0,8.342,670.0,512,256,0,5391,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,24538.47,0,9
1.493744,0.200263,7.879677,2.838939,0.948285,22.881355,3.320313,0.308946,3.743745,7.92931,-49.121536,0.0,26.338642,0.0,10.559554,20.7899,14.268807,-2.415737,0.0,0.0,2131.301,226.617,1.876102,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617021,474702,474684,474702,474709,475335,28.0,6.412,651.0,512,256,0,5392,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29131.3,0,9
0.29078,0.043643,7.892449,3.67793,0.0,24.576271,3.710938,0.309019,1.345176,0.676798,-49.330963,0.0,25.661844,0.0,7.273705,11.411,12.923632,-8.00913,0.0,0.0,2124.385,226.617,1.832459,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617048,474729,474711,474729,474736,475374,27.0,6.426,663.0,512,256,0,5391,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29124.38,0,9
0.061482,0.009159,7.09749,1.906639,0.91433,24.561403,3.90625,0.356021,0.27919,0.492847,-49.995075,0.0,18.863068,0.0,10.579977,28.7736,14.870232,-3.344524,0.0,0.0,1088.215,226.617,1.871324,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617104,474785,474767,474785,474792,475407,56.0,6.547,640.0,512,256,0,5391,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,28088.21,0,9
0.378492,0.056663,3.083176,2.663444,0.0,18.902439,3.710938,0.334289,1.638101,13.832203,-47.253803,0.0,32.695271,0.0,7.837586,20.6554,13.232131,-6.751737,0.0,100.0,77.154,226.617,1.814661,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617134,474815,474795,474815,474822,475421,30.0,7.449,626.0,512,256,0,5390,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26922.85,0,9
0.368969,0.053565,7.760583,1.91768,0.958736,27.966103,3.710938,0.305578,0.848862,0.741932,-50.518929,0.0,31.953339,0.0,9.224113,16.9008,14.080993,-4.264861,0.0,0.0,2452.375,226.617,1.868226,32.117,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617161,474842,474824,474842,474848,475444,27.0,6.387,620.0,512,256,0,5389,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29452.38,0,9
0.02825,0.004222,7.840974,1.380729,0.957469,24.576271,3.90625,0.33998,0.456574,16.938435,-51.144711,0.0,15.014903,0.0,10.088735,16.5941,14.537567,-4.14571,0.0,0.0,2413.459,226.617,1.864003,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617188,474869,474852,474869,474876,475465,27.0,6.401,613.0,512,256,0,5388,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29413.46,0,9
0.244203,0.036416,8.11561,0.994125,0.0,25.423729,3.515625,0.305842,0.005139,1.346787,-51.26247,0.0,16.361691,0.0,5.271552,7.3317,14.532428,-10.11897,0.0,0.0,2426.979,226.617,1.827588,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617215,474896,474879,474896,474903,475499,27.0,6.407,620.0,512,256,0,5387,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,29426.98,0,9
0.254927,0.037468,19.380289,0.515355,0.874171,23.636364,3.320313,0.297901,2.837563,2.373583,-49.420036,0.0,30.459499,0.0,10.126369,23.427,13.706669,-3.958224,0.0,0.0,145.457,226.617,1.87463,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617273,474954,474934,474954,474960,475532,58.0,6.586,598.0,512,256,0,5387,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26854.54,0,9
0.302798,0.045411,19.598024,1.522591,0.0,21.052631,3.125,0.250854,0.279205,1.225904,-50.949562,0.0,31.685404,0.0,4.57997,21.2473,13.427464,-10.176867,0.0,0.0,904.676,226.617,1.829219,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617302,474983,474965,474983,474990,475555,29.0,6.53,590.0,512,256,0,5386,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,27904.68,0,9
0.129945,0.019016,22.196993,1.096265,0.844939,21.698112,3.125,0.308208,3.081729,2.093796,-52.092346,0.0,29.591608,0.0,10.149404,22.5697,10.345735,-3.85917,0.0,0.0,1043.48,226.617,1.848235,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617332,475013,474993,475013,475020,475568,30.0,6.684,575.0,512,256,0,5387,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,25956.52,0,9
0.084916,0.012556,21.605442,1.998938,0.0,20.754717,2.734375,0.265662,3.234145,5.111139,-52.929729,0.0,24.480469,0.0,3.883709,21.7853,13.57988,-12.035774,0.0,0.0,650.703,226.617,1.86079,32.118,0,resistive_linear,halogen_lamp,5,steady,unknown,1,halogen_lamp,sess_1776143599954,1776143617362,475043,475023,475043,475050,475589,30.0,6.676,566.0,512,256,0,5386,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0.9994,0.9994,0,1,0,0,26349.3,0,9
