abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.039,231.457,0.0,32.056,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258219,246150,246129,246150,246152,246313,201.0,2.202,184.0,512,256,0,3543,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,25613.96,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.512,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258277,246208,246188,246208,246210,246951,58.0,2.19,763.0,512,256,0,3545,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27257.51,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.375,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258304,246235,246218,246235,246238,246964,27.0,2.135,746.0,512,256,0,3546,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29213.38,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.078,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258331,246262,246244,246262,246264,246979,27.0,2.111,735.0,512,256,0,3547,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29410.08,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2216.578,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258358,246289,246272,246289,246292,246993,27.0,2.158,721.0,512,256,0,3548,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29216.58,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.496,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258387,246318,246300,246318,246320,247008,29.0,2.239,708.0,512,256,0,3549,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28611.5,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.246,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258442,246373,246356,246373,246375,247039,55.0,2.093,683.0,512,256,0,3551,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29662.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.691,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258469,246400,246382,246400,246402,247067,27.0,2.129,685.0,512,256,0,3552,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29369.69,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2226.746,231.457,0.0,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258496,246427,246409,246427,246429,247080,27.0,2.098,671.0,512,256,0,3553,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29226.75,0,9
0.0,0.001693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4144.016,231.457,0.001693,32.051,-1,resistive_linear,manual_air_fryer,4,start,unknown,0,manual_air_fryer,sess_1776141240657,1776141258528,246459,246436,246459,246462,247095,32.0,2.25,659.0,512,256,0,3554,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,22855.98,0,9
