abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.527897,0.277873,19.442013,1.99443,0.862335,22.64151,2.929688,0.264241,1.265712,5.840033,-54.016956,0.0,26.973104,0.0,10.11438,24.0433,9.151375,-4.08512,0.0,0.0,509.076,225.65,6.85756,32.769,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185150,914225,914205,914225,914231,914252,30.0,6.622,47.0,512,256,0,14676,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26490.92,0,9
0.728775,0.39981,12.886752,2.985433,0.0,25.657896,4.6875,0.304198,0.136365,3.639395,-53.030716,0.515062,23.33371,5.956954,4.561951,18.021,9.28774,-18.331562,0.109254,0.061326,701.328,225.795,6.45775,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185179,914254,914234,914254,914262,914872,29.0,8.198,638.0,512,256,0,14677,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26298.67,0,9
1.037452,0.53597,11.370915,3.798055,0.886739,17.272728,2.539063,0.330389,2.217487,2.078465,-51.369762,0.0,21.255245,0.0,10.040574,30.0246,11.505227,-3.584511,0.105983,0.0,240.617,225.795,6.99372,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185208,914283,914264,914283,914290,914894,29.0,6.608,630.0,512,256,0,14678,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27240.62,0,9
0.121336,0.064285,7.415112,3.214372,0.0,24.590164,3.710938,0.303328,0.872553,1.895163,-56.321835,0.0,23.344847,0.0,7.579566,12.0667,9.11475,-6.596264,0.099722,0.0,2670.844,225.795,6.686914,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185262,914337,914320,914337,914344,914927,54.0,6.372,607.0,512,256,0,14676,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29670.84,0,9
1.020416,0.545876,29.488913,2.314348,0.86751,16.363636,2.148438,0.300189,0.671888,6.518221,-38.318375,0.0,16.826626,0.0,10.000539,23.9074,8.442862,-4.73332,0.096732,0.0,350.094,225.795,7.23279,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185291,914366,914346,914366,914373,914949,29.0,6.62,603.0,512,256,0,14677,0,6,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,26649.91,0,9
1.463498,0.846815,1.899126,3.247765,0.0,26.363636,5.46875,0.329547,0.593189,5.559335,-43.41642,0.0,11.267291,0.0,5.675903,12.7458,9.036051,-10.017148,0.09383,100.0,310.234,225.795,6.385974,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185320,914395,914376,914395,914402,914963,29.0,6.924,587.0,512,256,0,14678,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,27310.23,0,9
0.701076,0.358165,10.560222,4.013167,0.944774,23.728813,3.710938,0.310094,0.019924,15.324334,-58.61412,0.0,26.591625,0.0,9.398884,21.1449,9.055975,-4.185767,0.091014,0.0,2023.469,225.795,6.744139,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185347,914422,914404,914422,914429,914986,27.0,6.425,582.0,512,256,0,14679,0,6,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29023.47,0,9
0.002947,0.00159,7.939852,4.640797,0.956755,25.423729,3.515625,0.306211,3.961604,2.366627,-57.503208,0.0,24.224998,0.0,10.122705,16.4587,13.017579,-4.30876,0.088286,0.0,2391.504,225.795,6.742549,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185374,914449,914432,914449,914456,915006,27.0,6.383,574.0,512,256,0,14678,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29391.5,0,9
0.218634,0.115322,8.521388,2.405789,0.0,24.576271,3.710938,0.306387,1.217386,2.248726,-57.477509,0.0,19.680943,0.0,7.532352,15.5478,10.230404,-6.605068,0.083072,0.0,2374.641,225.795,6.708653,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185430,914505,914487,914505,914511,915053,56.0,6.897,566.0,512,256,0,14676,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,29374.64,0,9
0.182444,0.097917,18.267845,1.732168,0.0,23.684212,3.320313,0.284844,0.020075,6.969885,-51.955147,0.0,26.650827,0.0,4.714404,16.1934,10.250479,-13.420942,0.080578,0.0,1085.527,225.795,6.610737,32.766,0,resistive_linear,water_heater,3,steady,unknown,1,water_heater,sess_1776156167945,1776156185463,914538,914519,914538,914544,915075,33.0,6.48,556.0,512,256,0,14675,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,0,0,28085.53,0,9
