epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,fs_err_hz,fft_size,hop_samples,queue_drop_count,fault_state,arc_counter,auto_capture
1776154795304,903042,903022,903042,903049,903083,30,6.687,61,223.955,7.05091,32.786,1.076316,0.55899,22.397629,1.200901,0,22.64151,2.929688,0.305328,1.943861,5.21841,-54.37809,0,27.921564,0,7.254082,23.5604,8.109158,-7.114724,0.000975,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26201.35,9,798.648,512,256,0,0,0,0
1776154795332,903070,903051,903070,903076,903096,28,6.433,45,223.955,6.698535,32.786,0.624696,0.352375,8.033308,0.864649,0,23.728813,3.710938,0.314123,2.582114,5.529833,-56.475746,0,22.391731,0,7.945868,12.4464,10.691272,-7.529193,0.000948,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,28651.16,9,1651.156,512,256,0,0,0,0
1776154795362,903100,903080,903100,903107,903139,30,6.685,59,223.831,7.030794,32.786,0.62002,0.332259,20.101791,0.448234,0,23.584906,2.929688,0.268775,1.205618,1.905256,-57.938492,0,20.486475,0,5.706856,25.0098,9.485654,-9.064404,0.251,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26044.05,9,955.949,512,256,0,0,0,0
1776154795391,903129,903110,903129,903137,903142,29,7.118,32,223.831,6.512735,32.786,0.921052,0.518059,14.177786,0.322729,0,24.675325,4.492187,0.301269,0.013383,1.495771,-53.237068,0,18.990704,0,8.095728,14.6475,9.472271,-6.976054,0.243491,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26554.36,9,445.641,512,256,0,0,0,0
1776154795421,903159,903139,903159,903166,903207,30,6.658,68,223.831,7.081174,32.786,1.091013,0.568439,18.833542,0.120458,0,22.64151,3.125,0.305403,0.50385,6.042225,-61.992626,0,25.032928,0,8.127422,25.4609,9.976121,-6.191674,0.22228,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26194.92,9,805.084,512,256,0,0,0,0
1776154795479,903217,903197,903217,903224,903242,58,6.664,45,223.831,6.908884,32.786,0.607296,0.320107,23.535759,0.062445,0,23.584906,2.929688,0.267326,0.03679,3.000648,-56.19046,0,20.339243,0,4.016917,22.3572,9.359986,-10.73279,0.209172,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26185.27,9,814.734,512,256,0,0,0,0
1776154795508,903246,903226,903246,903253,903285,29,7.146,59,223.831,6.53036,32.786,0.684849,0.378524,15.747073,0.032372,0.856635,26.056337,4.492187,0.304,0.425046,1.50629,-53.569885,0,21.845533,0,9.17683,18.0341,9.785032,-5.620418,0.196838,0,1,0,1,1,0,0,0,0,0,0,1,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26315.82,9,684.184,512,256,0,0,0,0
1776154795538,903276,903256,903276,903282,903298,30,6.672,42,223.831,7.019969,32.786,0.937177,0.489609,21.045912,1.376545,0,24.528303,2.929688,0.26454,0.080987,0.125568,-58.199215,0,21.971102,0,6.947264,23.9394,9.866019,-7.44772,0.190942,0,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26461.04,9,538.965,512,256,0,0,0,0
1776154795569,903307,903287,903307,903314,903330,31,6.976,43,223.831,6.599092,32.786,0.749428,0.420877,13.577173,0.991112,0,21.818182,5.46875,0.515161,1.240829,0.154831,-53.894711,0,22.125933,0,4.493312,13.917,8.625191,-10.951372,0.185222,3.680637,0,0,1,1,0,0,0,0,0,0,0,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,27175.99,9,175.988,512,256,0,0,0,0
1776154795598,903336,903317,903336,903343,903365,29,6.636,48,223.831,7.044065,32.786,0.842868,0.444974,20.109686,0.513793,0.864456,21.818182,3.125,0.301249,2.073946,4.993345,-57.992622,0,27.119278,0,10.159842,22.796,10.699137,-3.73963,0.174298,0,1,0,1,1,0,0,0,0,0,0,1,0,6,resistive_linear,0,water_heater,5,arc,unknown,0,water_heater,sess_1776154771682__arc_01,0,0,0.9997,0.9997,0,1,26556.1,9,443.9,512,256,0,0,0,0
