abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,pulse_count_per_cycle,zero_dwell_ratio,low_current_ratio,max_low_current_run_ms,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,v_sag_pct,cycle_nmse,fs_err_hz,v_rms,i_rms,temp_c,label_arc,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,fft_size,hop_samples,queue_drop_count,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,device_family_code,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.648,230.45,0.0,31.834,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705035,434110,434090,434110,434113,434139,30.0,2.251,49.0,512,256,0,11925,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26243.35,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.848,230.45,0.0,31.834,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705064,434139,434120,434139,434141,434154,29.0,2.2,34.0,512,256,0,11926,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27740.85,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.738,230.45,0.0,31.834,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705094,434169,434149,434169,434172,434195,30.0,2.233,46.0,512,256,0,11929,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26374.26,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.643,230.45,0.0,31.834,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705124,434199,434179,434199,434201,434223,30.0,2.202,44.0,512,256,0,11931,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26271.36,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.613,230.45,0.0,31.834,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705154,434229,434209,434229,434232,434267,30.0,2.236,58.0,512,256,0,11933,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26049.39,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.75,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705213,434288,434267,434288,434290,434944,59.0,2.225,677.0,512,256,0,11935,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,25403.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.525,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705240,434315,434297,434315,434317,434962,27.0,2.047,665.0,512,256,0,11936,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29660.53,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.375,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705267,434342,434325,434342,434344,434976,27.0,2.155,651.0,512,256,0,11937,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29655.38,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.809,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705294,434369,434351,434369,434371,434991,27.0,2.077,640.0,512,256,0,11938,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29658.81,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.652,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705323,434398,434378,434398,434401,435004,29.0,2.246,626.0,512,256,0,11939,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26442.35,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398.258,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705379,434454,434437,434454,434456,435032,56.0,2.109,595.0,512,256,0,11941,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29398.26,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.012,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705406,434481,434463,434481,434483,435045,27.0,2.085,582.0,512,256,0,11942,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29378.01,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.32,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705433,434508,434490,434508,434510,435060,27.0,2.112,570.0,512,256,0,11943,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29403.32,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.488,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705461,434536,434517,434536,434538,435089,28.0,2.179,572.0,512,256,0,11944,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28001.49,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3362.102,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705494,434569,434546,434569,434571,435102,33.0,2.26,556.0,512,256,0,11945,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,23637.9,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.781,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705522,434597,434578,434597,434599,435118,28.0,2.188,540.0,512,256,0,11946,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28558.78,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1794.145,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705577,434652,434634,434652,434655,435146,55.0,2.173,512.0,512,256,0,11948,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28794.14,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386.445,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705608,434683,434665,434683,434685,435159,31.0,2.234,494.0,512,256,0,11949,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29386.45,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376.348,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705635,434710,434692,434710,434712,435174,27.0,2.07,482.0,512,256,0,11950,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29376.35,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.391,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705662,434737,434719,434737,434740,435203,27.0,2.143,484.0,512,256,0,11951,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29122.39,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393.191,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705689,434764,434746,434764,434766,435217,27.0,2.09,471.0,512,256,0,11952,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29393.19,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.361,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705746,434821,434803,434821,434823,435245,57.0,2.089,442.0,512,256,0,11954,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29430.36,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.602,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705774,434849,434831,434849,434851,435260,28.0,2.17,429.0,512,256,0,11955,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28947.6,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421.914,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705800,434875,434858,434875,434878,435272,26.0,2.131,414.0,512,256,0,11956,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29421.91,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443.91,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705827,434902,434885,434902,434904,435286,27.0,2.133,401.0,512,256,0,11957,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,29443.91,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.445,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705855,434930,434911,434930,434933,435301,28.0,2.23,390.0,512,256,0,11958,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,27222.45,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.322,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705913,434988,434969,434988,434991,435343,58.0,2.226,374.0,512,256,0,11960,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26509.68,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.629,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705943,435018,434998,435018,435021,435358,30.0,2.247,360.0,512,256,0,11961,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26523.37,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.121,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155705973,435048,435028,435048,435050,435372,30.0,2.207,344.0,512,256,0,11962,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26062.88,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.061,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706002,435077,435058,435077,435079,435387,29.0,2.237,329.0,512,256,0,11963,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28558.06,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.676,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706033,435108,435086,435108,435110,435401,31.0,2.196,315.0,512,256,0,11964,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,24771.32,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.48,230.591,0.0,31.841,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706064,435139,435119,435139,435141,435416,31.0,2.249,297.0,512,256,0,11965,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26230.52,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.496,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706094,435169,435149,435169,435171,435446,30.0,2.207,297.0,512,256,0,11966,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26491.5,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.01,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706123,435198,435179,435198,435200,435460,29.0,2.236,281.0,512,256,0,11967,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28250.01,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.244,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706182,435257,435237,435257,435260,435488,59.0,2.229,251.0,512,256,0,11969,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26174.76,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.223,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706212,435287,435267,435287,435290,435503,30.0,2.221,236.0,512,256,0,11970,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26447.78,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.781,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706241,435316,435297,435316,435318,435515,29.0,2.238,218.0,512,256,0,11971,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28439.78,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.283,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706271,435346,435325,435346,435348,435531,30.0,2.204,206.0,512,256,0,11972,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,25807.72,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.172,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706301,435376,435356,435376,435379,435560,30.0,2.248,204.0,512,256,0,11973,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26458.83,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.715,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706331,435406,435386,435406,435408,435574,30.0,2.187,188.0,512,256,0,11974,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26385.29,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.887,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706360,435435,435417,435435,435437,435589,29.0,2.245,172.0,512,256,0,11975,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28743.89,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.426,230.591,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706390,435465,435445,435465,435467,435603,30.0,2.187,158.0,512,256,0,11976,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26318.57,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.648,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706420,435495,435476,435495,435498,435618,30.0,2.236,142.0,512,256,0,11977,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26485.35,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.066,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706479,435554,435535,435554,435556,435634,59.0,2.252,99.0,512,256,0,11979,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28117.07,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.809,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706508,435583,435564,435583,435586,435649,29.0,2.23,85.0,512,256,0,11980,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26527.19,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.928,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706538,435613,435593,435613,435616,435678,30.0,2.233,85.0,512,256,0,11981,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26510.07,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.408,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706568,435643,435623,435643,435645,435692,30.0,2.202,69.0,512,256,0,11982,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26292.59,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.414,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706597,435672,435653,435672,435674,435707,29.0,2.244,54.0,512,256,0,11983,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28124.41,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.5,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706626,435701,435682,435701,435704,435721,29.0,2.234,39.0,512,256,0,11984,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26498.5,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.746,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706656,435731,435711,435731,435733,435749,30.0,2.231,38.0,512,256,0,11986,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26493.25,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.588,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706686,435761,435741,435761,435763,435793,30.0,2.199,52.0,512,256,0,11988,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26223.41,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.373,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706744,435819,435799,435819,435821,435835,58.0,2.212,36.0,512,256,0,11991,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26578.63,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.711,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706774,435849,435829,435849,435852,435876,30.0,2.251,47.0,512,256,0,11994,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26211.29,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.578,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706804,435879,435859,435879,435882,435920,30.0,2.226,61.0,512,256,0,11996,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,26265.42,0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.139,230.794,0.0,31.843,-1,resistive_linear,water_heater,5,start,unknown,0,water_heater,sess_1776155687403,1776155706833,435908,435889,435908,435910,435932,29.0,2.224,43.0,512,256,0,11997,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0.0,0.0,0,0,0,0,28535.14,0,9
