spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session,trial_id,section_id,_source_file,_source_folder,source_kind,source_priority,parsed_load_type,parsed_load_family,section_key,rf_train_row,section_prior,label_trust,arc_like_score,normal_like_score,clean_reason,clean_quality,invalid_off_flag,invalid_loaded_flag,hard_negative,sample_weight,transition_normal,conflict_scope,_feature_sig,_conflict_sig,label_conflict,conflict_policy,device_family_code,context_family_code_runtime,context_family_confidence,ctx_family_resistive_linear,ctx_family_inductive_motor,ctx_family_rectifier_smps,ctx_family_phase_angle_controlled,ctx_family_brush_universal_motor,ctx_family_other_mixed,context_runtime_source,context_augmented
200.0,8.901779,-8.29312,-53.826881,1.8242999999999998,3.666,110.33924297833249,16.978241,0.268203,0.224802,230.003,5.901766,27.498,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352240,2415698,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.113514796620779,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|8.9018|-8.2931|-53.8269|1.8243|3.666|110.3392|16.9782|0.2682|0.2248,200.0|8.902|-8.293|-53.827|1.824|3.666|110.339|16.978|0.268|0.225,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,12.414264,-3.505668,-64.1035,90.04429999999999,6.332699999999999,116.23047161660051,15.347345,0.557478,0.0447,230.003,5.922871,27.498,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352361,2415792,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1722936833648638,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|12.4143|-3.5057|-64.1035|90.0443|6.3327|116.2305|15.3473|0.5575|0.0447,200.0|12.414|-3.506|-64.104|90.044|6.333|116.23|15.347|0.557|0.045,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,10.171303,-5.924902,-62.813702,176.50650000000002,4.1379,107.90957945254655,15.953707,0.8067,0.01851,230.003,5.914101,27.498,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352441,2415890,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.13570416283878,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|10.1713|-5.9249|-62.8137|176.5065|4.1379|107.9096|15.9537|0.8067|0.0185,200.0|10.171|-5.925|-62.814|176.507|4.138|107.91|15.954|0.807|0.019,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,4.98068,-11.301636,-64.243256,200.0,15.9937,111.65418349546472,15.508956,0.632336,0.133531,230.003,5.850923,27.508,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352744,2415989,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.038342996932971,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|4.9807|-11.3016|-64.2433|200.0|15.9937|111.6542|15.509|0.6323|0.1335,200.0|4.981|-11.302|-64.243|200.0|15.994|111.654|15.509|0.632|0.134,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,11.182234,-5.302402,-36.225609,119.2321,2.4245,100.0,16.46377,0.428126,0.105604,229.553,5.819485,27.508,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352771,2416185,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1499375207532072,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|11.1822|-5.3024|-36.2256|119.2321|2.4245|100.0|16.4638|0.4281|0.1056,200.0|11.182|-5.302|-36.226|119.232|2.424|100.0|16.464|0.428|0.106,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,10.550632,-8.536147,-53.435715,200.0,4.8546,114.21548808437888,15.588937,0.814097,0.000245,229.553,5.819371,27.508,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352828,2416278,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1366465777336303,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|10.5506|-8.5361|-53.4357|200.0|4.8546|114.2155|15.5889|0.8141|0.0002,200.0|10.551|-8.536|-53.436|200.0|4.855|114.215|15.589|0.814|0.0,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,11.724052,-4.131733,-63.979034,200.0,2.8783,114.50382644368042,15.58287,0.736608,0.22175,229.553,5.922606,27.508,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549352936,2416374,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1598417036825874,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|11.7241|-4.1317|-63.979|200.0|2.8783|114.5038|15.5829|0.7366|0.2218,200.0|11.724|-4.132|-63.979|200.0|2.878|114.504|15.583|0.737|0.222,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,9.835463,-6.344065,-63.175739,135.30169999999998,11.4644,109.19430790503534,14.994078,0.750431,0.083001,229.553,5.88328,27.508,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353044,2416473,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1303997621260011,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|9.8355|-6.3441|-63.1757|135.3017|11.4644|109.1943|14.9941|0.7504|0.083,200.0|9.835|-6.344|-63.176|135.302|11.464|109.194|14.994|0.75|0.083,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,9.365406,-7.580599,-36.63942,144.4374,8.1813,100.0,15.791005,0.4776,0.071493,229.553,5.733859,27.513,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353270,2416669,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1226733011492993,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|9.3654|-7.5806|-36.6394|144.4374|8.1813|100.0|15.791|0.4776|0.0715,200.0|9.365|-7.581|-36.639|144.437|8.181|100.0|15.791|0.478|0.071,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
200.0,12.043175,-4.749599,-44.537525,200.0,5.0978,136.82328083480144,16.465904,0.93466,0.50452,228.999,5.965287,27.513,0,electric_kettle,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start__sess_1775549335977__start_01,1775549353326,2416763,0,1,1,0,0,32768,0,5,resistive_linear,electric_kettle,1,start,,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,Resistive__Electric Kettle__resistive__electric_kettle__trial_1__start,Resistive/Electric Kettle/resistive__electric_kettle__trial_1__start.csv,Resistive/Electric Kettle,real,3,electric_kettle,resistive_linear,start,1,transient_hint,0.8,1.1702537898644623,0.36000000000000004,strong_arc_like_negative,hard_negative,0,0,1,2.8000000000000003,0,Resistive__Electric Kettle__resistive_linear__electric_kettle__trial001,200.0|12.0432|-4.7496|-44.5375|200.0|5.0978|136.8233|16.4659|0.9347|0.5045,200.0|12.043|-4.75|-44.538|200.0|5.098|136.823|16.466|0.935|0.505,0,none,0,0,1.0,1,0,0,0,0,0,metadata_family,0
