spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
32.889816,3.750541,-14.89759,-62.885612,0.043943,0.066054,1.0839,16.763508,0.514412,0.087031,226.853,5.775489,27.735,0,Electric_Kettle,sess_1775550253013__steady_01,1775550261519,468092,0,1,1,0,0,32768,0,4
30.73801,11.033235,-5.720208,-54.730965,5.713916,0.008153,1.1742,16.050653,0.87877,0.365329,226.853,5.944286,27.735,0,Electric_Kettle,sess_1775550253013__steady_01,1775550261548,468186,0,1,1,0,0,32768,0,4
31.653038,12.537378,-3.45513,-62.082146,3.816924,0.059713,48.6378,15.498114,0.644792,0.150559,226.853,5.872688,27.735,0,Electric_Kettle,sess_1775550253013__steady_01,1775550261643,468279,0,1,1,0,0,32768,0,4
30.54043,12.605131,-3.339547,-61.383663,6.813428,0.023398,0.9658,14.762659,0.842444,0.141859,226.853,5.806041,27.735,0,Electric_Kettle,sess_1775550253013__steady_01,1775550261751,468380,0,1,1,0,0,32768,0,4
29.30435,9.278372,-8.389498,-64.929703,0.001168,0.037334,1.7989,16.275002,0.087758,0.35896,226.598,5.759255,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262035,468674,0,1,1,0,0,32768,0,4
33.212025,4.254954,-13.522142,-63.361046,2.73902,0.089275,0.8683,16.351456,0.622673,0.21382,226.598,5.66074,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262145,468767,0,1,1,0,0,32768,0,4
30.656523,9.116442,-7.002133,-63.327499,1.476685,0.024476,0.8188,15.95451,0.91418,0.205494,226.598,5.7538,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262253,468866,0,1,1,0,0,32768,0,4
29.623791,3.179355,-19.727716,-64.637833,0.000404,0.013295,1.3007,15.999275,0.114563,0.128552,226.598,5.746964,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262515,469160,0,1,1,0,0,32768,0,4
33.638699,4.256304,-17.782242,-62.958511,2.192504,0.03338,1.4811,15.660366,0.971419,0.02609,226.404,5.758959,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262626,469252,0,1,1,0,0,32768,0,4
29.76157,4.209841,-12.220887,-63.058739,0.987086,0.045531,1.2023,15.845799,0.624388,0.342434,226.404,5.601194,27.738,0,Electric_Kettle,sess_1775550253013__steady_01,1775550262734,469351,1,1,1,0,1,32768,0,4
