spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
29.763994,11.06324,-5.928619,-64.363693,0.012584,0.008008,0.48,15.033579,0.294112,0.402346,223.74,5.86243,28.097,0,Electric_Kettle,sess_1775550330869__close_03,1775550388349,594990,1,1,1,0,20,32768,0,4
32.997845,11.747985,-4.185143,-53.338089,5.195419,0.005126,1.5642,15.887983,0.726573,0.091932,223.74,5.905546,28.097,0,Electric_Kettle,sess_1775550330869__close_03,1775550388459,595083,1,1,1,0,20,32768,0,4
29.873001,10.813416,-5.36199,-62.892223,0.274215,0.05714,0.6634,15.897698,0.779203,0.173155,223.74,5.82374,28.097,0,Electric_Kettle,sess_1775550330869__close_03,1775550388567,595182,1,1,1,0,20,32768,0,4
29.873001,10.813416,-5.36199,-62.892223,0.274215,0.05714,0.6634,15.897698,0.779203,0.173155,223.738,0,28.101,0,Electric_Kettle,sess_1775550330869__close_03,1775550388903,595534,0,1,1,0,18,32768,0,4
29.873001,10.813416,-5.36199,-62.892223,0.274215,0.05714,0.6634,15.897698,0.779203,0.173155,223.738,0,28.101,0,Electric_Kettle,sess_1775550330869__close_03,1775550388933,595594,0,1,1,0,12,32768,0,4
29.873001,10.813416,-5.36199,-62.892223,0.274215,0.05714,0.6634,15.897698,0.779203,0.173155,223.738,0,28.101,0,Electric_Kettle,sess_1775550330869__close_03,1775550389014,595659,0,1,1,0,4,32768,0,4
29.873001,10.813416,-5.36199,-62.892223,0.274215,0.05714,0.6634,15.897698,0.779203,0.173155,223.738,0,28.101,0,Electric_Kettle,sess_1775550330869__close_03,1775550389068,595729,0,1,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,223.738,0,28.103,0,Electric_Kettle,sess_1775550330869__close_03,1775550389396,596052,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,223.93,0,28.103,0,Electric_Kettle,sess_1775550330869__close_03,1775550389454,596114,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,223.93,0,28.103,0,Electric_Kettle,sess_1775550330869__close_03,1775550389521,596182,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,223.93,0,28.103,0,Electric_Kettle,sess_1775550330869__close_03,1775550389589,596250,0,0,1,0,0,32768,0,4
