spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
32.864109,11.797613,-3.955636,-63.688545,2.698975,0.031549,2.424,15.918713,0.679887,0.288761,225.134,5.852309,27.661,0,Electric_Kettle,sess_1775551879194__arc_03,1775551890042,92301,1,1,1,0,20,32768,0,4
33.752842,12.526282,-3.306262,-60.073639,15.983219,0.028806,1.8157,16.523687,0.741425,0.081047,225.134,5.814364,27.661,0,Electric_Kettle,sess_1775551879194__arc_03,1775551890138,92402,1,1,1,0,20,32768,0,4
41.206852,9.956979,-10.369074,-39.371696,58.745457,0.049637,84.3902,14.961823,2.085918,0.150439,225.018,5.634399,27.656,0,Electric_Kettle,sess_1775551879194__arc_03,1775551891097,93081,1,1,1,0,20,32768,0,4
29.967436,10.233774,-6.961083,-46.757717,10.957817,0.020631,1.6797,16.375149,1.211863,0.047639,225.018,5.881215,27.656,0,Electric_Kettle,sess_1775551879194__arc_03,1775551891309,93568,1,1,1,0,20,32768,0,4
29.409977,11.646108,-4.683649,-52.950409,4.07053,0.086781,1.1122,16.262945,0.709044,0.261904,225.018,5.757989,27.656,0,Electric_Kettle,sess_1775551879194__arc_03,1775551891390,93661,1,1,1,0,20,32768,0,4
25.361629,12.001696,-4.327335,-46.278568,5.083911,0.172534,2.9444,15.905007,0.914294,0.187253,224.813,5.811465,27.645,0,Electric_Kettle,sess_1775551879194__arc_03,1775551891830,94054,1,1,1,0,20,32768,0,4
31.685007,10.130395,-6.689801,-42.840851,1.285405,0.154088,0,16.566191,0.701827,0.442597,224.813,5.605693,27.645,0,Electric_Kettle,sess_1775551879194__arc_03,1775551891887,94148,1,1,1,0,20,32768,0,4
34.666458,10.812019,-6.375543,-63.513474,0.024916,0.001481,1.861,14.944351,0.12122,0.211841,224.813,5.710187,27.642,0,Electric_Kettle,sess_1775551879194__arc_03,1775551892335,94540,1,1,1,0,20,32768,0,4
33.870457,4.978338,-12.510566,-47.364594,0.049131,0.062964,0,16.118544,0.067644,0.160819,224.633,5.636723,27.642,0,Electric_Kettle,sess_1775551879194__arc_03,1775551892363,94633,1,1,1,0,20,32768,0,4
31.019491,12.560711,-4.338163,-49.821831,0.081163,0.062259,0,16.666523,0.23306,0.011551,224.633,5.7136,27.643,0,Electric_Kettle,sess_1775551879194__arc_03,1775551892810,95023,1,1,1,0,20,32768,0,4
33.432854,6.236425,-11.05316,-60.721581,4.26761,0.065831,1.7529,16.58757,0.625861,0.025031,224.633,5.725041,27.643,0,Electric_Kettle,sess_1775551879194__arc_03,1775551892850,95118,1,1,1,0,20,32768,0,4
32.94619,10.446102,-5.941196,-49.151909,10.050794,0.140984,2.5102,16.430332,2.303582,0.527153,224.496,5.967423,27.644,1,Electric_Kettle,sess_1775551879194__arc_03,1775551893320,95504,1,1,1,0,20,32768,0,4
32.526169,11.131686,-6.306016,-62.574543,0.052836,0.16539,0.4803,16.980091,0.298326,0.253664,224.496,5.846325,27.644,0,Electric_Kettle,sess_1775551879194__arc_03,1775551893347,95604,1,1,1,0,20,32768,0,4
32.285645,12.398136,-3.522558,-63.27681,1.214388,0.088726,2.2804,16.411652,0.666797,0.021104,224.55,5.836454,27.642,0,Electric_Kettle,sess_1775551879194__arc_03,1775551893609,95697,1,1,1,0,20,32768,0,4
32.285645,12.398136,-3.522558,-63.27681,1.214388,0.088726,2.2804,16.411652,0.666797,0.021104,224.55,0.532424,27.642,0,Electric_Kettle,sess_1775551879194__arc_03,1775551893779,95992,0,1,1,0,18,32768,0,4
30.449286,8.515364,-8.969624,-55.067421,0.6544,0.503584,3.8012,15.728141,0.559002,0.51637,224.55,5.653488,27.642,1,Electric_Kettle,sess_1775551879194__arc_03,1775551893806,96060,0,1,1,0,16,32768,0,4
34.252674,11.218572,-4.482952,-61.654125,2.172073,0.06431,0.7113,16.396526,0.715411,0.457963,224.726,5.860616,27.642,1,Electric_Kettle,sess_1775551879194__arc_03,1775551893913,96155,0,1,1,0,4,32768,0,4
