spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0,0,0,0,0,0,0,0,0,0,229.9,0,27.665,0,Electric_Kettle,sess_1775551879194__start_01,1775551881656,83911,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,229.9,0,27.665,0,Electric_Kettle,sess_1775551879194__start_01,1775551881669,83972,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,229.974,0,27.665,0,Electric_Kettle,sess_1775551879194__start_01,1775551881764,84036,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,229.974,0,27.665,0,Electric_Kettle,sess_1775551879194__start_01,1775551881821,84105,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,229.974,0,27.665,0,Electric_Kettle,sess_1775551879194__start_01,1775551881876,84174,0,0,1,0,0,32768,0,4
0,13.092723,20,-26.822622,0.019788,0.10603,1.0101,16.382526,0.317747,25,229.974,5.883883,27.66,0,Electric_Kettle,sess_1775551879194__start_01,1775551882114,84309,0,1,1,0,0,32768,0,4
32.611893,6.624916,-10.705019,-50.519711,0.849223,0.072343,0,16.917141,0.381953,0.352374,229.974,5.718017,27.66,0,Electric_Kettle,sess_1775551879194__start_01,1775551882141,84403,0,1,1,0,0,32768,0,4
34.095108,3.75395,-14.292925,-57.27264,1.476764,0.035346,1.5958,16.183573,0.60744,0.230322,229.974,5.823376,27.66,0,Electric_Kettle,sess_1775551879194__start_01,1775551882237,84496,0,1,1,0,0,32768,0,4
31.203152,9.170769,-6.732957,-60.5354,11.745856,0.044185,7.6213,15.907164,0.866744,0.328402,229.849,5.976369,27.66,0,Electric_Kettle,sess_1775551879194__start_01,1775551882335,84598,0,1,1,0,0,32768,0,4
32.64999,11.888289,-4.745157,-49.563297,4.196084,0.047701,5.1085,16.251986,0.711705,0.535799,229.849,5.653714,27.666,0,Electric_Kettle,sess_1775551879194__start_01,1775551882656,84892,0,1,1,0,0,32768,0,4
27.118111,7.438982,-9.045313,-50.99807,3.412025,0.02212,3.0976,15.965524,1.170155,0.161762,229.849,5.726879,27.666,0,Electric_Kettle,sess_1775551879194__start_01,1775551882723,84987,0,1,1,0,0,32768,0,4
31.557003,4.937497,-16.652586,-58.628391,10.156593,0.049489,1.4638,15.351177,0.783944,0.052833,229.321,5.751084,27.666,0,Electric_Kettle,sess_1775551879194__start_01,1775551882821,85088,0,1,1,0,0,32768,0,4
32.963078,13.162268,-3.954035,-63.229935,0.049426,0.097112,0.9285,16.125149,0.320143,0.118741,229.321,5.900248,27.673,0,Electric_Kettle,sess_1775551879194__start_01,1775551883263,85477,0,1,1,0,0,32768,0,4
