epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775798960994,447122,447122,447160,447171,447489,100.008,11.432,367,232.815,0.542686,24.387,0.105408,0.004538,15.730498,0,1.183699,2.315556,-54.721558,0.201229,33.4818,0.0,5.108521,61.7081,15.152071,-11.585886,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27302.3,5,0.0,302.299,0.2075,0,0,0,0
1775798961094,447222,447222,447257,447268,447515,100.006,11.011,293,232.815,0.553905,24.387,0.258415,0.011219,5.451589,0,0.755342,4.007175,-55.982704,0.001193,37.488976,0.0,4.387232,55.3284,15.907413,-12.582632,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29437.98,5,0.0,2437.977,0.2013,0,0,0,0
1775798961194,447322,447322,447357,447368,447528,100.006,10.877,206,232.815,0.562323,24.387,0.189963,0.008418,5.729693,0,0.01784,0.964447,-55.848885,0.034978,38.453423,0.0,4.610267,58.5075,15.889572,-14.755206,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29383.07,5,0.0,2383.07,0.1953,0,0,0,0
1775798961294,447422,447422,447457,447468,447542,100.007,10.903,120,232.815,0.553008,24.387,0.207077,0.009316,6.27161,0,1.165803,3.248787,-57.456284,0.008908,41.702209,0.0,4.597605,69.6106,14.723769,-9.977839,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29426.13,5,0.0,2426.133,0.1895,0,0,0,0
1775798961394,447522,447522,447560,447571,447595,100.008,11.725,73,232.815,0.551163,24.387,0.041704,0.001845,10.807175,0,1.369227,1.615337,-49.348736,0.02355,43.317547,0.0,5.612534,71.3282,16.092997,-13.097769,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27431.02,5,0.0,431.021,0.1729,0,0,0,0
1775798961494,447622,447622,447661,447672,447882,100.009,11.441,260,232.815,0.543134,24.385,0.182069,0.008028,10.737011,0,2.524862,2.544369,-46.384678,0.835531,40.773178,0.0,5.336594,98.2908,13.568134,-9.83302,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,26433.99,5,0.0,566.008,0.1486,0,0,0,0
1775798961594,447722,447722,447757,447769,447908,100.006,12.352,186,232.594,0.540856,24.385,0.05244,0.002279,0.801224,0,1.36323,4.553696,-34.134842,0.027524,36.219482,0.0,4.819909,0.0,14.931364,-13.625389,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29418.53,5,0.0,2418.525,0.5773,0,0,0,0
1775798961694,447822,447822,447857,447870,447911,100.006,12.594,89,232.594,0.525221,24.385,0.361325,0.015634,2.536703,0,0.484608,3.212982,-56.931843,0.085904,39.432465,0.0,4.787848,53.1209,15.415972,-10.189493,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29422.75,5,0.0,2422.75,0.5601,0,0,0,0
1775798961794,447922,447922,447960,447971,447989,100.009,11.474,67,232.594,0.50868,24.385,0.393662,0.016541,5.808276,0,1.422575,2.483353,-54.865753,0.359422,36.949112,0.0,7.944397,77.5477,16.838547,-6.223105,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27403.86,5,0.0,403.859,0.4814,0,0,0,0
1775798961894,448022,448022,448060,448071,448093,100.008,11.718,71,232.594,0.529727,24.385,0.517189,0.021047,0.525637,0,0.326492,1.524128,-55.317848,0.517403,35.424984,0.0,8.769537,92.0039,16.512054,-4.69655,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27378.95,5,0.0,378.947,0.4013,0,0,0,0
1775798961994,448122,448122,448160,448171,448185,100.006,11.518,63,232.594,0.536837,24.385,0.16777,0.00711,2.337607,0,0.290668,3.076843,-57.22821,0.025438,38.501827,0.0,9.558867,104.0201,16.802723,-4.038339,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27184.16,5,0.0,184.156,0.3448,0,0,0,0
1775798962094,448222,448222,448257,448268,448455,100.006,10.926,233,232.594,0.569574,24.389,0.762229,0.032736,4.759058,0,0.506168,0.908772,-57.274479,0.002661,37.593056,0.0,10.208849,55.4143,16.296555,-3.520436,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29437.13,5,0.0,2437.129,0.3245,0,0,0,0
1775798962194,448322,448322,448357,448368,448469,100.007,10.94,147,232.594,0.576929,24.389,0.161429,0.007356,5.843134,0,0.040579,0.153667,-56.468102,0.027372,37.746723,0.0,10.595024,53.5236,16.337133,-3.500227,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,29432.9,5,0.0,2432.898,0.3148,0,0,0,0
1775798962294,448422,448422,448459,448471,448508,100.009,11.78,86,232.594,0.550162,24.389,0.579951,0.026768,8.712699,0,0.136486,0.351715,-57.295601,0.366575,37.395008,0.0,10.810427,63.523,16.200647,-3.1658,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27668.2,5,0.0,668.197,0.2962,0,0,0,0
1775798962394,448522,448522,448560,448571,448590,100.009,11.743,68,232.419,0.556144,24.389,0.135923,0.005983,6.805098,0,1.064537,0.565765,-56.51495,0.360773,36.829243,0.0,10.442625,57.4196,17.265184,-3.05795,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27449.4,5,0.0,449.404,0.2344,0,0,0,0
1775798962494,448622,448622,448660,448672,448695,100.008,11.806,73,232.419,0.540257,24.389,0.357066,0.015887,7.91098,0,0.397102,0.002792,-55.243526,0.48691,36.832035,0.0,10.388894,69.8694,16.868082,-3.389041,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27169.01,5,0.0,169.01,0.1953,0,0,0,0
1775798962594,448722,448722,448759,448770,448960,100.014,11.14,238,232.419,0.529032,24.395,0.259709,0.011225,9.467438,0,0.127232,0.992458,-55.623642,0.080522,37.824493,0.0,11.075752,57.9426,16.74085,-3.110927,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,27985.79,5,0.0,985.789,0.1838,0,0,0,0
1775798962694,448822,448822,448859,448870,448973,100.006,11.077,151,232.419,0.53996,24.395,0.258191,0.010928,14.947641,0,0.715158,1.865448,-56.586098,0.689991,35.959045,0.0,10.597272,56.4202,16.025692,-3.157592,0,0,1,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,3,steady,unknown,0,drill_press,sess_1775798960730,1,1,1.0,1.0,0,1,28243.6,5,0.0,1243.602,0.1783,0,0,0,0
