epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775799132015,618143,618143,618183,618187,618485,100.008,4.087,342,230.617,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,25855.32,5,0.0,1144.678,0.1933,0,0,0,0
1775799132115,618243,618243,618279,618283,618510,100.007,4.085,267,230.396,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,29323.33,5,0.0,2323.33,0.1875,0,0,0,0
1775799132215,618343,618343,618380,618385,618512,100.006,4.217,169,230.396,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,27860.91,5,0.0,860.914,0.1819,0,0,0,0
1775799132315,618443,618443,618480,618484,618524,100.006,4.278,81,230.396,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,28239.71,5,0.0,1239.707,0.1764,0,0,0,0
1775799132415,618543,618543,618582,618586,618613,100.007,4.086,70,230.396,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,27026.31,5,0.0,26.314,0.1515,0,0,0,0
1775799132515,618643,618643,618683,618687,618714,100.008,4.09,71,230.396,0.0,24.343,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,26206.01,5,0.0,793.986,0.1263,0,0,0,0
1775799132615,618743,618743,618778,618783,618926,100.006,4.08,183,230.396,0.0,24.338,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,29443.9,5,0.0,2443.9,0.1188,0,0,0,0
1775799132715,618843,618843,618879,618883,618938,100.006,4.09,95,230.396,0.0,24.338,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,29405.85,5,0.0,2405.852,0.1152,0,0,0,0
1775799132815,618943,618943,618981,618985,619001,100.007,4.097,58,230.396,0.0,24.338,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,27539.47,5,0.0,539.467,0.102,0,0,0,0
1775799132915,619043,619043,619081,619085,619101,100.009,4.086,58,230.396,0.0,24.338,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,27483.29,5,0.0,483.293,0.085,0,0,0,0
1775799133015,619143,619143,619181,619185,619203,100.007,4.089,60,230.491,0.0,24.338,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,inductive_motor,1,drill_press,4,start,unknown,0,drill_press,sess_1775799129913,1,1,1.0,1.0,0,0,27355.54,5,0.0,355.541,0.0,0,0,0,0
