spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
0,0,0,0,0,0,0,0,0,0,230.003,0,27.498,0,electric_kettle,sess_1775549335977__start_01,1775549352224,2415475,0,0,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
29.320616,8.901779,-8.29312,-53.826881,0.018243,0.03666,0.8546,16.978241,0.268203,0.224802,230.003,5.901766,27.498,0,electric_kettle,sess_1775549335977__start_01,1775549352240,2415698,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
45.526638,12.414264,-3.505668,-64.1035,0.900443,0.063327,1.3064,15.347345,0.557478,0.0447,230.003,5.922871,27.498,0,electric_kettle,sess_1775549335977__start_01,1775549352361,2415792,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
30.166267,10.171303,-5.924902,-62.813702,1.765065,0.041379,0.6612,15.953707,0.8067,0.01851,230.003,5.914101,27.498,0,electric_kettle,sess_1775549335977__start_01,1775549352441,2415890,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
30.901381,4.98068,-11.301636,-64.243256,2.214433,0.159937,0.9575,15.508956,0.632336,0.133531,230.003,5.850923,27.508,0,electric_kettle,sess_1775549335977__start_01,1775549352744,2415989,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
29.973803,11.182234,-5.302402,-36.225609,1.192321,0.024245,0,16.46377,0.428126,0.105604,229.553,5.819485,27.508,0,electric_kettle,sess_1775549335977__start_01,1775549352771,2416185,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
30.286036,10.550632,-8.536147,-53.435715,7.901353,0.048546,1.1545,15.588937,0.814097,0.000245,229.553,5.819371,27.508,0,electric_kettle,sess_1775549335977__start_01,1775549352828,2416278,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
35.423977,11.724052,-4.131733,-63.979034,3.013626,0.028783,1.1764,15.58287,0.736608,0.22175,229.553,5.922606,27.508,0,electric_kettle,sess_1775549335977__start_01,1775549352936,2416374,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
30.462673,9.835463,-6.344065,-63.175739,1.353017,0.114644,0.764,14.994078,0.750431,0.083001,229.553,5.88328,27.508,0,electric_kettle,sess_1775549335977__start_01,1775549353044,2416473,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
35.823345,9.365406,-7.580599,-36.63942,1.444374,0.081813,0,15.791005,0.4776,0.071493,229.553,5.733859,27.513,0,electric_kettle,sess_1775549335977__start_01,1775549353270,2416669,0,1,1,0,0,32768,0,4,resistive,electric_kettle,1,start,,0
