spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
35.848545,12.470623,-3.550267,-64.458763,1.026562,0.046023,1.4298,16.497807,0.8338,0.130963,224.538,5.783172,27.815,0,electric_kettle,sess_1775550253013__close_03,1775550298026,504651,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
29.931858,8.58316,-8.66968,-48.804207,1.109629,0.02799,6.0357,16.48423,0.440341,0.251415,224.778,5.650561,27.815,0,electric_kettle,sess_1775550253013__close_03,1775550298334,504945,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
30.996475,3.948376,-13.492017,-62.996536,4.470543,0.020364,0.4899,16.688177,1.029817,0.112545,224.778,5.701437,27.815,0,electric_kettle,sess_1775550253013__close_03,1775550298402,505039,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
31.690062,4.392606,-18.752813,-61.836899,1.166761,0.082689,1.2144,15.694107,0.860605,0.040371,224.778,5.683023,27.823,0,electric_kettle,sess_1775550253013__close_03,1775550298512,505138,0,1,1,0,18,32768,0,4,resistive,electric_kettle,4,close,,0
31.823757,3.999659,-18.04635,-62.360268,11.135011,0.026997,0.6824,15.686554,0.957698,0.087954,224.895,5.643035,27.823,0,electric_kettle,sess_1775550253013__close_03,1775550298596,505238,1,1,1,0,11,32768,0,4,resistive,electric_kettle,4,close,,0
32.150574,8.271418,-9.049949,-64.335907,2.10253,0.026561,2.0973,15.190332,0.399591,0.323682,224.895,5.561055,27.823,0,electric_kettle,sess_1775550253013__close_03,1775550298877,505437,1,1,1,0,14,32768,0,4,resistive,electric_kettle,4,close,,0
28.802988,3.270165,-22.582254,-64.047333,0.001262,0.030952,2.8033,14.157743,0.0528,0.242992,224.895,5.669159,27.823,0,electric_kettle,sess_1775550253013__close_03,1775550298891,505530,0,1,1,0,12,32768,0,4,resistive,electric_kettle,4,close,,0
31.894011,4.00999,-13.379697,-65.000824,11.772604,0.135388,1.056,16.784267,0.825367,0.115454,224.895,5.721521,27.823,0,electric_kettle,sess_1775550253013__close_03,1775550298986,505623,1,1,1,0,5,32768,0,4,resistive,electric_kettle,4,close,,0
31.139019,4.028904,-21.680599,-64.322922,0.279659,0.040397,1.0898,15.220824,1.007901,0.056859,224.895,5.695496,27.826,0,electric_kettle,sess_1775550253013__close_03,1775550299095,505722,0,1,1,0,8,32768,0,4,resistive,electric_kettle,4,close,,0
30.230099,7.746128,-9.427536,-61.48727,0.001553,0.094857,0.7496,17.043604,0.242236,0.296981,224.826,5.804793,27.826,0,electric_kettle,sess_1775550253013__close_03,1775550299373,506015,1,1,1,0,3,32768,0,4,resistive,electric_kettle,4,close,,0
33.07019,9.458323,-6.669445,-46.780258,2.283048,0.074283,0,16.339746,0.778948,0.010099,224.826,5.800104,27.826,0,electric_kettle,sess_1775550253013__close_03,1775550299481,506108,1,1,1,0,9,32768,0,4,resistive,electric_kettle,4,close,,0
34.698864,8.806323,-7.427623,-63.445473,3.38892,0.066497,0.2662,16.065977,0.607417,0.119933,224.826,5.744453,27.822,0,electric_kettle,sess_1775550253013__close_03,1775550299590,506208,1,1,1,0,15,32768,0,4,resistive,electric_kettle,4,close,,0
31.746939,8.817491,-8.431026,-49.166569,2.436686,0.007774,1.5181,15.292869,0.635353,0.039466,224.866,5.82331,27.822,0,electric_kettle,sess_1775550253013__close_03,1775550299894,506499,1,1,1,0,19,32768,0,4,resistive,electric_kettle,4,close,,0
30.000549,9.498603,-7.077903,-59.731602,3.067378,0.06794,0.7468,15.974463,0.844558,0.36371,224.866,5.65387,27.822,0,electric_kettle,sess_1775550253013__close_03,1775550299962,506592,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
33.446106,4.130482,-12.042417,-64.163666,11.285833,0.037474,0.622,15.708503,0.928583,0.058178,224.866,5.627555,27.827,0,electric_kettle,sess_1775550253013__close_03,1775550300058,506689,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
33.324738,11.455486,-5.233284,-40.963387,1.721031,0.369554,0,16.688702,0.487821,0.248469,225.159,5.553958,27.827,0,electric_kettle,sess_1775550253013__close_03,1775550300358,506979,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
30.996975,9.035131,-7.889371,-59.749039,6.117877,0.021482,1.1286,15.760151,0.97985,0.374184,225.159,5.720214,27.827,0,electric_kettle,sess_1775550253013__close_03,1775550300438,507072,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
34.481693,12.731236,-3.084865,-64.762505,2.765928,0.009797,0.3941,17.086769,0.780798,0.149046,225.159,5.788421,27.827,0,electric_kettle,sess_1775550253013__close_03,1775550300533,507170,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
30.432236,12.177577,-3.771467,-63.162235,3.438067,0.014235,1.0101,15.933894,0.765746,0.039027,225.159,5.806493,27.831,0,electric_kettle,sess_1775550253013__close_03,1775550300812,507269,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
27.913588,10.226347,-8.607725,-55.450226,0.713232,0.052489,4.0336,16.28989,0.469402,0.281566,225.159,5.672923,27.831,0,electric_kettle,sess_1775550253013__close_03,1775550300839,507464,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
33.286804,7.794673,-8.267115,-63.99799,1.279017,0.066282,0.5454,16.373093,0.873109,0.187361,225.289,5.757954,27.831,0,electric_kettle,sess_1775550253013__close_03,1775550300924,507559,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
33.699738,4.302331,-17.217701,-60.625244,12.121985,0.066999,0.4448,15.669526,0.870872,0.157458,225.289,5.685422,27.831,0,electric_kettle,sess_1775550253013__close_03,1775550301033,507658,1,1,1,0,20,32768,0,4,resistive,electric_kettle,4,close,,0
31.524313,4.155413,-17.375643,-61.936153,1.107253,0.06501,0.7502,16.379269,0.945588,0.154514,225.289,5.755701,27.835,0,electric_kettle,sess_1775550253013__close_03,1775550301128,507758,0,1,1,0,18,32768,0,4,resistive,electric_kettle,4,close,,0
