spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
33.155651,9.115206,-7.1881,-63.921448,3.75752,0.085935,0.4958,15.702953,0.900614,0.335193,225.105,5.616327,27.965,0,electric_kettle,sess_1775550330869__steady_02,1775550345077,551709,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
31.862577,9.862221,-6.14615,-64.090332,6.073634,0.041925,0.697,16.460316,0.777172,0.045743,225.105,5.636879,27.967,0,electric_kettle,sess_1775550330869__steady_02,1775550345409,551809,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
32.306053,6.079116,-10.990907,-55.712631,2.1079,0.017059,1.4838,16.130451,0.623077,0.447354,225.298,5.834741,27.967,0,electric_kettle,sess_1775550330869__steady_02,1775550345436,552004,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
30.841473,10.67598,-6.187727,-60.942001,9.502337,0.040615,0.7997,15.517193,0.838167,0.213394,225.298,5.934349,27.967,0,electric_kettle,sess_1775550330869__steady_02,1775550345453,552097,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
30.304178,12.288944,-3.737581,-56.435555,7.121192,0.041779,2.0891,16.431627,0.863131,0.234008,225.298,5.823254,27.967,0,electric_kettle,sess_1775550330869__steady_02,1775550345562,552190,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
32.900833,12.713745,-3.130532,-64.149353,3.076771,0.099948,0.7116,15.403765,0.647998,0.070718,225.298,5.790309,27.967,0,electric_kettle,sess_1775550330869__steady_02,1775550345657,552291,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
31.145567,13.069649,-4.119665,-63.173958,0.122071,0.022546,0.73,15.811441,0.322816,0.140882,225.298,5.85992,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550345933,552491,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
30.684856,12.544329,-4.740233,-63.853401,0.084323,0.036724,0.949,15.19388,0.229019,0.176771,225.412,5.77705,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550345948,552584,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
31.948004,9.71794,-6.471174,-62.069973,2.294526,0.05659,0.5825,15.670272,0.932699,0.10404,225.412,5.728967,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346044,552677,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
30.694103,9.976576,-6.225822,-62.90274,2.245304,0.064087,0.8502,16.080938,0.903562,0.067039,225.412,5.759692,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346152,552777,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
34.612377,12.812371,-4.104631,-64.624229,0.000857,0.046295,0.7627,14.804797,0.182302,0.008824,225.412,5.772441,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346409,552976,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
28.578583,10.773466,-6.285637,-63.473362,0.001199,0.05214,1.5731,15.668507,0.739459,0.440283,225.412,5.56912,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346436,553069,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
32.126587,4.830077,-11.371279,-62.429806,6.04985,0.06853,0.4472,15.745811,0.926006,0.140031,225.515,5.631508,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346533,553162,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
33.36031,5.882453,-10.105973,-63.414608,0.41658,0.083054,0.7414,15.955469,0.906596,0.092672,225.515,5.673259,27.968,0,electric_kettle,sess_1775550330869__steady_02,1775550346629,553262,1,1,1,0,20,32768,0,4,resistive,electric_kettle,5,steady,,0
