epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775800422230,756449,756449,756485,756498,756638,100.003,12.896,189,227.783,5.857487,25.812,0.377402,0.171668,10.773782,6.639852,1.088546,0.438759,-65.993095,0.223955,37.909031,0,9.84849,53.2734,12.031188,-4.72803,1,0,1,1,0,0,0,0,0,0,3334,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,28876.79,5,0,1876.795,0,0,0,0,0
1775800422330,756549,756549,756585,756597,756651,100.006,11.705,102,227.783,5.746334,25.812,0.237202,0.111153,6.908165,6.544678,5.132977,1.389915,-63.88084,0.062237,36.519115,0,10.589226,52.8599,6.898211,-4.351934,1,0,1,1,0,0,0,0,0,0,3335,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,28569.83,5,0,1569.834,0,0,0,0,0
1775800422430,756649,756649,756687,756699,756731,100.009,12.055,82,227.783,5.744406,25.812,0.004195,0.001928,4.975053,6.557137,1.478728,4.054146,-65.091202,1.11594,40.573261,0.028895,10.32298,70.4355,8.37694,-4.179476,1,0,1,1,0,0,0,0,0,0,3339,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,27298.66,5,0,298.658,0,0,0,0,0
1775800422530,756749,756749,756787,756800,756813,100.01,13.178,64,227.83,5.67817,25.812,0.14413,0.066236,9.286048,6.246706,2.112844,0.319218,-64.16111,0.395731,40.254044,0.033633,10.376467,62.8202,10.489783,-4.222435,1,0,1,1,0,0,0,0,0,0,3345,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,27288.47,5,1.134459,288.475,0,0,0,0,0
1775800422630,756849,756849,756887,756900,757099,100.009,13.355,250,227.83,5.704892,25.814,0.058826,0.026722,5.976232,6.161382,0.041866,3.764114,-63.866039,0.91751,36.489929,0.004832,10.879333,57.9446,10.447917,-3.538131,1,0,1,1,0,0,0,0,0,0,3350,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,27275.39,5,0,275.391,0,0,0,0,0
1775800422730,756949,756949,756988,757000,757112,100.005,12.764,163,227.83,5.691162,25.814,0.030084,0.01373,1.360581,6.152333,2.835876,2.721863,-48.84919,0.448395,33.768066,0.084498,11.338243,82.6201,7.612041,-2.796037,1,0,1,1,0,0,0,0,0,0,3351,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,26824.54,5,1.777265,175.459,0,0,0,0,0
1775800422830,757049,757049,757086,757097,757126,100.003,11.183,77,227.83,5.799435,25.814,0.237808,0.108273,14.713708,6.144913,1.890077,0.792778,-62.182899,0.535882,32.975288,0,10.959831,64.4567,9.502117,-3.511222,1,0,1,1,0,0,0,0,0,0,3352,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,28113.33,5,0,1113.332,0,0,0,0,0
1775800422930,757149,757149,757188,757200,757300,99.938,11.987,151,227.83,5.72878,25.814,0.152288,0.070655,0.522949,6.388828,1.153875,11.03315,-41.598686,2.625543,44.008438,0.004859,11.279473,170.4792,10.655993,-2.857375,1,0,1,1,0,0,0,0,0,0,3353,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,26307.68,5,0,692.324,0,0,0,0,0
1775800423030,757249,757249,757288,757300,757327,100.003,12.133,78,227.83,5.656539,25.814,0.157627,0.072241,8.397341,6.338839,1.607838,2.249836,-49.947632,2.436483,41.758602,0.010474,11.400018,86.6922,12.26383,-2.960889,1,0,1,1,0,0,0,0,0,0,3354,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,26587.73,5,0,412.266,0,0,0,0,0
1775800423130,757349,757349,757387,757400,757629,100.011,13.171,280,227.944,5.880343,25.822,0.494568,0.223804,10.58145,6.445539,0.652841,7.573879,-61.411659,1.173693,34.184723,0.00324,10.978961,70.0477,11.61099,-3.215577,1,0,1,1,0,0,0,0,0,0,3359,0,0,resistive_linear,0,electric_kettle,2,arc,unknown,0,electric_kettle,sess_1775800417061__arc_01,0,0,1,1,0,1,27066.32,5,0,66.318,0,0,0,0,0
