epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775800882671,1216890,1216890,1216928,1216940,1217245,100.006,11.948,355,227.697,5.699642,25.555,0.342239,0.160444,9.164217,2.078105,1.08748,0.485004,-61.081577,0.684509,36.38908,0.002893,3.805976,65.9289,9.618422,-11.417002,1,0,1,1,0,0,0,0,0,0,13749,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,27219.56,5,0,219.564,0,0,0,0,0
1775800882771,1216990,1216990,1217027,1217039,1217271,100.008,11.821,281,227.697,5.798683,25.555,0.217209,0.099041,4.0665,3.054046,2.324232,4.066196,-35.301716,0.735574,40.455276,0.002282,8.059246,0,11.942654,-9.864082,1,0,1,1,0,0,0,0,0,0,13750,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,27653.25,5,0,653.254,0,0,0,0,0
1775800882871,1217090,1217090,1217129,1217141,1217284,100.005,11.985,194,227.697,5.642239,25.555,0.337241,0.156445,6.622198,3.854318,5.998778,7.015408,-36.938686,0.795251,33.439869,0.006427,8.298421,0,5.943875,-6.439719,1,0,1,1,0,0,0,0,0,0,13751,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26443.55,5,0,556.451,0,0,0,0,0
1775800882971,1217190,1217190,1217225,1217237,1217297,100.003,12.123,107,227.697,5.855291,25.555,0.472002,0.213052,5.530685,4.260541,0.053305,19.291065,-67.928848,0.009983,52.730934,0,8.842457,52.246,5.890571,-5.948467,1,0,1,1,0,0,0,0,0,0,13752,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,29437.98,5,0,2437.977,0,0,0,0,0
1775800883071,1217290,1217290,1217328,1217341,1217353,100.007,13.231,63,227.718,5.654409,25.555,0.428845,0.200881,4.953546,5.524428,5.171852,11.995125,-63.222778,0.550269,40.735809,0.001084,9.820241,68.7308,11.062423,-5.00063,1,0,1,1,0,0,0,0,0,0,13756,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26919.03,5,0.516317,80.967,0,0,0,0,0
1775800883171,1217390,1217390,1217429,1217441,1217628,100.009,12.528,238,227.718,5.755169,25.557,0.222746,0.10076,4.175173,5.932755,0.967061,1.051716,-35.97477,1.820409,41.787525,0.038457,10.563378,0,12.029484,-3.467783,1,0,1,1,0,0,0,0,0,0,13762,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26372.72,5,0,627.279,0,0,0,0,0
1775800883271,1217490,1217490,1217525,1217536,1217655,100.005,10.935,165,227.718,5.944513,25.557,0.411247,0.189344,4.914458,5.964859,5.274723,0.077999,-64.456673,0.006958,41.709526,0,11.272141,52.46,6.754761,-3.217145,1,0,1,1,0,0,0,0,0,0,13763,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,29426.13,5,0,2426.133,0,0,0,0,0
1775800883371,1217590,1217590,1217629,1217640,1217668,100.006,11.908,78,227.718,5.895453,25.557,0.103163,0.04906,16.514429,5.991184,1.253893,1.764717,-43.953453,2.05915,43.474243,0.187782,10.424603,90.4768,5.500867,-3.815023,1,0,1,1,0,0,0,0,0,0,13764,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26644.46,5,0,355.537,0,0,0,0,0
1775800883471,1217690,1217690,1217729,1217742,1217759,100.008,13.089,69,227.718,5.772311,25.557,0.261095,0.123142,11.882821,6.316649,4.009536,6.343521,-60.733341,0.100849,37.130722,0.060203,10.850742,83.0228,9.510404,-3.746097,1,0,1,1,0,0,0,0,0,0,13769,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26384.27,5,0.107592,615.727,0,0,0,0,0
1775800883571,1217790,1217790,1217828,1217842,1217863,100.007,13.379,73,227.718,5.883924,25.557,0.2417,0.111614,15.201974,6.173596,0.801881,1.451008,-61.138977,0.577362,35.679714,0.069063,10.735412,80.6676,10.312284,-3.753314,1,0,1,1,0,0,0,0,0,0,13775,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26712.58,5,0.215594,287.422,0,0,0,0,0
1775800883671,1217890,1217890,1217928,1217939,1218106,100.013,11.493,216,227.718,5.97984,25.553,0.203766,0.095916,12.995979,6.130107,0.758836,0.155285,-61.575985,1.094233,35.524429,0,10.573687,75.6854,11.07112,-4.179941,1,0,1,1,0,0,0,0,0,0,13781,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,27015.62,5,0,15.619,0,0,0,0,0
1775800883771,1217990,1217990,1218026,1218038,1218133,100.006,11.746,143,227.831,6.005987,25.553,0.054656,0.026147,5.531453,6.126688,1.736765,3.230877,-58.967819,0.315157,32.293552,0,10.425053,53.9749,9.334355,-4.443751,1,0,1,1,0,0,0,0,0,0,13782,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,28327.2,5,0,1327.201,0,0,0,0,0
1775800883871,1218090,1218090,1218127,1218139,1218162,100.011,11.877,72,227.831,6.044517,25.553,0.08019,0.03853,6.499545,6.119699,0.90623,1.784479,-63.434395,0.256148,30.509073,0,9.983534,62.0516,10.240585,-4.988106,1,0,1,1,0,0,0,0,0,0,13785,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,27988.85,5,0,988.848,0,0,0,0,0
1775800883971,1218190,1218190,1218228,1218239,1218254,100.01,11.496,64,227.831,6.048074,25.553,0.007355,0.003557,13.092871,6.114295,0.172644,6.424921,-60.674568,0.859771,36.933994,0,8.318862,79.3292,10.413229,-6.981537,1,0,1,1,0,0,0,0,0,0,13790,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,27142.37,5,0,142.365,0,0,0,0,0
1775800884071,1218290,1218290,1218329,1218340,1218359,100.008,11.258,69,227.831,5.983952,25.553,0.132525,0.064122,16.875578,6.112079,1.64665,2.850975,-60.503418,0.014755,34.083019,0,5.965886,83.5435,12.059879,-9.569994,1,0,1,1,0,0,0,0,0,0,13796,0,1,resistive_linear,0,electric_kettle,3,steady,unknown,0,electric_kettle,sess_1775800880057,0,0,1,1,0,1,26677.78,5,0,322.217,0,0,0,0,0
