epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775795015435,1918586,1918586,1918624,1918635,1919061,100.01,11.214,475,228.449,4.668953,21.881,0.252882,0.092583,6.30923,6.116086,0.484236,5.474522,-49.145103,1.35178,36.303894,0,6.786875,92.923,10.678696,-6.890325,1,0,1,1,0,0,0,0,0,0,558,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,27064.89,5,0,64.887,0.3068,0,0,0,0
1775795015535,1918686,1918686,1918723,1918734,1919064,100.007,11.06,378,228.449,4.667185,21.881,0.004732,0.001768,1.219022,6.115191,0.75597,0.466846,-47.766537,1.985634,36.770741,0,7.859459,66.8349,11.434666,-8.055436,1,0,1,1,0,0,0,0,0,0,559,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,28288.07,5,0,1288.074,0.2976,0,0,0,0
1775795015635,1918786,1918786,1918823,1918834,1919077,100.009,11.133,291,228.449,4.718794,21.881,0.138221,0.051609,2.238249,6.114457,1.726862,1.175995,-51.200504,2.09693,35.594746,0,4.578457,62.4873,9.707804,-9.830809,1,0,1,1,0,0,0,0,0,0,560,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,27683.91,5,0,683.906,0.2887,0,0,0,0
1775795015735,1918886,1918886,1918921,1918932,1919090,100.005,10.924,204,228.449,4.441727,21.881,0.733943,0.277067,2.906863,6.113854,0.041752,0.960281,-53.923843,0.024859,36.555027,0,4.337623,52.8971,9.666052,-10.378661,1,0,1,1,0,0,0,0,0,0,561,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,29419.37,5,0,2419.369,0.2801,0,0,0,0
1775795015835,1918986,1918986,1919022,1919034,1919479,100.004,12.514,493,228.449,4.432447,21.889,0.026116,0.00928,2.822532,6.11336,0.503348,6.095224,-51.363403,0.061246,30.459803,0,7.458921,52.6446,9.162704,-6.417754,1,0,1,1,0,0,0,0,0,0,562,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,28817.47,5,0,1817.471,0.2717,0,0,0,0
1775795015935,1919086,1919086,1919126,1919137,1919506,100.008,11.389,420,228.449,4.524898,21.889,0.26072,0.092451,5.458134,6.362956,2.189717,7.4527,-44.342651,2.370954,37.912502,0,4.662419,91.4932,11.352421,-12.873607,1,0,1,1,0,0,0,0,0,0,563,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,25924.05,5,0,1075.949,0.2636,0,0,0,0
1775795016035,1919186,1919186,1919221,1919232,1919520,100.003,10.856,334,228.449,4.389641,21.889,0.373644,0.135256,3.394807,4.581328,2.092067,2.56649,-52.470131,0.067616,35.346012,0,3.801671,54.2403,9.260354,-15.558311,0,0,1,1,0,0,0,0,0,0,562,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,29426.98,5,0,2426.979,0.2557,0,0,0,0
1775795016135,1919286,1919286,1919321,1919332,1919534,99.902,10.871,248,228.449,4.385026,21.889,0.013144,0.004616,4.521685,3.298557,0.208926,0.809288,-52.533485,0.039865,36.1553,0,3.968616,58.3633,9.051428,-17.796272,0,0,1,1,0,0,0,0,0,0,561,0,0,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,29371.27,5,0,2371.271,0.248,0,0,0,0
1775795016235,1919386,1919386,1919423,1919434,1919560,100.006,11.092,174,228.449,4.307372,21.889,0.22136,0.077654,7.491446,3.804816,0.709135,3.364933,-50.936779,0.051652,39.520233,0,5.102345,52.8366,9.760563,-8.826532,1,0,1,1,0,0,0,0,0,0,562,0,1,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,27934.64,5,0,934.637,0.2406,0,0,0,0
1775795016335,1919486,1919486,1919524,1919536,1919573,100.01,11.831,87,228.449,4.54153,21.889,0.679526,0.234159,4.120976,4.46995,0.791506,6.455811,-50.858532,0.184213,45.976044,0,4.468155,79.5221,10.552069,-9.27659,1,0,1,1,0,0,0,0,0,0,563,0,1,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,26847.75,5,0,152.25,0.2334,0,0,0,0
1775795016435,1919586,1919586,1919624,1919636,1919827,100.016,12.462,241,228.361,4.440191,21.898,0.278923,0.101339,6.343255,5.369106,0.077657,8.879761,-53.491409,1.122293,37.096283,0,4.484233,83.7428,10.629725,-10.44341,1,0,1,1,0,0,0,0,0,0,567,0,1,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,27333.64,5,0,333.637,0.4812,0,0,0,0
1775795016535,1919686,1919686,1919724,1919735,1919830,100.004,11.235,144,228.361,4.512331,21.898,0.20309,0.072141,0.387029,5.502667,0.934766,0.325493,-46.979416,0.044769,37.421776,0,8.74158,71.4502,11.564491,-5.033362,1,0,1,1,0,0,0,0,0,0,568,0,1,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,27200.04,5,0,200.043,0.4668,0,0,0,0
1775795016635,1919786,1919786,1919823,1919835,1919856,100.006,11.953,70,228.361,4.241348,21.898,0.750672,0.270983,3.184758,5.951993,2.209953,5.816818,-53.330551,0.05695,31.604958,0,4.337767,86.665,9.354538,-10.043089,1,0,1,1,0,0,0,0,0,0,570,0,1,brush_universal_motor,4,vacuum_cleaner,3,steady,unknown,0,vacuum_cleaner,sess_1775795012835,0,0,1,1,0,1,28150.43,5,0,1150.43,0.4394,0,0,0,0
