epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,frame_dt_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,model_pred,label_arc,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,device_family,device_family_code,device_name,trial_number,division_tag,notes,trusted_normal_session,load_type,session_id,context_family_code_runtime,context_family_code_provisional,context_family_confidence,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture
1775796348004,3251155,3251155,3251193,3251204,3251512,100.011,11.206,357,229.399,4.496273,22.983,0.098673,0.035215,4.48203,6.116605,0.067351,0.250553,-48.656086,1.701454,32.28223,0,10.402089,67.4748,11.45953,-2.862015,1,0,1,1,0,0,0,0,0,0,3162,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,27145.96,5,0,145.963,0,0,0,0,0
1775796348104,3251255,3251255,3251291,3251302,3251538,100.01,11.058,283,229.399,4.677083,22.983,0.502665,0.18081,4.722941,6.115616,0.08106,2.12532,-44.319721,0.304818,30.15691,0,9.981767,70.8635,11.54059,-3.338119,1,0,1,1,0,0,0,0,0,0,3163,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,28308.41,5,0,1308.406,0,0,0,0,0
1775796348204,3251355,3251355,3251392,3251405,3251551,100.007,12.444,196,229.399,4.613113,22.983,0.170965,0.06397,3.133994,6.364805,2.164339,8.127743,-54.326153,0.944275,38.284653,0,9.024782,67.0388,13.704929,-4.878212,1,0,1,1,0,0,0,0,0,0,3164,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,27523.18,5,0,523.182,0,0,0,0,0
1775796348304,3251455,3251455,3251490,3251501,3251565,100.007,10.908,110,229.512,4.494987,22.983,0.320084,0.118127,0.003664,6.56914,6.393549,7.958801,-50.59449,0.038182,46.243454,0,8.757202,53.4569,7.31138,-4.951905,1,0,1,1,0,0,0,0,0,0,3165,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,29412.61,5,0,2412.609,0,0,0,0,0
1775796348404,3251555,3251555,3251592,3251606,3251622,100.009,13.879,67,229.512,4.561179,22.983,0.184073,0.066193,0.255973,6.568196,4.414782,7.71434,-53.101585,0.407141,38.529114,0,6.717024,60.0582,11.726162,-7.051345,1,0,1,1,0,0,0,0,0,0,3169,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,27470.76,5,0,470.758,0,0,0,0,0
1775796348504,3251655,3251655,3251693,3251704,3251906,100.012,11.248,251,229.512,4.615888,22.969,0.149931,0.054709,2.162131,6.317769,1.344141,2.231934,-49.702602,0.980855,36.29718,0,4.929637,86.514,13.070303,-8.943514,1,0,1,1,0,0,0,0,0,0,3173,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,26841.42,5,0,158.584,0,0,0,0,0
1775796348604,3251755,3251755,3251792,3251803,3251919,100.004,11.286,164,229.512,4.650034,22.969,0.092469,0.034146,3.994458,6.280571,3.281139,3.065651,-46.122162,0.252523,33.231529,0,8.324928,70.2431,9.789164,-5.597821,1,0,1,1,0,0,0,0,0,0,3174,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,27644.29,5,0,644.295,0,0,0,0,0
1775796348704,3251855,3251855,3251892,3251903,3251932,100.003,11.233,77,229.512,4.697762,22.969,0.1283,0.047728,5.833549,6.250068,0.726254,2.780041,-52.569061,1.564411,36.01157,0,4.673073,63.1567,10.515417,-13.106332,1,0,1,1,0,0,0,0,0,0,3175,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,27662.22,5,0,662.219,0,0,0,0,0
1775796348804,3251955,3251955,3251993,3252004,3252023,100.009,11.192,68,229.512,4.551111,22.969,0.390215,0.146651,3.329444,6.412628,0.90585,6.657349,-51.318466,0.186989,42.668919,0,4.485838,80.463,9.609567,-16.539181,1,0,1,1,0,0,0,0,0,0,3180,0,0,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,26875.94,5,0,124.064,0,0,0,0,0
1775796348904,3252055,3252055,3252094,3252105,3252127,100.008,11.214,72,229.512,4.542194,22.969,0.024491,0.008917,4.035449,2.367449,2.265528,8.43718,-55.099243,0.128426,34.231739,0,3.87744,80.3823,11.875094,-18.07563,0,0,1,1,0,0,0,0,0,0,3176,0,1,brush_universal_motor,4,vacuum_cleaner,7,arc,unknown,0,vacuum_cleaner,sess_1775796346517,0,0,1,1,0,1,26562.91,5,0,437.094,0,0,0,0,0
