spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
35.1576,12.031713,-2.570064,-54.904648,2.859993,0.521395,55.3952,17.511372,0.498937,0.171169,225.192,4.435903,27.222,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260011,216567,1,1,1,0,11,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
31.65893,13.300394,-1.353487,-53.978455,2.903233,1.01263,40.8797,16.91923,0.650608,0.057859,225.192,4.41537,27.222,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260119,216668,1,1,1,0,17,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
35.249306,13.560078,-1.638424,-45.089882,7.409755,1.71333,7.5412,16.083658,0.771305,0.813871,224.969,4.216157,27.226,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260354,216868,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
33.187805,4.266989,-15.564055,-50.268173,1.409334,0.961624,58.117,16.047743,0.490519,0.115778,224.969,4.177106,27.226,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260410,216963,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
34.698875,4.435025,-10.428219,-53.172653,4.277325,0.98039,19.2076,16.477354,1.00308,0.393578,224.969,4.308628,27.226,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260492,217056,1,1,1,0,11,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
35.060738,4.337754,-14.024427,-53.985195,0.665487,0.594356,17.3397,17.082737,1.033081,0.244784,224.969,4.393003,27.226,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260587,217157,1,1,1,0,16,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
34.184792,12.383498,-2.924112,-53.488941,1.989308,0.411013,3.4653,16.660629,0.735138,0.344326,224.762,4.512266,27.22,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260883,217451,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
36.942505,9.814674,-5.458141,-52.696892,0.756052,0.44454,12.9047,16.827944,1.020906,0.75824,224.762,4.238554,27.22,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551260994,217545,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
36.274994,12.617142,-1.729537,-35.549656,1.995027,1.152475,0,16.555668,1.079299,0.396212,224.762,4.372904,27.22,1,vacuum_cleaner,sess_1775551251569__arc_01,1775551261075,217644,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
36.274994,12.617142,-1.729537,-35.549656,1.995027,1.152475,0,16.555668,1.079299,0.396212,224.762,0,27.231,0,vacuum_cleaner,sess_1775551251569__arc_01,1775551261358,217902,0,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,10,arc,,0
