spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
0,0,0,0,0,0,0,0,0,0,230.695,0,27.54,0,vacuum_cleaner,sess_1775549138310__start_01,1775549156549,2219831,0,0,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
31.512352,5.224948,-14.614791,-51.669449,4.27682,2.675444,7.6454,16.491602,1.668596,1.920605,230.695,13.686596,27.54,0,vacuum_cleaner,sess_1775549138310__start_01,1775549156565,2219988,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
30.103931,9.29006,-10.892115,-55.946354,8.494441,3.377282,4.0904,15.738947,1.535048,3.166689,230.695,10.219297,27.54,0,vacuum_cleaner,sess_1775549138310__start_01,1775549156632,2220081,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
34.723301,4.892551,-13.679903,-62.521858,1.012723,1.513471,9.9528,14.92011,1.3038,3.103618,230.695,7.681951,27.54,0,vacuum_cleaner,sess_1775549138310__start_01,1775549156739,2220178,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
34.545761,5.034095,-23.439526,-61.59272,3.455477,1.850713,21.3036,16.763954,1.448722,2.072735,230.695,6.408137,27.54,0,vacuum_cleaner,sess_1775549138310__start_01,1775549156846,2220278,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
40.207661,11.18268,-4.894057,-55.201637,0.010354,0.279398,0.2712,16.437717,0.739688,0.325472,230.489,5.288974,27.545,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157126,2220572,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
39.562386,13.268337,-1.834389,-54.986324,3.615157,0.681109,54.7575,16.798513,0.674743,0.811434,230.489,4.945641,27.545,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157236,2220665,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
39.24826,12.89801,-1.793923,-35.766254,1.334438,1.090522,0,16.854889,0.867825,0.193354,230.489,4.86914,27.545,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157316,2220764,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
35.151581,13.039637,-2.188684,-50.433983,5.68374,1.710565,3.065,16.668646,0.973903,0.059761,229.98,4.576998,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157657,2221055,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
33.540188,10.322657,-5.618955,-50.07156,7.107004,1.460457,51.9976,14.525662,0.492672,0.601229,229.98,4.356852,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157713,2221148,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
35.96096,5.203547,-11.276751,-53.03714,3.266113,0.451844,21.0468,17.085421,1.068942,0.062962,229.98,4.334906,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549157820,2221243,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
32.218388,4.409029,-11.295406,-53.961174,4.453933,1.049635,21.5252,17.382643,0.975169,0.012995,229.98,4.3304,27.542,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158065,2221342,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
34.602119,8.192233,-7.718947,-44.505138,0.097873,1.251815,0,16.4098,0.511862,0.208495,229.98,4.276461,27.542,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158092,2221539,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
40.020985,4.617337,-10.506754,-54.279133,4.957425,1.196006,8.0974,17.502365,1.173827,0.054999,229.398,4.257645,27.542,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158188,2221633,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
32.116821,5.016162,-13.268081,-53.34927,1.27365,0.514653,31.9053,16.657703,1.152905,0.012872,229.398,4.262029,27.542,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158282,2221731,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
33.287899,7.669537,-7.16127,-52.316795,14.755833,1.090075,19.004,16.553194,1.155348,0.061819,229.398,4.283107,27.542,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158390,2221830,0,1,1,0,0,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
35.214195,10.593262,-5.239428,-55.492065,0.089194,0.967288,22.3094,18,0.277112,0.056719,229.398,4.295641,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158652,2222029,1,1,1,0,1,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
32.670567,11.326274,-4.488682,-40.576077,0.118153,0.029647,0,17.293745,0.783469,0.453262,229.398,4.139877,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158679,2222122,1,1,1,0,3,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
39.76931,4.933055,-20.025269,-51.895287,26.238054,0.024328,7.0383,17.131681,1.200652,0.341106,228.568,4.252848,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158777,2222214,1,1,1,0,9,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
35.034103,4.709412,-14.809824,-53.470577,1.747658,1.435255,8.4789,17.15852,1.135239,0.242868,228.568,4.170218,27.543,0,vacuum_cleaner,sess_1775549138310__start_01,1775549158872,2222313,1,1,1,0,14,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
37.078903,8.875367,-6.779003,-43.390831,7.18013,0.894399,18.2386,15.875014,0.559003,0.338443,228.568,4.087733,27.547,0,vacuum_cleaner,sess_1775549138310__start_01,1775549159185,2222604,1,1,1,0,18,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
32.560997,10.81461,-3.694359,-49.520378,3.563405,1.146093,17.5075,17.22893,1.13029,0.59793,227.938,4.283268,27.547,0,vacuum_cleaner,sess_1775549138310__start_01,1775549159255,2222697,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,start,,0
