spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version,device_family,device_name,trial_number,division_tag,notes,trusted_normal_session
35.508095,8.845409,-5.621272,-51.090549,10.317652,0.192405,27.5262,17.661903,0.765716,0.546213,227.069,4.441184,27.559,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549166475,2229922,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
32.133816,7.905535,-12.33365,-46.465088,6.814101,0.019736,15.1436,15.636087,1.424314,0.694307,227.342,4.496454,27.555,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549166815,2230212,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
33.132252,7.346556,-8.705777,-48.237823,1.78598,1.198802,2.2532,17.103798,0.939947,0.304343,227.342,4.386976,27.555,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549166856,2230311,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
32.268524,12.341619,-2.16209,-49.587826,5.426758,1.001182,54.6838,16.792337,0.751459,0.111354,227.342,4.347896,27.555,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549166964,2230405,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
42.137497,10.285378,-5.503911,-42.554436,2.014345,0.218898,0,16.092005,0.502102,0.185312,227.342,4.14604,27.552,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167228,2230608,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
35.997478,4.49688,-12.172179,-47.264366,0.10877,0.866814,4.5271,15.470551,1.400663,0.361117,227.342,4.265817,27.552,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167254,2230702,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
36.838955,11.046627,-3.315154,-34.208572,21.371027,0.2691,0,17.318443,0.625609,0.305323,227.73,4.370013,27.552,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167339,2230795,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
33.707916,6.675875,-8.173315,-33.167004,2.194561,0.833143,0,16.823967,0.975337,0.058869,227.73,4.390594,27.552,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167448,2230894,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
34.982994,7.807818,-7.783271,-49.802391,9.810259,0.545617,1.2925,17.294771,0.952095,0.574808,227.73,4.406577,27.549,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167742,2231184,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
41.879711,12.477504,-2.382571,-51.381981,1.25341,0.319023,57.8248,17.032005,0.756004,0.350845,228.128,4.282895,27.549,0,vacuum_cleaner,sess_1775549138310__steady_02,1775549167850,2231279,1,1,1,0,20,32768,0,4,universal_motor,vacuum_cleaner,8,steady,,0
