spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
33.721531,10.135773,-5.518051,-48.001633,2.205121,0.588943,2.0714,16.152653,1.153665,0.393594,227.979,4.463613,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183028,2246464,1,1,1,0,20,32768,0,4
35.512688,13.023861,-1.71847,-51.437241,8.180528,1.328478,81.0593,16.190098,0.855811,0.187033,227.979,4.396825,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183109,2246558,1,1,1,0,20,32768,0,4
34.822556,8.717755,-6.064937,-52.084198,3.97457,1.612655,45.3929,16.825661,0.803188,0.107639,227.979,4.434687,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183218,2246656,1,1,1,0,20,32768,0,4
31.050795,9.390267,-6.820648,-50.746811,0.091719,1.128054,1.1044,16.806194,1.000355,0.055188,227.855,4.491924,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183564,2246947,1,1,1,0,20,32768,0,4
31.300133,13.713821,-1.999078,-50.53936,0.099867,0.265063,1.5469,16.119383,0.509304,0.24294,227.855,4.404622,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183591,2247040,1,1,1,0,20,32768,0,4
39.025799,9.103904,-5.992124,-51.627964,8.448663,1.045561,18.545,16.6733,1.109923,0.635649,227.855,4.180638,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183686,2247133,1,1,1,0,20,32768,0,4
32.746208,7.96857,-6.695073,-51.121857,3.860354,0.658788,24.6278,16.372883,1.184738,0.197992,227.855,4.246857,27.581,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549183794,2247233,1,1,1,0,20,32768,0,4
29.849312,4.50146,-16.909941,-50.464672,0.075911,0.640354,82.1553,16.324385,0.038846,0.370166,227.698,4.240973,27.579,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184071,2247525,0,1,1,0,18,32768,0,4
40.766861,4.766004,-19.071526,-50.238186,5.155144,1.380958,11.9183,16.980152,1.107554,0.074704,227.698,4.215627,27.579,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184182,2247617,1,1,1,0,7,32768,0,4
33.785965,4.744013,-11.721458,-50.04063,2.56111,0.689136,13.2616,16.13052,1.116683,0.048997,227.698,4.199103,27.579,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184290,2247716,1,1,1,0,13,32768,0,4
33.785965,4.744013,-11.721458,-50.04063,2.56111,0.689136,13.2616,16.13052,1.116683,0.048997,227.698,0,27.577,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184557,2248038,0,1,1,0,13,32768,0,4
33.785965,4.744013,-11.721458,-50.04063,2.56111,0.689136,13.2616,16.13052,1.116683,0.048997,227.628,0,27.577,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184628,2248100,0,1,1,0,3,32768,0,4
33.785965,4.744013,-11.721458,-50.04063,2.56111,0.689136,13.2616,16.13052,1.116683,0.048997,227.628,0,27.577,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184696,2248168,0,1,1,0,0,32768,0,4
33.785965,4.744013,-11.721458,-50.04063,2.56111,0.689136,13.2616,16.13052,1.116683,0.048997,227.628,0,27.577,0,Vacuum_Cleaner,sess_1775549138310__close_03,1775549184777,2248237,0,1,1,0,0,32768,0,4
