spectral_flux_midhf,residual_crest_factor,edge_spike_ratio,midband_residual_ratio,cycle_nmse,peak_fluct_cv,thd_i,hf_energy_delta,zcv,abs_irms_zscore_vs_baseline,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,uptime_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture,feature_space_version
0,0,0,0,0,0,0,0,0,0,227.974,0,27.196,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551181905,138515,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,227.974,0,27.196,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551181985,138583,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,227.974,0,27.196,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551182052,138653,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,227.974,0,27.196,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551182133,138722,0,0,1,0,0,32768,0,4
0,0,0,0,0,0,0,0,0,0,227.732,0,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183063,139485,0,0,1,0,0,32768,0,4
30.00794,13.054819,-5.839756,-60.183826,1.689987,4.149199,41.1862,16.89006,0.826669,3.681225,227.732,12.201474,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183080,139646,0,1,1,0,0,32768,0,4
36.738262,5.056897,-13.038164,-63.568779,3.389296,3.150726,4.0999,15.495794,1.600359,3.433761,227.732,8.849715,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183173,139741,0,1,1,0,0,32768,0,4
33.229176,5.012872,-17.862246,-57.486443,14.04895,3.159629,13.3156,16.480812,1.347554,2.542486,227.732,7.04969,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183280,139840,0,1,1,0,0,32768,0,4
34.930115,4.977795,-11.30159,-59.01033,10.443085,0.892235,12.64,16.38168,1.22642,1.649407,227.732,6.119464,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183375,139941,0,1,1,0,0,32768,0,4
28.956652,9.979669,-5.900226,-52.278667,14.891071,0.2289,47.0349,15.959194,0.760955,0.905036,227.309,5.194331,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183616,140139,0,1,1,0,0,32768,0,4
30.111271,8.781931,-7.268744,-45.457359,2.416797,0.999927,58.8169,16.290623,0.762441,0.661188,227.309,4.919576,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183672,140233,0,1,1,0,0,32768,0,4
32.895565,4.351845,-12.609632,-57.652863,5.646668,0.906337,10.2611,16.931686,0.94584,0.036676,227.309,4.934011,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183780,140327,0,1,1,0,0,32768,0,4
31.620794,4.335278,-13.858397,-59.277298,1.301874,1.188765,8.1415,17.766727,0.971048,0.442712,227.309,4.759263,27.174,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551183861,140427,0,1,1,0,0,32768,0,4
33.98344,6.917984,-9.287487,-57.759327,0.077194,0.803696,1.7219,17.103722,0.453195,0.270416,226.951,4.591873,27.178,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184136,140628,0,1,1,0,0,32768,0,4
36.058876,13.810439,-1.89068,-55.395603,0.029571,0.611942,1.2448,16.271845,0.564869,0.096824,226.951,4.556305,27.178,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184140,140722,0,1,1,0,0,32768,0,4
37.315918,13.292628,-1.481223,-58.018669,7.110974,0.903527,35.8365,17.260893,0.66787,0.302203,226.951,4.44615,27.178,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184247,140814,0,1,1,0,0,32768,0,4
30.841425,13.164186,-1.393786,-55.702789,2.121544,0.516301,21.8764,16.704103,0.812519,0.11713,226.951,4.487813,27.178,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184354,140914,0,1,1,0,0,32768,0,4
33.400307,10.1443,-5.356967,-44.295525,7.388109,0.12203,6.8987,16.059973,1.341728,0.260939,226.598,4.425472,27.179,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184668,141204,0,1,1,0,0,32768,0,4
31.873564,13.084649,-2.062898,-54.899315,1.533638,0.383902,14.3133,16.983822,0.899492,0.509108,226.598,4.245228,27.179,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184738,141298,0,1,1,0,0,32768,0,4
34.673943,6.895323,-7.645101,-35.554451,4.543227,0.832913,0,15.820617,0.873366,0.432003,226.598,4.391945,27.179,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551184832,141395,0,1,1,0,0,32768,0,4
34.576244,13.163943,-2.218297,-54.05368,0.077042,0.187369,3.4048,17.021749,0.502819,0.264004,226.598,4.375656,27.187,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185218,141599,0,1,1,0,0,32768,0,4
33.687939,6.022618,-9.713758,-50.011669,2.288869,0.190175,2.402,16.150333,1.133064,0.220728,226.059,4.529846,27.187,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185246,141788,1,1,1,0,1,32768,0,4
32.238949,12.680191,-2.340367,-57.20034,6.190656,0.142049,13.4255,17.207472,0.778389,0.555163,226.059,4.328661,27.187,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185315,141882,1,1,1,0,6,32768,0,4
35.987385,4.411835,-13.172604,-56.889824,14.697976,0.05775,63.6198,17.111248,0.911374,0.045615,226.059,4.344457,27.187,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185410,141980,1,1,1,0,11,32768,0,4
32.041828,4.387187,-14.439871,-54.046955,2.96212,0.76552,51.8006,16.498104,0.773137,0.186612,226.059,4.279599,27.187,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185518,142079,1,1,1,0,17,32768,0,4
34.601044,9.932783,-5.983371,-47.415356,12.547986,0.428642,9.8705,16.254375,1.069253,0.200635,225.434,4.280074,27.195,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185762,142280,1,1,1,0,20,32768,0,4
27.286963,11.225091,-3.860224,-43.989471,4.858307,0.443239,9.806,15.989077,0.856245,0.550478,225.434,4.468561,27.195,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185818,142374,1,1,1,0,20,32768,0,4
33.681252,13.071507,-1.611911,-37.015568,1.209508,1.131606,0,16.234241,0.913761,0.109614,225.434,4.429376,27.195,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551185899,142467,1,1,1,0,20,32768,0,4
38.45187,12.742102,-1.749997,-58.426064,16.425226,0.298653,16.0394,16.43194,0.907022,0.166563,225.434,4.370354,27.195,0,Vacuum_Cleaner,sess_1775551178932__start_01,1775551186009,142567,1,1,1,0,20,32768,0,4
