cycle_nmse,zcv,zc_dwell_ratio,cycle_rms_drop_ratio,peak_fluct_cv,midband_residual_rms,hf_band_energy_ratio,spec_entropy,neg_dip_event_ratio,irms_drop_vs_baseline,thd_i,v_rms,i_rms,temp_c,label_arc,load_type,session_id,epoch_ms,model_pred,feat_valid,current_valid,fault_state,arc_counter,adc_fs_hz,auto_capture
0,0,0,0,0,0,0,0,0,0,0,228.289,0,25.225,0,Water_Heater,sess_1775284942765,1775284949350,0,0,1,0,0,36923.19,0
0,0,0,0,0,0,0,0,0,0,0,228.289,0,25.225,0,Water_Heater,sess_1775284942765,1775284949389,0,0,1,0,0,36923.19,0
0,0,0,0,0,0,0,0,0,0,0,228.289,0,25.225,0,Water_Heater,sess_1775284942765,1775284949427,0,0,1,0,0,36923.19,0
0,0,0,0,0,0,0,0,0,0,0,228.289,0,25.225,0,Water_Heater,sess_1775284942765,1775284949466,0,0,1,0,0,37301.81,0
0,0,0,0,0,0,0,0,0,0,0,228.289,0,25.232,0,Water_Heater,sess_1775284942765,1775284949505,0,0,1,0,0,37301.81,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949543,0,0,1,0,0,37301.81,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949635,0,0,1,0,0,37212.01,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949674,0,0,1,0,0,37212.01,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949713,0,0,1,0,0,36022.73,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949752,0,0,1,0,0,36022.73,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949790,0,0,1,0,0,36022.73,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949828,0,0,1,0,0,36022.73,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949866,0,0,1,0,0,37179.24,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284949904,0,0,1,0,0,37179.24,0
0,0,0,0,0,0,0,0,0,0,0,228.327,0,25.232,0,Water_Heater,sess_1775284942765,1775284950241,0,0,1,0,0,37179.24,0
0,0,0,0,0,0,0,0,0,0,0,227.94,0,25.233,0,Water_Heater,sess_1775284942765,1775284950277,0,0,1,0,0,36641.44,0
